49:3:001:1	Paul éí doo Jew dine'é danilíinii hane' yá'át'éehii yee yił halne'
49:3:001:0	Éí bąą shí Paul, nihí doo Jew dine'é danohłíinii nihá Christ Jesus baa hashne'go biniinaa awáalyaaí nishłį́. 
49:3:002:0	Diyin God bibee ajooba' bee nihił hashne'go sheidiní'ánígíí shį́į́ daonii'. 
49:3:003:0	Diyin God bina'nitin doo bééhózin da yę́ę shił ííshjání áyiilaa. (Éí saad t'áá áłch'į́į́dígo bee nihich'į' ak'e'shéłchį́į ni', 
49:3:004:0	áko éí dayínółta'go Christ bídéét'i'ii doo bééhózin da yę́ę shí bik'i'diitánígíí baa ákodadínóohsįįł.) 
49:3:005:0	Éí hoogááłdę́ę́' diné t'áadoo ła' bił ííshjání ályaa da, nidi k'ad daal'aadii dadiyinii áádóó Diyin God yá dahalne'ii Níłch'i Diyinii bee Diyin God bił yit'íní áyiilaa. 
49:3:006:0	Jó, na'nitin doo bééhózin da yę́ę éí doo Jew dine'é danilíinii índa Jew dine'é danilíinii hane' yá'át'éehii bik'ehgo Christ bee t'ááłá'í dadzizlį́į'go, Diyin God bibee ak'idahojidlíii t'áá aheełt'éego hóó' dadooleeł, índa Diyin God yee nihoní'áanii Christ Jesus bee ałts'ą́ą́' da'dzíłk'iiz.  
49:3:007:0	Diyin God bibee adziilii shii' naalnishgo bibee ajooba' t'áá jíík'e shaa deet'ánígíí bik'ehgo díí hane' yá'át'éehii baa hashne'go áshi'diilyaa. 
49:3:008:0	Azhą́ Diyin God bidiyį́į́' t'áá ałtso ts'ídá bi'oh ánísht'ée nidi, Christ yee ayóó át'éii yee alááh neel'áanii doo ałtso nijółkaah át'éii éí doo Jew dine'é danilíinii bee bił dahashne' doo biniyé Diyin God bibee ajooba' shaa deet'ą́. 
49:3:009:0	Áádóó Diyin God éí [Jesus Christ bee] t'áá ałtsoní ádayiilaii, hool'áádę́ę́' yinahaz'ą́ doo bééhózin da yę́ę bee ła'dooníiłii diné t'áá ałtso bił béédahodoozįįł ałdó' biniyé shaa deet'ą́. 
49:3:010:0	Diyin God habee hódzáanii ał'ąą át'éego éí da'oodlání t'áá ła' bizhi'ee bee, k'ad yá'ąąsh haz'ą́ądi bídahólníihii áádóó dabidziilii bich'į' ííshjání ázhdoolííł biniyé binahodziz'áanii doo bééhózingóó ájósin nít'éé'. 
49:3:011:0	Díidíígíí Diyin God ahool'áádę́ę́' bohoot'ááł doo niit'éehii bik'ehgo nihiBóhólníihii Jesus Christ yee ła'yiyiilaii át'é. 
49:3:012:0	Áko Christ bił łá'í niidlį́įgo deiniidlánígíí bee doo dasiiti'góó baa dadzííníidlíigo Diyin God bich'į' nihá yah ahóót'i'. 
49:3:002:1	Christ bee ayóó'ó'ó'ní nihił béédahodoozįįł
49:3:013:0	Éí bąą ti'hooshníhígíí bik'ee nihąąh nidahókaad lágo dishníigo nánihooshkąąh, háálá éí bee diné bił danohłį́. 
49:3:014:0	Éí bąą Jesus Christ nihiBóhólníihii biTaa' bich'į' nitséédíshgohgo sodiszin. 
49:3:015:0	Hó yá'ąąshdi áádóó nihokáa'gi dadine'é t'áá ałtso hwee dabi'dééji'ii jílíinii hach'į' sodiszin. 
49:3:016:0	Áko bee ayóó ájít'éego bee alááshneel'áanii bik'ehgo haNíłch'i Diyinii bee adziilii bee nihii' naazíinii t'áá íiyisí bidziilgo ánihizhdoolíłígíí bíká sodiszin. 
49:3:017:0	Áádóó nihe'oodlą' bee Christ nihijéí yii' hólǫ́ǫ doo, áko ayóó'ó'ó'ní bii' nihihétł'óól dahólǫ́ǫgo índa t'áá éí atł'ááh nástł'in nahalingo danołdzil doogo nihá sodiszin, 
49:3:018:0	áko Christ bibee ayóó'ó'ó'ni' áníłtéelgi, áníłnéezgi, dego áníłtsogi índa íídéetą́ą'gi Diyin God bidiyį́į́' t'áá ałtso bił baa ákodanohsin doo. 
49:3:019:0	Áádóó Christ bibee ayóó'ó'ó'ni' ił ééhósin yilááh neel'áanii nihił béédahodoozįįłgo Diyin God t'áá ałtsoní yee át'éii nihii' hadidoobį́łígíí bíká sodiszin. 
49:3:020:0	K'ad Diyin God bídeíníikeedii índa baa nitsídeiikeesígíí nidi t'áá ałtso t'áá íiyisí yilááh neel'ą́ągo bibee adziilii yee nihii' naalnishígíí yee ła'yidoolíiłgo yíneel'ą́. 
49:3:021:0	Áko Christ dayoodláanii t'áá ła' bizhi'ee, índa Christ Jesus bee Diyin God baa ha'niih doo, sáná'oogą́ą́ł bá nihonít'i'jį' áádóó ahóyéel'áágóó baa ha'niih doo! T'áá ákót'ée doo.
