49:6:001:1	A'áłchíní índa da'ashchíinii
49:6:001:0	Áłchíní danohłíinii, Bóhólníihii binahjį' danihishchíinii bik'eh dahonoł'į́, háálá éí ts'ídá t'áá ákogi é'él'íinii át'é. 
49:6:002:0	Nizhé'é índa nimá nił nilį́įgo íínísin; díí bee haz'áanii alą́ąjį' bee nihoot'áanii bił niilyáii át'é, 
49:6:003:0	áko nił yá'áhoot'éeh doo, índa nízaadgóó ni' bikáa'gi hinínáa doo. 
49:6:002:1	Naalte' danilíinii índa naat'áanii danilíinii
49:6:004:0	Azhé'é danohłíinii, t'áadoo niha'áłchíní bánídahołchįįhí, nidi t'áá hashkée nidanohtin, índa hazhó'ó nidanohtin, éí Bóhólníihii bina'nitinígíí bee niha'áłchíní danohsé. 
49:6:005:0	Naalte' danohłíinii, nihokáa'gi nihinanit'a'í nihił danilį́į le'; yéé' nihitah dahodíłtłidgo Christ bik'eh dahonoł'ínígi át'éego nihijéí t'áá át'é bee nihinanit'a'í bik'eh dahonoł'į́. 
49:6:006:0	Nihinanit'a'í binááł t'óó diné bił hólzhǫ́ t'éí biniyé ádaaht'į́įgo éí dooda, nidi Christ yá naalte' danohłį́įgo nihijéí tł'ááhdę́ę́' Diyin God íinízinii bida'oł'į́. 
49:6:007:0	Bóhólníihii bá nidaał'a'ígi át'éego bídanohdlį́įgo nihinanit'a'í bá nidaałnish, diné bá na'anishígi át'éego éí dooda. 
49:6:008:0	Háálá nihił béédahózin, t'áá háiida naalte' jílį́įgo, doodaii' doo naalte' jílį́į da nidi, yá'át'éehgo ájooníłígíí t'áá éí bik'ehgo Bóhólníihii hach'į' ninádi'yoodlééł. 
49:6:003:1	Níłch'i bida'iiníziinii binanit'a'í bich'į' na'abaahii
49:6:009:0	Naat'áanii danohłíinii, nihinaalte' bich'į' haasdzí'ígi át'éego nihí ałdó' t'áá ákódaaht'į́; nihíkáiish'ááł t'áadoo dabidohníní. Nihił béédahózingo, biBóhólníihii, t'áá éí ałdó' nihiBóhólníihii, éí yá'ąąshdi hólǫ́, áádóó diné doo ła' ał'ohgo yaa nitsíkees da.  
49:6:010:0	Shik'isóó danohłíinii, díí bee hanáánásdziihgo bee ninisht'ééh, Bóhólníihii bee áádóó yee ayóó ábóodziilii bee danihidziil le'. 
49:6:011:0	Béésh éé' bee na'abaahii Diyin God nihaidiní'ánígíí t'áá át'é bee hadadohne', áko níłch'i bida'iiníziinii binanit'a'í binahagiz bik'ijį' bídanooł'ą́ągo nidasoozį́į doo. 
49:6:012:0	Háálá bitsį' áádóó bidił dahólóonii doo bił da'ahiigą́ą da, nidi doo daat'į́į́góó aláahdi bídahólníihii, áádóó dabidziilii, áádóó díí k'ad nahasdzáán bikáa'gi chahałheeł bee bídahólníihii, índa níłch'i bida'iiníziinii t'áadoo bee néelą́'ígóó yádiłhił biyi' nahaz'ą́ądi dahólóonii bił da'ahiigą́. 
49:6:013:0	Ákót'é bąą béésh éé' bee na'abaahii Diyin God nihaidiní'ánígíí t'áá át'é bee hadadohne'go tsi'ooldahgo bił yoołkáłígíí bich'į' nidaałdzilgo bídanooł'ą́ą doo, índa ałtso bik'eh dasidoohdlį́į́'dóó bik'ijį' nidi wołí bee nidasoozį́į doo. 
49:6:014:0	Éí bąą t'áá aaníinii bee áká dasoołzaazgo, áádóó ts'ídá t'áá ákogi é'ét'é béésh éé' nihijéíts'iin bąąh nidasooł'ą́ągo nidasoozį́, 
