49:2:001:1	Danee'náá nít'éé' nidi Diyin God hinááh ánídanihiidlaa
49:2:001:0	Áko doo ákǫ́ǫ́ ádaat'įįdii áádóó ádił nida'ayohsíihii biniinaa Diyin God bich'į'go dasinoonáá nít'éé', nidi Diyin God hinááh ánídanihiidlaa. 
49:2:002:0	Jó, nihokáa'gi bąąhági át'éii bił nidahazt'i'ii bik'ehgo dayínóhkááh nít'éé', áádóó wódahgo bídahólníihii binanit'a'í, níłch'i bida'iiníziinii binanit'a'í, éí diné doo ak'eh dahół'íinii yiyi' naalnishii bik'ehgo naałdeeh nít'éé'. 
49:2:003:0	Éí bitah nihí ałdó' t'áá áníiltso nihits'íís bee adáhonooníinii bik'ehgo dayíníikááh nít'éé', nihits'íís áádóó nihíni' yidánoolníinii bik'ehgo ádeii'nííł nít'éé'. Áko nihokáá' dine'é ádaat'éhígi át'éego ts'ísee k'ehgo ádaniit'éhígíí bee Diyin God t'óó báhádzidgo bibee até'él'ínígíí bee atíbidi'doolníiłii bą́ą́h da'niidlį́į́ nít'éé'. 
49:2:004:0	Nidi Diyin God ayóó át'éego nihaa a'ááh jinízingo áádóó hwe'ayóó'ó'ó'ni' ayóó át'éii bee ayóó'ánihijó'níigo bąą 
49:2:005:0	doo ákǫ́ǫ́ ádeiit'įįdii biniinaa Diyin God bich'į'go danee'ná yę́ędą́ą́' Christ bił hinááh ánídanihijiidlaa; jó, Diyin God habee ajooba' bee yisdánihijíínil, 
49:2:006:0	áko Christ Jesus bił náádanihizhdiiłjée'go yá'ąąsh haz'ą́ądi bił naháatą́ągo ánihijiilaa. 
49:2:007:0	Hoolzhishgóó Christ Jesus bee nihich'į' há áhwiinít'į́'ígo habee ajooba' bee nihilááshneel'áanii, doo bí'nól'ąąh át'éii ííshją́ą́ ázhdoolííł biniyé yisdánihijíínil. 
49:2:008:0	Háálá oodlą́ bee aa hodzódlí binahjį' Diyin God bibee ajooba' yee yisdánihíínil, áko díí doo t'áá nihí ádaahdzaa da, nidi Diyin God einíláii át'é. 
49:2:009:0	Doo bik'é na'azhnishii át'ée da, áko doo bee ádaa hojó'niih át'ée da. 
49:2:002:1	Christ bee łá'í niidlį́
49:2:010:0	Háálá Diyin God ánihijiilaii niidlį́. Christ bee yá'át'éehgo ádeii'níił doo biniyé ánihijiilaago éí baa nideiikai dooleełii t'áá bítséedi nihá binahodziz'ą́. 
49:2:011:0	Ákót'é bąą nihí, doo Jew dine'é danohłį́į́góó nidanihi'diizhchį́įgo béédaałniih. Jew dine'é éí bąąh nídahineeshgizhii dabidi'ní. Éí doo bąąh nídahineeshgizhii danihiłníigo nihaa nídaat'į́. Nidi éí t'óó yílá bee ats'íís bąąh náhinilgish át'é. 
49:2:012:0	Íídą́ą́' Christ t'áágééd dahinohnáago Ízrel dine'é doo bídadíínóht'i'góó naałdeeh nít'éé'. Diyin God bił aha'deet'ą́ yee nihoní'áanii doo nihídéét'i' da nít'éé'. Ił chohoo'į́ nihee ádingo Diyin God t'áágééd kééhoht'į́į́ nít'éé' yę́ę béédaałniih. 
49:2:013:0	Nidi nihí łah Diyin God bits'ą́ądi nízaadi honohłǫ́ǫ́ nít'éé' yę́ę k'ad Christ Jesus daaztsánígíí binahjį' bidił bee shónéisooht'e'. 
49:2:014:0	Háálá Christ bee nihá k'é náhásdlį́į́'. Áko Jew dine'é daniidlíinii índa doo Jew dine'é danilíinii t'ááłá'í daniidlį́įgo ánihijiilaa, áko ak'e'diniih nihita' tsé naní'á nahalinii nazhnííłkaad. 
49:2:015:0	Jó, Jew dine'é bibik'eh ó'oo'níiłii biyi' bik'eh hoogáałii bee ak'e'diniihii át'éego Christ dadziztsánígíí bee ałtso nizhníłt'i', áko Jew dine'é danilíinii áádóó doo Jew dine'é danilíinii t'áá hó hwee t'ááłá'í dine'é ániidíii ájiilaa, kót'éego hózhǫ́ náhásdlį́į́'. 
49:2:016:0	Índa nihí naaki ał'ąą dine'é niidlį́į́ nít'éé' yę́ę tsin ałnáoszid bąąhjį' Christ dadziztsánígíí bee łá'í siidlį́į'go Diyin God bił k'é ná'ahidii'niid, áko ałk'e'diniih yę́ę nizhníłt'i'. 
49:2:017:0	Diyin God bits'ą́ądi nízaadi honohłǫ́ǫ́ nít'éé' yę́ę Christ jiníyáago hózhǫ́ náhásdlį́į́' jiníigo nihił hojoolne', índa hwíighahgi dahólóonii ałdó' hózhǫ́ náhásdlį́į́' jiníigo bił hojoolne'. 
49:2:018:0	Háálá naaki dine'é niidlį́į́ nít'éé' yę́ę Christ hwee t'áá áníiltso Níłch'i Diyinii t'ááłá'íígíí bee aTaa' nihá baa honít'i'. 
49:2:019:0	Éí bąą k'ad doo dé'éyóní danohłį́į da, doo łahdę́ę́' dine'é danohłį́į da, nidi Diyin God bidiyį́į́' bił t'ááłá'í dine'é danohłį́, áádóó Diyin God ba'áłchíní dasoolį́į́'. 
49:2:020:0	Tsé bee kin álnéhígíí nidahonohłin. Daal'aadii áádóó Diyin God yá dahalne'ii éí atł'ááh nástł'inii nidahalin. Áádóó Christ Jesus éí tsé á si'áanii bee naaná'ástł'inii nahojílin. 
49:2:021:0	Tsé ałk'al ahinidéhígi át'éego nihinijilnishgo Bóhólníihii binahjį' kin bii' sohodizin diyinii yiidleeł. 
49:2:022:0	Níłch'i Diyinii binahjį' Diyin God nihiyi' kééhat'į́į doo biniyé t'áá hó hwee atah nihi'distł'in.
