62:4:001:1	Pen . iiij .
62:4:002:1	1 Gohanieth ysprytion . 2 P’wedd yr adwaenir Yspryt Dew rrac yspryt
62:4:003:1	*
62:4:004:1	didro
62:4:005:1	cyfeilorn . 7 Am gariat Dew a’n cymydogion .
62:4:001:0	CAredigion , na chredwch bop yspryt , eithr provwch yr ysprytion ai o Dduw yð ynt : can’s gau bropwyti lawer aethont allant ir byt .
62:4:002:0	Wrth hyn yr adwaynwch Yspryt Dew : pop yspryt yn coffessu ðyvot o Iesu christ yn‐cnawd , ys ydd o Dduw .
62:4:003:0	A’ phop yspryt ny choffessa ddyvot Iesu Christ yn‐cnawt , nyd yw ef o Ddeo : eithr hwn yw yspryt Antithrist , am yr hwn y clywsoch son , y delei , ac ys ydd yr owrhon yn y byt .
62:4:004:0	Blant bychain , ydd y chwi o Ddyw , ac y gorvuoch hwy : can ys mwy yw’r hwn ys ydd yno chwi , na’r hwn ys ydd yn y byt .
62:4:005:0	Wyntvvy or byt y maent , am hyny y llafarant am y byt , a’r byt eu clyw .
62:4:006:0	Nyni o Ddew ydd ym , yr hwn a edwyn Ddyw , a’n clyw ni : yr hwn nyd yw o Ddyw , ni’n clyw ni . Wrth hyn yr adwaynom yspryt y gwirionedd , ac yspryt y cyfeilorni . Yr Epistol y Sul cyntaf gvedy Trintot
62:4:007:0	Garedigion , carwn eu gylydd : can ys cariat o Ddyw yr hanyw , a’ phop vn a gar , o Ddeo y ganet , ac a edwyn Ddyw .
62:4:008:0	Yr hwn ny char , nyd edwyn e Ddyw : can ys cariat yw Duw .
62:4:009:0	Yn hyn y may cariat Dyw yn ymddangos arnam ni , can y Ddyw ddanvon ei vnic‐genedledic Vap ir byt , val y byddom byw trwyddaw ef .
62:4:010:0	Yn hyn y mae cariat , nyd am ddaruot y ni garu Duw , eithyr am yddaw ef ein caru ni , ac anvon ei Vap y vot yn gyssiliat tros ein pechoteu .
62:4:011:0	Caredigion , a’s velly in carawdd Duw ni , a’ nineu a ddylem garu eu gylydd .
62:4:012:0	Ny welawdd nep Dduw erioed . As carwn ni eu gylydd , y mae Duw yn trigio ynom , a’i gariat ys y perffeith ynom .
62:4:013:0	Wrth hyn y gwyddom ein bot yn trigio yntho ef , ac yntef ynom nineu : can ddarvot yddo roddi y ni o’i Yspryt ef .
62:4:014:0	A’ nineu welsom , ac a destolaythwn , ddarvot ir Tat ddanvon y Map y vot yn Iachawdr y byt .
62:4:015:0	Pwy pynac a goffeso bot Iesu yn Vap Duw , ynthaw ef y may Duw yn trigio , ac yntef yn‐Duw .
62:4:016:0	A’ nyni a adnabuom , ac a gredasam y cariat ys y gan Dduw ynom ni . Duw cariat yw , a’r hwn a drig yn‐cariat , a drig yn‐Duw , a’ Duw yndo yntef .
62:4:017:0	Yn hyn y cwplëir y cariat ynom , val y bo y ni hyder yn‐dydd y varn : can ys mal y may ef , ys velly ydd ym nineu yn y byt hwn .
62:4:018:0	Nyd oes ofn yn‐cariat , eithr perffeith gariat a vwrw allan ofn : o bleit y mae i ofn poenedigeth : a hwn a ofna , nyd yw perffeith yn‐cariat .
62:4:019:0	Ydd ym ni yn y garu ef , can yddo ef ein caru ni yn gyntaf .
62:4:020:0	A’s dywait nep , Mi a garaf Dduw , ac yn casau ei vrawt , celwyddawc yw : can ys pa‐ðelw y gall ef yr hwn ny char ei vrawt a welawð ef , garu Duw ’rhwn ny welawdd ?
62:4:021:0	A’r gorchymyn hwu ys ydd y ni y cantho ef , bot y hwn a gar Dduw , garu ei vrawt hefyt .
