62:1:001:1	Pen . j .
62:1:002:1	2 Testiolaeth wir am y tragyvythawl ’air Dew . 7 Gwaed Christ yw y
62:1:003:1	*
62:1:004:1	1 : 0
62:1:005:1	glanhat
62:1:006:1	carthiat pechot . 10 Nyd oes nep eb pechot .
62:1:001:0	YR hyn oeð or dechre , yr hynn a glywsam , yr hyn a welsam a’n llygait , yr hyn a edrychasam arnaw , ac a a deimlodd ein dwylaw o ’air y bywyt ,
62:1:002:0	( Can ys y bywyt a ymddangosodd , ac ei gwelsam , ac ydd ym yn testio , ac yn dangos ychwy y bywyt tragyvythawl , yr hwn oedd y gyd a’r Tat ac a ymddangosawdd y ni )
62:1:003:0	Yr hyn , meddaf , y welsam , ac a glywsam , a ddeclarwn ychwi , val y bo y chwithe hefyt gymdeithas gyd a ni , ac val y bo ein cymdeithas ni hefyt y gyd or Tat ai Vap Iesu Christ .
62:1:004:0	Ar petheu hyn a scrivenwn atoch , val y bo eich llawenydd yn gyflawn .
62:1:005:0	Hyn yw’r genadwri a glywsam canthaw ef , ac ydd ym yn y ddeclaro y chwi , may golauni yw Duw ac nad oes ynthaw ddim tywyllwch .
62:1:006:0	A’s dywedwn vot y ni gymdeithas ac ef , a rrodio yn y tywyllwch , celwyddoc yym , ac nyd ydym ar y gwir .
62:1:007:0	Eithyr as rrodiwn yn y golunni , megis y mae ef yn y golauni , y mae y ni gymdeithas au gylydd , a’ gwaet Iesu Christ ys ydd in carthu ywrth pop pechot .
62:1:008:0	A’s dywedwn nad oes cenym pechot , yð ym ni twyllo ein hunain , a’r gwirionedd nyd oes ynom .
62:1:009:0	A’s coffesswm ein pechotae , ffyddlon yw ef a’ chyfiawn , val y maddeuo y ni ein pechoteu , a’n carthu ywrth oll enwiredd .
62:1:010:0	A’s dywedwn na phechasam , ydd ym yn y wneuthur ef yn gelwyddoc , a’i ’air nyd yw ynom .
