62:5:001:1	Pen . v .
62:5:002:1	1 . 10 . 13 : Am ffrwytheu ffydd . 14 . 25 : Swydd , awturtot , a’ dywdap Christ . 21 Yn erbyn delweu .
62:5:001:0	PWy pynac ’sy yn credu mae Iesu yw’r Christ , o Ddeo y ganet , a’ phob vn ’sy yn y caru yr hwn a genedlodd , y car yntef hefyt yr hvvn a genetlwyt o hano ef .
62:5:002:0	Yn hynn y gwyddom y carwn blant Dyw , pan ym yn caru Duw , ac yn cadw ei orchymynneu .
62:5:003:0	Can ys hwn yw cariat Duw bot y ni gadw ei ’orchymynneu : a’i ’orchmynneu nyd ynt trymion
62:5:004:0	Cans oll ar anet o Dduw , ’sy yn gorchvygu’r byt , a’ hon yw’r ’oruchafieth ys y yn goruchvygu’rYr Epistol y Sul cyntaf gwedy ’r Pascbyt , ’sef ein ffydd .
62:5:005:0	Pwy ’sydd yn gorchvugu’r byt , anyd yr hwn ’sy yn credu may Iesu ’sy Vap Duw ?
62:5:006:0	Hwn yw’r Iesu Christ y ddaeth trwy ddwfr a’ gwaet , ny trwy ddwfr yn vnic , amyn trwy ddwfr a gwaet : a’r yspryt yw’r hwn ’sy yn testio : can ys yr Yspryd ysydd wirionedd .
62:5:007:0	Can ys y mae tri , ys y yn testiolaethu yn y nef , y Tat , y Gair , a’r Yspryt glan : a’r tri hyn vn ynt .
62:5:008:0	Ac y mae tri , ysy yn testiolaethu yn y ddaiar , yr yspryt , a’r dwfr a’r gwaet : a’r tri hyn cytvn ynt .
62:5:009:0	A’s testiolaeth dynion a dderbyniom , testoliaeth Dyw ’sy vwy : can ys hyn yw testiolaeth Dyw , y destiawdd ef am ei Vap .
62:5:010:0	Yr hwn a gred ym‐Map Dyw , y may iddo y testiolaeth yndo ehunan : hwn ny chred y Dduw , y gwnaeth ef yn gelwyddoc , can na chredawdd y destiolaeth , a destiolaethodd Dyw am ei Vap .
62:5:011:0	A’ hon yw’r testiolaeth , ’sef darvot y Dduw roddi y ni vywyt tragyvythawl , a’r bywyt hwn ys yð yn y Map .
62:5:012:0	Hwn y mae y Map yddaw , y may y bywyt yddaw : a’ hwn nyd yw yddaw Vap Dyw , nyd oes yddaw vywyt .
62:5:013:0	Y petheu hyn a scriuenais atoch , yr ei a gredwch yn Enw Map Dyw , mal y gwypoch vot ychwy vywyt tragyvythawl , ac mal y credoch yn Enw Map Dyw .
62:5:014:0	A’ hyn yw’r hyder , ys y genym ynddo ef , can ys ad archwn ni ddim erwydd y wyllys ef , ef a’n clyw ni .
62:5:015:0	Ac a’s gwyddom y vot ef yn ein clywet , pa beth pynac a archom , gwyðom vot y ni ein airch y archasam arno .
62:5:016:0	A’s gwyl nep ei vrawt yn pechu pechot , ar nyd yvv hyd angeu , archet , ac ef a rydd yddaw vywyt ’sef ir ei ny phechant yd angeu . Y mae pechot yd angeu : nyd wyf yn dywedyt y dleyt‐weðiaw drosto .
62:5:017:0	Pop ancyfiawnder pechot yw , ac y mae pechot ’rhvvn nyd yvv yd angeu .
62:5:018:0	Gwyddom mae pwy pynac a anet o Ddyw , na phecha : eithyr hwn a genetlwyt o Dduw , y caidw ehun , a’r Vall ny chyfwrdd ac ef .
62:5:019:0	Gwyddom ein bot o Ddyw , a’r oll vyt ys y yn gorwedd yn‐drigioni .
62:5:020:0	A’ ni wyddom ddyvot Map Duw , ac a roes y ni veddwl y adnabot yr hwn , ys y gywir ac yð ym ni yn y cywir hwnw , ’sef yn y Vap ef Iesu Christ : hwn yma ’sy wir Dduw , a bywyt tragythawl .
62:5:021:0	Vy ’rei‐bychain , ymgedwch ywrth eiddolon Amen .
