62:2:001:1	Pen . ij .
62:2:002:1	1 Bot Christ yn Ymddiddanwr yni . 10 Am gariat
62:2:003:1	*
62:2:004:1	cywir
62:2:005:1	perffeith , a’ ph’wedd y treijr . 18 Gogelyd rrac Antichrist .
62:2:001:0	VY meibion‐bychain , y pethu hyn yð wyf yn y scryvenu atoch , val na phechoch : ac a phecha nep , y may y ni ymðiddanwr y gyd a’r Tat , Iesu Christ y cyfiawn .
62:2:002:0	Ac efe yw’r cyssiliat tros ein pechodeu : ac nyd tros yr yddom ni yn vnic , eithyr tros pechotæ yr oll vyt .
62:2:003:0	Ac wrth hyn y gwyddam yr adwaenam ef , a’s cadwn y ’orchymynion ef .
62:2:004:0	Yr hwn a ddywait , Mi adwen ef , ac ny chaidw ei ’orchmyneu , celwyddawc yw , a’r gwirionedd nyd yw ynthaw .
62:2:005:0	Eithr hwn a gaidw y ’air ef , yn wir yn hwnvv y mae cariat ar Dduw yn berffeith : wrth hyn y gwyddam ein bot ynthaw ef .
62:2:006:0	Yr hwn a ddywait y vot yn aros yntho ef , a ðylei ys velly rodiaw , megis ac y rrotiawdd yntef .
62:2:007:0	Vrodyr , nyd wyf yn yscrivenu vn gorchymyn newydd atoch , eithyr gorchymyn hen , yr hwn y vu y chwi or dechreuat : yr hen ’orchymyn yw’r gair , yr hwn a glywsoch or dechreuat .
62:2:008:0	Trachefn , gorchymyn newydd ydd wyf yn eiscrivenu atoch , yr hyn ’sy yn wir yntho ef , ac yno chwithe hefyt : can ys y tywyllwch aeth heibio , a’r gwir ’olauni ’sy yr awrhon yn llewychu .
62:2:009:0	Yr hwn a ðywait y vot yn y golauni , ac yn casau eu vrawt , yn y tywyllwch y mae hyd y pryd hyn .
62:2:010:0	Yr hwn a gar ei vrawt , ys y yn aros yn y golauni , ac nyd oes achos cwymp ynthaw .
62:2:011:0	Eithyr hwn a gasao ey vrawt , yn y tywyllwch y mae , ac yn y tywyllwch y mae yn rrodiaw , ac ny wyr y b’le y mae yn mynet , can ddarvot i’r tywyllwch ddallu ei lygait .
62:2:012:0	Ha blant‐bychain , ydd wyf yn scrivenu atoch , o bleit maddeu ychwi eich pechote er mwyn y Enw ef .
62:2:013:0	Scrivennu ydd wyf atoch , dadeu , can y chwi adnabot yr hwn ys ydd or dechreuat . Scrivennu ydd wyf ato‐chwi , wyr‐ievainc , can ddarvot y chwi orchvygu y Vall .
62:2:014:0	Scrivenny ydd wyf ato‐chwi , yr ei bychain , can y chwi adnabot y Tat . Scrivennais atoch , dateu , can y chwi adnabot yr hwn ys ydd o’r dechreuat . Scrivenais atochwi , wyr‐ieuainc , can eich bot yn gedyrn , a’ gair Duw ys ydd yn aros ynoch’ , a’ gorchvygesoch y Vall .
62:2:015:0	Na charwch y byt , na’r petheu ys ydd yn y byt . A char nep y byt , nyt yw cariat y Tat ynthaw .
62:2:016:0	Can ys pob peth ys ydd yn y byt ( megis chwant y cnawt , a’ chwant y llygait , a’ balchder ybywyt ) nyd yw o’r Tat , eithyr or byt y mae .
62:2:017:0	A’r byt ys ydd yn mynet heibio , ay chwant ef : a’ hwn a wna wyllys Duw a erys yn dragyvyth .
62:2:018:0	Ha‐blant‐bychain , yr amser dywethaf ydiw hi , a’ megis y clywsoch y delei yr Antichrist , ac yr owrhon y mae Antichristieu lawer : wrth yr hyn y gwyddom mae’r amser dywethaf ydyw hi .
62:2:019:0	O ddywrthym ni ydd aethant wy allan , eithyr nyd oeddent o hanam ni : can ys pe besent o hanam , ys arosasent vvy gyd a ni . Eithr hyn a dderyvv , val yr eglurit , nad ynt vvy oll o hanam ni .
62:2:020:0	Eithr y mae y chwi enneint o ddywrth yr hwn ys y Sanctaidd , a’ chvvi a wyðoch bop peth .
62:2:021:0	Nyd escrivennais atoch’ , o bleit na wyddoch y gwirionedd : eithyr am y chwi ei hadnabot , ac am nad oes dim celwydd o’r gwirionedd .
62:2:022:0	Pwy yw ’r celwyddawc , anyd yr hwn a wad may Iesu yw ’r Christ ? hwn yw ’r Antichrist yr vn a wad y Tat a’r Map .
62:2:023:0	Pwy pynac a wad y Map , nyd yw y Tat gan hwnw chwaith .
62:2:024:0	Aroset gan hynny yno‐chwi yr hyn a glywsoch or dechreuat . A’s erys ynoch yr hyn a glywsoch o’r dechreuat , chwithe hefyt a aroswch yn y Map , ac yn y Tat .
62:2:025:0	A’ hwn yw’r addewit a addawodd ef y ni , ’sef bywyt tragyvythawl .
62:2:026:0	Y petheu hyn a scrivenais atoch , erwydd yr ei ’sy ich twyllo .
62:2:027:0	Eithyr yr enneint a dderbyniesoch y cantho ef , ys y yn aros ynoch : ac nyd rait ychwi vot nep ich dyscu : eithr mal ich dysco yr Enneint hwnw am bop peth , ac y mae yn gywir , ac nyd yw yn gelwyddawc , ac megis ich dyscawdd , yr aroswch ynthaw .
62:2:028:0	Ac yr owrhon blant‐bychain , aroswch ynthaw , mal pan yr ymddangoso ef , y bo hyder genym , ac na chywilyddiom ger y vron ef yn ei ddyvodiat .
62:2:029:0	A’s gwyddoch y vot ef yn gyfiawn , gwybyddwch may pwy pynac a wna gyfiawnder y anet o honaw ef .
