2:1:001:1	Ízrel dine'é Ííjip kéyahdi atídabi'dool'įįd
2:1:001:0	Díí Ízrel haye'ké Ííjip kéyahgi yíkaígíí t'ááłá'í nítínígo dabighandóó danilíinii Jéíkab hoł nidahaaznánígíí kódaolyé :
2:1:002:0	Rúben , Símiyan , Líívai , Júdah ,
2:1:003:0	Ísakar , Zébyulan , Bénjamin ,
2:1:004:0	Dan , Náftalai , Géed índa Ásher daolyé .
2:1:005:0	Jéíkab bits'ą́ą́dóó ahii' háá'ahiyoolchíiłii tsosts'idiin yilt'éé lá ; Jóseph éí t'áá íídą́ą́' Ííjip kéyahgi jiníyá .
2:1:006:0	Áko Jóseph daaztsą́ , áádóó bik'isóó índa íídą́ą́' da'ahílchíihii ałdó' ałtso daneezná .
2:1:007:0	Nidi Ízrel ba'áłchíní náás da'ahideeshchį́įgo t'óó ahayóí silį́į́' áádóó ayóó át'éego k'ee'ąą deeshzhiizh , áko k'ee'ąą dínéest'ą́ągo t'áá íiyisí bidziil silį́į́' ; éí kéyahgi k'ee'ąą náneest'ą́ .
2:1:008:0	Áko Ííjip kéyahgi Jóseph yę́ę doo yééhósinii aláahgo naat'áanii náánásdlį́į́' .
2:1:009:0	Áko éí bidine'é áyidííniid , Shoo , Ízrel dine'é t'óó ahóóyóí áádóó nihiláahgo dabidziil daazlį́į́' .
2:1:010:0	Haa'íshą' baa dahoniidzą́ągo át'ée dooleełgi baa nídadíit'įįł , doodago t'áá k'ee'ąą náánoot'į́įłgo áádóó nihich'į' anaa' hazlį́į'go nihida'ana'í yił ałch'odadoo' niiłgo nihik'iidoojah , sha'shin , áko kéyahdóó ałtso yóó'anídahidoo'nééł .
2:1:011:0	Éí bąą t'áá íiyisí naanish yídahoniłkadgo yee hade ádahósin doo biniyé naanish binanit'a'í hach'į' nideiznil , áko Páítham índa Rámsiiz hoolyéego Féro bá yódí biniyé kin hadaas'áago ádajiilaa .
2:1:012:0	Azhą́ t'áá íiyisí atídajił'į́į nidi t'óó yówehda k'ee'ąą dínéest'ą́ áádóó t'ah yówehígo k'ee'ąą ní'deeshzhiizh . Áko Ííjip dine'é danilíinii Ízrel dine'é t'áá íiyisí yik'ee niseekai .
2:1:013:0	Áko Ízrel dine'é naanish yídeiniłkadgo ádił nideílníísh .
2:1:014:0	Áko naalte' dajílį́įgo ts'ídá yéego na'anish yee hoda'niighą́ą́' ; hashtł'ish áádóó bis ádajile'go índa dáda'ak'ehgóó naanish t'áá ał'ąą baa nidajikai ; ts'ídá yéego hondaanish yídahoniłkad .
2:1:015:0	Áádóó Ííjip dine'é binanit'a'í éí Hííbrew dine'é asdzání ha'niyóodii léi' yich'į' haadzíí' ; éí asdzání ła' Shífrah wolyé índa ła' éí Púwa wolyé .
2:1:016:0	Áko ání , Asdzání ha'niyóodii nohłíinii , Hííbrew asdzání nida'iiłchíihgo ííshją́ą́ hadaohsíidgo ashkiigo éí nidaałtseed doo ; at'ééd nilį́įgo t'áá dahináa doo .
2:1:017:0	Nidi asdzání ha'niyóodii Diyin God yidísin , áko Ííjip binanit'a'í hach'į' yee haadzíi'ii t'áadoo bik'ehgo ádziidzaa da , áko ashiiké nidahachíhígíí t'áá dahináago ájiilaa .
2:1:018:0	Ákohgo Ííjip binanit'a'í éí asdzání ha'niyóodii yíká i'ííł'a'go áyidííniid , Ha'át'éegoshą' kóhdzaa ; ashiiké yázhí t'áá dahináago óohłaa lá ?
2:1:019:0	Asdzání ha'niyóodii Féro áyidííniid , Díí Hííbrew asdzání doo Ííjip asdzánígi ádaat'ée da , háálá éí dabiinéigo ha'niyóodii éí t'áadoo yílyeedí t'ahaa'go nida'iiłchííh .
2:1:020:0	Áko Diyin God éí asdzání ha'niyóodii yik'ijisdli' índa diné k'ee'ąą nídínéest'ą́ągo yéego bidziil silį́į́' .
2:1:021:0	Áko asdzání ha'niyóodii éí Diyin God yidísinígíí biniinaa ha'áłchíní hólǫ́ǫgo áhoolaa .
2:1:022:0	Áko Féro éí bidine' é t'áá ałtso yich'į' haadzíi'go áyidííniid , Hííbrew ashkii nidahachíhígíí tooh biih dahołtł'iid doo , nidi at'éékégo éí bíni' dahináa dooleeł .
