2:19:001:1	Dził Sáínaigi Ízrel dine'é níná
2:19:001:0	Ííjip kéyahdę́ę́' Ízrel dine'é ch'ínínáádóó táadi hanííbą́ązgo t'áá éí bijį́ Sáínai honoojíijį' ííná .
2:19:002:0	Jó , Réfidim hoolyéédóó dah diináago Sáínai honoojíijį' ííná , áko honoojíidi dziłtsį́įgi Ízrel dine'é t'óó áłtsééd niníná .
2:19:003:0	Áádóó Mózes éí Diyin God yich'į' haayá , áko dziłghą́ą́'dę́ę́' Bóhólníihii hach'į' haadzíi'go kóní , Jéíkab bidine'é kóbidiní , Ízrel ba'áłchíní bił hólne' .
2:19:004:0	Áko Ííjip dine'é ááł'įįdígíí áádóó atsá bit'a' bee náás hojoojihígi át'éego náás nihiníjaa'ígíí índa ádínihiish'nilígíí daołtsą́ .
2:19:005:0	Éí bąą k'ad t'áá aaníí shizaad bik'eh dahonoł'į́įgo índa nihił bee aha'di'nisht'áanii nihił danilį́įgo dadine'é t'áá ałtso bitahdóó t'áá shí shidine'é danohłį́į doo ; jó , nahasdzáán éí t'áá át'é shí .
2:19:006:0	Áko nááda'iiłniihii danohłį́įgo aláahgo nihinanisht'áa doo índa diyin dine'é shich'į'go danohłį́į doo . Díí saadígíí Ízrel dine'é bich'į' bee yáníłti' doo .
2:19:007:0	Áko Mózes nádzáago diné aląąjį' naazíinii hágo yidííniidgo dabinááł díí saad t'áá át'é Bóhólníihii hach'į' yee haadzí'ígíí bił ch'íjiiz'ą́ .
2:19:008:0	Áko diné t'áá ałtso t'áá ahąąh ádaaní , Bóhólníihii nihich'į' yee haadzí'ígíí t'áá ałtso bik'eh ádadii'nííł . Áádóó Mózes éí diné hach'į' yee hadaasdzí'ígíí bee Bóhólníihii bił náhojoolne' .
2:19:009:0	Áádóó Bóhólníihii éí Mózes áyidííniid , Shoo , k'os diłhił bee nich'į' ninishááh , áko nich'į' yáshti'go diné deididoots'į́į́ł áádóó hool'áágóó danoodlą́ą doo . Áádóó Mózes éí diné hach'į' yee hadaasdzí'ígíí bee Bóhólníihii bił náhojoolne' .
2:19:010:0	Áko Bóhólníihii éí Mózes áyidííniid , Nílááh , diné bich'į' nídídáahgo díí jį́ áádóó yiską́ągo diyingo nidahodiyíí'aał , áádóó ha'éé' dazdoogis .
2:19:011:0	Díí jį́į́dóó naaki yiską́ąjį' ałtso hasht'e'ádazhdidoolnííł , háálá tágí jį́ aleeh góne' diné t'áá ádzíłtso hanááł Dził Sáínai bikáa'jį' Bóhólníihii hadadooleeł .
