2:11:001:1	Alą́ąjį' daazhchíinii dadínóonééł t'áá bitséedi baa hóóne'
2:11:001:0	Áko Bóhólníihii éí Mózes ánéidoo'niid , Díí t'éiyá ts'ídá akée'di Féro índa Ííjip dine'é atíshłéhígíí át'é , áko índa níláhgóó nihi'doołnihgo kodóó ts'ídá t'áá ánóht'é ch'ínihidínóołkał .
2:11:002:0	K'ad díí Ízrel dine'é bee bił hodíílnih , Bíni' diné índa asdzání t'ááłá'í jinítínígo hoł kééhat'íinii t'áadoo le'é béésh łigaii índa óola bee yódí ádaalyaii bídeízhdóokił .
2:11:003:0	Áko Bóhólníihii éí Ízrel dine'é bich'oha'néego Ííjip dine'é baa dajooba'go ábiilaa , índa t'ah nááyówehgo Féro bá nidaal'a'í áádóó bidine'é binááł Ííjip kéyahgi Mózes ts'ídá ayóó át'éii jílį́ .
2:11:004:0	Áko Mózes ádííniid , Bóhólníihii kóní , Tł'é'ííłníi'go Ííjip dine'é bitahgóó hadideeshááł .
2:11:005:0	Áko Ííjip kéyahgi alą́ąjį' nidahaazhchíinii t'áá ałtso dadínóonééł ; Féro dah sidáádóó índa ak'áán ál'íní bine'dóó asdzání á nidaal'a'í hwee nihool'áajį' alą́ąjį' nidahaazhchíinii , índa alį́į́' alą́ąjį' daazhchíinii t'áá át'é dadínóonééł .
2:11:006:0	Áádóó Ííjip kéyahgi t'áá át'éé nít'éé' ayóó át'éego cha háá'áa doo ; hádą́ą'da ákót'éii doo ánéeh da nít'éé' , áko kodóó hool'áágóó doo ákónááhodoo'níił da .
2:11:007:0	Nidi Ízrel dine'é bich'į'go éí łééchąą'í nidi doo ła' hashkénídzin da doo ; diné índa alį́į́' bich'į' nidi dooda , áko díí nihił béédahodoozįįł : Bóhólníihii éí Ííjip dine'é índa Ízrel dine'é doo aheełt'éii át'ée daígíí ííshjání áyósin .
2:11:008:0	Áko ná nidaal'a'í t'áá ałtso shich'į' hadadookah , áádóó shich'į' yaa ádadooníiłgo kódadidooniił , Akóóh yówehjį' ch'ínóhnééh ; diné nikéé' tádíkáhígíí t'áá ałtso ałdó' t'áá bił , áádóó bik'ijį' índa akǫ́ǫ́ ch'ídeeshááł . Mózes éí Féro bits'ą́ą́' ch'ízhníyáago t'áá íiyisí háhóóchįįd .
2:11:009:0	Áko Bóhólníihii éí Mózes áyidííniid , Féro doo níists'ą́ą' da doo , áko Ííjip kéyahgi shibik'ee t'óó ił adahayóii k'ee'ąą yilzhish doo .
2:11:010:0	Mózes áádóó Éran díí bik'ee t'óó ił ahayóigo áhooníiłii t'áá ałtso Féro binááł ájiilaa , áádóó Bóhólníihii éí Féro bijéí nááyííłtł'isgo bikéyahdóó t'áadoo Ízrel dine'é yéé'níłnii' da .
