2:39:001:1	Nááda'iiłniihii dabi'éé' álnéhígíí
2:39:001:0	Yisdizii yá nahalingo dootł'izhígíí áádóó tsídídééh nahalingo łichí'ígíí índa łichxí'ígíí éí bee éé' ts'ídá yá'át'éhígíí yiih nídaakahgo hodiyingo haz'ą́ągi nidaal'a' doo biniyé ádayiilaa ; Bóhólníihii éí Mózes yich'į' yee haadzíi'ii bik'ehgo éé' dadílzinii Éran bá ádayiilaa .
2:39:002:0	Íífad wolyéii éí óola áłts'óózígo neheeshgizhígíí áádóó yisdizii yá nahalingo dootł'izhígíí áádóó tsídídééh nahalingo łichí'ígíí áádóó łichxí'ígíí índa áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii yee áyiilaa .
2:39:003:0	Óola ałt'ą́ą́'ígo hasht'e'nabí'ílne'go áłts'óózígo niheeshgizhgo bee ná'álkadí ádayiilaago éí yisdizii yá nahalingo dootł'izhígíí áádóó tsídídééh nahalingo łichí'ígíí áádóó łichxí'ígíí índa áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii yił nideineeshee'go iichįįhgo yaa nidadeesgį'go deiztł'ǫ́ .
2:39:004:0	Íífad wolyéii awostisgi t'áá ałch'ijí bee ahídahaashcha'ígíí ádayiilaa .
2:39:005:0	Íífad wolyéii aníí' gónaa ahééhiníłtsoozígíí baa nahodeesgį'go yistł'ónígíí éí bee áká ná'álzis doo biniyé bił ahídahaashcha'go ályaa ; óola áłts'óózígo neheeshgizhígíí áádóó yisdizii yá nahalingo dootł'izhígíí áádóó tsídídééh nahalingo łichí'ígíí áádóó łichxí'ígíí índa áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii bee t'áá íífad naashch'ąą'go ályaaígi át'éego sis naashch'ąą'go ályaa ; Bóhólníihii éí Mózes yich'į' yee haadzíi'ii bik'ehgo ályaa .
2:39:006:0	Tsé ílíinii ániks wolyéii hasht'e'niyída'ak'aashii ál'ínígi át'éego tsé yinída'ak'aashgo yízhí bik'i naaznilgo bibąąhgóó óola bee ahéédeelghasgo Ízrel biye'ké dabízhi' bik'i sinilgo ádayiilaa .
2:39:007:0	Éí tséhígíí Ízrel biye'ké bee bééhániih biniyé íífad wolyéii bikáa'gi awostisgi t'áá ałch'ijí sinilgo Bóhólníihii éí Mózes yich'į' yee haadzíi'ii bik'ehgo áyiilaa .
2:39:008:0	Íífad bikáa'gi ayidgi dah siłtsoozígíí éí óola áłts'óózígo neheeshgizhígíí áádóó yisdizii yá nahalingo dootł'izhígíí áádóó tsídídééh nahalingo łichí'ígíí áádóó łichxí'ígíí índa áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii baa nahodeesgį'go iichįįhgo íífad ályaaígi át'éego áyiilaa .
2:39:009:0	Éí dik'ą́ągo ályaa ; ayidgi dah siłtsoozígíí ahą́ą́h nániilyáago yílá deests'ǫ́ǫ́d áníłnééz áádóó yílá deests'ǫ́ǫ́d áníłtéelgo
2:39:010:0	bikáa'gi dį́į'go hadahidiit'i'ígíí tsé da'ílíinii biih hees'nil ; áłtsé hadiit'i'ígíí éí sárdiyas , áádóó tópaz , índa kárbankal ;
