2:21:001:1	Naalte' danilíinii áál'įįł dooleełii
2:21:001:0	Áko díí bee nihodiit'aahii Ízrel dine'é bá bee nihodidíí'ááł .
2:21:002:0	Hííbrew naalte' nahíłniihgo ííshją́ą́ hastą́ą́h nááhaijį' ná naal'a' doo , áádóó tsosts'id náhááh góne' éí t'áá jíík'eh hwéédidoochił .
2:21:003:0	T'áá bí t'éí naa níyáago t'áá bí t'éí dah nídidoodááł , nidi be'asdzą́ą́ hólǫ́ǫgo yił naa ní'áazhgo éí be'asdzą́ą́ yił dah nídidoot'ash .
2:21:004:0	Áko bá nijil'a'í hwe'asdzą́ą́ dooleełii hainíłtį́įgo éí haye'ké doodago hatsi'ké há niyiishchį́įgo hwe'asdzą́ą́ áádóó ha'áłchíní éí bá nijil'a'í t'áá bídéét'i' , áko t'áá hó t'éí dah nídizh'doodááł .
2:21:005:0	Nidi naalte' bééhózínígo haadzíi'go , Bá naash'a'í áádóó she'asdzą́ą́ índa sha'áłchíní ayóó'óósh'ní , áko doo dah nídideeshdáał da , níigo
2:21:006:0	bá nijil'a'í éí ándahwii'aahii yich'į' hoł doo'ash , índa bá nijil'a'í éí ch'é'étiinjį' hoł doo'ashgo dáádílkał , doodaii' ch'é'étiin siláii bik'ijį' tsah yee hajaa' yighá'dootsih , ákót'éego t'éiyá hool'áágóó bá nijil'a' doo .
2:21:007:0	Áko diné ła'da bitsi' naalte' yiniyé baa nahaz'nii'go éí doo diné naalte' nilínígi át'éego dah nídidoodáał da .
2:21:008:0	Áko bá nijil'a'í be'asdzą́ą́ jidooleełgo hoł aha'deet'ą́ągo nidi doo bił yá'ájít'ééhgóogo bíni'dii hak'éí t'óó nináhodiyoołnih ; doo Ízrel dine'é nilíinii yich'į' nahodiyoołnihgo éí doo bá bee haz'ą́ą da , háálá bizdeezlo'go jiníí'aa' .
2:21:009:0	Áko biye' yaa hodoołtéełgo hoł aha'deet'ą́ągo éí t'áá hó hatsi'ígi át'éego baa nitsídzíkees doo .
2:21:010:0	Áko ła' hwe'asdzą́ą́ ánáájiidlaago asdzání naalte' nilį́į́ nít'é'ígíí bich'iyą' áádóó yee hadít'éii índa bił ahídzískéego bee ahíhojólníhígíí doo ła' bi'oh ánízhdoodlíił da .
2:21:002:1	T'áá na'níle'dii áda'ahi'jil'íinii biniyé bee nahaz'áanii
2:21:011:0	Áko díí táa'go haz'ą́ doo bi'jósingóó , áko naalte' nilínídóó t'áá jíík'eh dah nídidoodááł .
2:21:012:0	T'áá háiida ła' atíjiilaago daaztsą́ągo éí t'áá aaníí hó ałdó' hodi'yoolyééł .
2:21:013:0	Doo aa nidziyeedzáágóó nidi Diyin God bíniik'ehgo ádzaago éí yisdázhdínóochéełjį' bee ho'deesh'nih .
2:21:014:0	Nidi diné ła'da yił kééhat'íinii yinahazgiz áádóó yiyiisxį́įgo shibikáá' náá'iiniihí bine' jidoodzihígíí bits'ą́ąjį' kóhodi'doolníiłgo hodi'yoolyééł .
2:21:015:0	T'áá háiida hazhé'é , doodaii' hamá názh'níłts'ingo t'áá aaníí hodi'yoolyééł .
2:21:016:0	Áádóó t'áá háiida diné ła' jineez'į́į́' áádóó haa nahaaznii'go , doodaii' t'áá jótą'go haho'deel'į́į'go t'áá aaníí hodi'yoolyééł .
2:21:017:0	Áko t'áá háiida hazhé'é , doodaii' hamá jéédzí'ígíí t'áá aaníí hodi'yoolyééł .
2:21:018:0	Áko diné ahigą́ągo nít'éé' ła'ígíí tsé yee néidííłne'go , doodaii' néidííłts'ingo t'áadoo daaztsą́ą́góó , nidi t'óó bitsásk'eh yikáá' sitį́įgo ,
2:21:019:0	nít'éé' t'áá yá'át'ééh náádleełgo tł'óó'góó bigish yee nihéédiidzáago , éí náhodííłhaalígíí doo bee bihodiit'i' da doo , nidi hanaanish dooleeł nít'é'ígíí yik'é hach'į' niná'doodlééł , áádóó náázdiidzáajį' haa áhályą́ą doo .
2:21:020:0	T'áá háiida binaalte' dinéhígíí , doodaii' asdzánígíí gish yee yił nizníłhaalgo daaztsą́ągo t'áá aaníí atíhodi'doolnííł .
2:21:021:0	Nidi hanaalte' ła'a jį́ , doodaii' naaki jį́ t'áá hináago éí doo atíhodi'doolníił da , háálá hananit'a'í bibéeso jílį́ áhósin .
2:21:022:0	Áko diné ła' ahigą́ągo biniinaa asdzání yiltsánígíí atíyiilaago áádóó bitsą́ha'íí'éelgo , nidi asdzánígíí éí t'áadoo ádzaaígóogo t'áá aaníí bik'é ninázh'doodlééł ; asdzání bahastiin áádóó ándahwii'aahii yee nihoní'ánígíí bik'ehgo ninázh'doodlééł .
2:21:023:0	Nidi haada yidzaago éí be'iina' bidiníná iiná hąąh nídoot'įįł .
2:21:024:0	Bináá' atíjiilaago hanáá' atínídoolnííł ; biwoo' atíjiilaago hawoo' atínídoolnííł ; bíla' atíjiilaago hála' atínídoolnííł ; bikee' atíjiilaago hakee' atínídoolnííł ;
2:21:025:0	hodííłidii nídizhdidoołił ; hahodííłnihii habinídizhdoołnih ; hak'i nidzisk'ą́ áhoolaii bik'i nidzisk'ą́ ánízhdoodlííł .
2:21:026:0	Áko diné ła'da diné honaalte' , doodaii' asdzání honaalte' bináá' bił dziizdeesxaalígíí bináák'is ájiilaago bináá' t'óó tízhdiilaaígíí biniinaa béézhdidoochił .
2:21:003:1	Diné bíí' ílíinii bee bóhólníihgo bee bá nahaz'áanii
2:21:027:0	Áko diné honaalte' , doodaii' asdzání honaalte' biwoo' habíijííłhaalgo biwoo' t'óó tízhdiilaaígíí biniinaa béézhdidoochił .
2:21:028:0	Áko diné , doodaii' asdzání ła'da béégashii bighá'níshiizhgo daaztsą́ągo t'áá aaníí éí tsé bee béégashii bił nizdoolniił ; bitsį'ígíí doo yidą́ą da , áko bibéégashii ílíinii doo bihodidoot'ih da .
