2:13:001:1	Ízrel dine'é alą́ąjį' daazhchíinii ats'ádeet'ą́ągo bee nihoot'ą́
2:13:001:0	Áko Bóhólníihii éí Mózes yich'į' haadzíi'go kóní ,
2:13:002:1	Díík'ǫsh t'áágééd bááh ályaii bee áda'azįįd
2:13:002:0	Ízrel dine'é bitahgi alą́ąjį' yizhchíinii t'áá át'é diyingo shá nihidí'aah ; jó , diné áádóó alį́į́' éí daashí .
2:13:003:0	Áko Mózes éí dine'é áyidííniid , Díí jínígíí béédaałniih : éí Ííjip kéyahdę́ę́' naalte' danohłį́ yę́ędóó ch'ínoonáa ni' , háálá Bóhólníihii éí díí kéyahdóó bibee adziilii yee ch'éénihí'nil , áko díík'ǫsh bił bááh ályaii t'áadoo nídaohdį́hí .
2:13:004:0	Éíbib yiziłígíí binih díí jį́į́ góne' ch'ínoonáa ni' .
2:13:005:0	Áko Bóhólníihii éí Kéínan dine'é áádóó Het dine'é áádóó Ámor dine'é áádóó Háíva dine'é índa Jííbas dine'é bikéyahígíí ; éí danihizhé'é yę́ę yich'į' yee ádee hadoodzíi'go kéyah nihaididoo'áłígíí , éí kéyah yá'áhoot'éehgi abe' índa tsés'ná bitł'izh bee áda'azįįdgo haz'ą́ąjį' anihíí'eezhgo , áadi díí yiziłígíí binih díí nahadlá nídaoł'aah doo .
2:13:006:0	Tsosts'id jį́ éí díík'ǫsh t'áágééd bááh ályaii nídaohdį́įh doo , áádóó tsosts'id jį́ aleeh góne' Bóhólníihii bich'į'go dahodíínóhsingo áłah náhdleeh doo .
2:13:007:0	Tsosts'id jį́ díík'ǫsh t'áágééd bááh ályaii nídaohdį́įh doo ; díík'ǫsh bił bááh ályaii danihighandi nidi doo ła' si'ą́ą da doo ; t'áá nihił nahaz'ánígóó nidi doo ła' díík'ǫsh si'ą́ą da doo .
2:13:008:0	Áko éí bijį́ niye' bee bił hólne' doo ; Ííjip kéyahdę́ę́' ch'éénísdzáago Bóhólníihii shá kódzaaígíí bąą díí kódeiit'į́ .
2:13:009:0	Áko díí bee ééhózinii níla' bikáa' doo , áádóó bee ééhániihii nítáa'gi bikáa' doo , áko Bóhólníihii bibee haz'áanii baa yáníłti' doo , háálá Bóhólníihii bibee adziilii yee Ííjip kéyahdę́ę́' háánihíí'eezh .
2:13:003:1	Alą́ąjį' nidahachíhígíí
2:13:010:0	Éí bąą díí bik'eh hoogáałii bik'eh dahonoł'į́įgo t'áá nináháhááh bik'eh nahadlá nídaoł'aah doo .
2:13:011:0	Áko Bóhólníihii éí Kéínan dine'é bikéyah yiih nihíí'eezhgo éí nihich'į' áádóó danihizhé'é yę́ę yich'į' yee ádee hadoodzí'ígíí bik'ehgo , áádóó éí kéyah nihaidiní'ą́ągo
2:13:012:0	alą́ąjį' nidahachíhígíí t'áá ałtso Bóhólníihii bá ats'ádahidoh'aah doo , índa alį́į́' nihee dahólóonii alą́ąjį' deishchíinii a łdó' dabiką'ígíí t'áá ałtso Bóhólníihii bí doo .
2:13:013:0	Áko télii alą́ąjį' nidahachíhígíí t'áá ałtso bitsásk'ehgi dibé yázhígo bee t'ą́ą́' nááhidííłnih , doodaii' , Doo t'ą́ą́' nááhideeshnih da , nínízingo éí t'óó bik'os k'ídíítih , áádóó Ízrel dine'é alą́ąjį' haye'ké há nidahaazhchíinii t'áá ałtso éí dibé yázhí bee t'ą́ą́' náádahojiiłniih doo .
2:13:014:0	Áko ííshją́ą́ háadida léi' niye' nanídééłkidgo kóníigo , Díishą' ha'át'íí biniyé kódaaht'į́ ? Áko kót'éego bich'į' hadíídzih , Bóhólníihii bibee adziilii yee Ííjip kéyahdi naalte' daniidlį́ yę́ędóó háánihíí'eezh .
2:13:015:0	Ákódzaago Féro yistee'go k'asdą́ą́' t'áadoo nihéé'níłnii' da , áko Ííjip kéyahgi Bóhólníihii éí alą́ąjį' daazhchíinii ałtso íísdįįd ; diné alą́ąjį' bá daazhchíinii índa alį́į́' alą́ąjį' deishchíinii ałtso íísdįįd ; éí bąą alą́ąjį' nidahachíihii dabiką'ii t'áá ałtso Bóhólníihii bich'į'go náádahashniih , nidi shiye'ké alą́ąjį' nidahachíihii t'áá ałtso t'ą́ą́' náádahashniih .
2:13:004:1	K'os níyizígíí áádóó kǫ' níyizígíí
2:13:016:0	Áko díí bee ééhózinii níla' bikáa' doo , áádóó bee ééhániihii nítáa'gi bikáa' doo , háálá Bóhólníihii bibee adziilii yee Ííjip kéyahdę́ę́' háánihíí'eezh .
2:13:017:0	Ákódzaago Féro éí Ízrel dine'é yéé'níłnii'go Diyin God éí Filístiya dine'é bikéyah góne' doo dahodii'eezh da , azhą́ áájí áhání nidi , háálá Diyin God ání , Éí doodaléi' anaa' hodooleeł yaa ákodaniizį́į'go łahgo át'éego tsíńdadookosgo Ííjip kéyahgóó t'ą́ą́' nihéédoo'nééł .
2:13:018:0	Nidi Diyin God éí diné yoo'ishgo honoojíígóó Tónteel Łichíí' bich'į'go yiní'eezh , áko Ízrel dine'é éí anaa' yiniyé hasht'e'ádadólzingo Ííjip kéyahdę́ę́' ch'íníná .
2:13:019:0	Áko Mózes éí Jóseph yę́ę bits'in yoojih , háálá Jóseph éí Ízrel dine'é hach'į' ádee hadadeesdzíi'go ájíní , Diyin God t'áá aaníí nihaa hodooleeł , índa kodóó dah doohnéehgo shits'in deínóhjáah dooleeł .
2:13:020:0	Áko Sákath hoolyéédóó dah náázhdii'náago Íítam hoolyéedi honoojí bibąąhgi nizhníná .
2:13:021:0	Áádóó Bóhólníihii éí jį́įgo k'os níyizgo yee halą́ąjį' hool'ingo hoo'ish , índa tł'ée'go kǫ' níyizgo bee há hool'ingo hoo'ish , áko jį́įgo índa tł'ée'go éí bik'ehgo joonééł .
2:13:022:0	Áko jį́įgo k'os níyizígíí índa tł'ée'go kǫ' níyizígíí t'áadoo hats'áldoh da .
