2:35:001:1	Háá'áyį́į́h jį́ bibee haz'áanii
2:35:001:0	Mózes éí Ízrel dine'é t'áá ałtso áłah áyiilaago áyidííniid , Díí saad Bóhólníihii nihich'į' yee haadzí'ígíí bik'eh ádaaht'į́į doo .
2:35:002:0	Hastą́ą́h jį́ t'éí na'anish dooleeł , nidi tsosts'id jínígíí éí háá'áyį́į́h jį́ át'éego dílzin ; Bóhólníihii bich'į' dahodíínóhsingo háádahołyį́įh doo ; éí bijį́į́ góne' ła' t'áá ha'át'éegoda nijilnishgo t'óó hodi'yoolyééł .
2:35:002:1	Bóhólníihii bich'į' náádahaniihii
2:35:003:0	Kéédahoht'ínígi t'áá ánółtso háá'áyį́į́h jį́į́ góne' t'áadoo déédadołjahí .
2:35:004:0	Mózes éí Ízrel dine'é t'áá ałtso áyidííniid , Díí Bóhólníihii nihich'į' yee haadzíi'go ání ,
2:35:005:0	Nihitahgóó t'áadoo le'é Bóhólníihii baa dahidoh'aah ; t'áá háiida bił hadlee'ii háni'dii díí Bóhólníihii bich'į' náádahizhdoołnihígíí nidajiijáah doo : éí óola , béésh łigaii , béésh łitsoii ,
2:35:006:0	yisdizii yá nahalingo dootł'izhígíí , tsídídééh nahalingo łichí'ígíí áádóó łichxí'ígíí áádóó áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii áádóó tł'ízí bighaa' ,
2:35:007:0	deenásts'aa' bikágí daaldzą́ągo deilchii'ii áádóó nahashch'id bikágí , tsin nitł'izii akéíshiya wolyéii ,
2:35:008:0	ak'ah bee hool'inígíí , áádóó ak'ah ak'i yahiidzíidgo bee alzį́įhii índa tsin bijeeh dilidgo łikání halchinii bá spáis wolyéii ,
2:35:003:1	Níbaal bii' hodílzinii bee bii' hahodít'éhígíí
2:35:009:0	tsé ániks wolyéhígíí índa tsé da'ílíinii éí íífad wolyéii áádóó ayidgi dah siłtsooz dooígíí bikáa'gi bee nidooch'ąhii Bóhólníihii baa dahidoh'aah .
2:35:010:0	Háni'dii diné t'ááłá'í nítínígo naanish dayiichįįhgo nidaalnishii éí t'áá át'é ádazhdoolíiłgo Bóhólníihii hach'į' yee haadzí'ígíí ádazhdoolííł ;
2:35:011:0	éí níbaal bii' hodílzinii índa bitis ahííkaad dooígíí áádóó éí bikáa'gi ałk'i sikaad dooígíí índa ahidahidiiłtsoozgi bił dah nídaatį́įh dooígíí , tsin neheeshjíí' ahééneelkáal dooígíí índa booshk'iizhjí tsin níyizii naaniigo bąąh daní'áa dooígíí áádóó tsin níyizii ííyah danii'áa dooígíí índa bitł'ááh naaznilgo t'ááłáhíjí biih dahasdzą́ą dooígíí ,
2:35:012:0	tsits'aa' dílzinii índa tsin níyizii bee naat'áa dooígíí , aa a'ááh hasinii bił haz'áanii dooleełígíí , ata'naníbaal dooleełígíí ,
2:35:013:0	bikáá' adání áádóó tsin níyizii bee naat'áa dooígíí áádóó beedí chodao'į́į dooleełígíí t'áá ałtso t'áá bił , Diyin God bich'į' bááh nááhániih dooleełígíí ,
2:35:014:0	bee hool'iní bá yadaa'áii ałdó' , bił chodao'íinii índa bílátah dah na'azkánígíí áádóó ak'ah iih náhádzíidgo bee hool'in dooleełígíí ,
2:35:015:0	tsin bijeeh dilidgo łikání halchinii bá bikáá' náá'iiniihí , tsin níyizii bee naat'áa dooígíí t'áá bił índa ak'ah ak'i yahiidzíidgo bee alzį́įhii áádóó tsin bijeeh dilidgo łikání halchin dooígíí , níbaal bii' hodílzinii bich'é'étiingi dáádiníbaal dooígíí ,
2:35:016:0	bikáá' náá'iiniihí éí didlidgo nááhániihii bá ályaaígíí índa bá béésh łitsoii ałnáshizhoozh dooígíí áádóó tsin níyizii bee naat'áa dooígíí índa bił chodao'íinii t'áá ałtso t'áá bił , bii' tá'ádígisí índa bá si'ánígíí t'áá bił ,
2:35:017:0	níbaal bii' hodílzinii binaa haz'ánígi nídadilbał dooígíí índa tsin níyizii ííyah danii'áa dooígíí áádóó bitł'ááh naaznilgo t'ááłáhíjí biih dahasdzą́ą dooígíí , ahééneelkálígíí bich'é'étiingi dáádiníbaal dooleełígíí ,
2:35:018:0	níbaal bii' hodílzinii áádóó binaadi ahééneelkáalgo bąąh aníbaalii bá anídaalkał dooleełígíí índa bitł'óól bee dah nídahatł'óoh dooleełígíí ,
2:35:004:1	Diné éí náádayiiłniihii nidayiijááh
2:35:019:0	áádóó éé' ts'ídá yá'át'éehgo ádaalyaago náá'iiłniihii dabi'ée'go hodiyingo haz'ą́ągi nidaal'a' doo biniyéhígíí , éí éé' dílzinii Éran náá'iiłniihii nilíinii índa biye'ké nááda'iiłniihii danilį́įgo yiih nídaakahgo shá nidaal'a' doo biniyéhígíí t'áá ałtso ádazhdoolííł .
2:35:020:0	Áko Ízrel dine'é t'áá ałtso Mózes yits'ą́ą́' anáhaaskai .
2:35:021:0	Áko nidahaaskaii t'ááłá'í nítínígo bijéí nidabiił'náago bii' naazíinii bił dahóódlee'ígíí éí Bóhólníihii yich'į' náádayiiłniihii nidayiizhjaa' ; éí níbaal bii' dahozdísinii bee hadidoolnííł áádóó biyi' náá'iiłniihii chodayooł'į́į dooígíí t'áá ałtso índa éé' dadílzinii bii' astį́įgo na'al'a' dooígíí ádeidoolííł biniyé nidayiizhjaa' .
2:35:022:0	Ákohgo diné áádóó asdzání nidahaaskaigo , t'ááłá'í nítínígo t'áá bí lą́ daniizį́'ígíí bik'ehgo ił dah nátį́hí áádóó jaatł'óół áádóó yoostsah áádóó béésh k'eet'oh índa óola bee ádaalyaaígíí t'áá ał'ąą ádaat'éii nidayiizhjaa' ; diné t'ááłá'í nítínígo óola bee dahólónígíí éí Bóhólníihii yich'į' náádayiiłniihgo nidayiizhjaa' .
2:35:023:0	Áádóó éí t'ááłá'í jinítínígo yisdizii yá nahalingo dootł'izhígíí , tsídídééh nahalingo łichí'ígíí , łichxí'ígíí , áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii , tł'ízí bighaa' , deenásts'aa' bikágí daaldzą́ągo deilchii'ii índa nahashch'id bikágí díí hwee dahólóonii nidajiizhjaa' .
2:35:024:0	T'ááłá'í jinítínígo éí béésh łigaii áádóó béésh łitsoii hwee dahólónígíí Bóhólníihii baa dahizdeez'ánígíí nidajiizhjaa' , áko Bóhólníihii baa nídahizdeez'ą́ . Áádóó t'ááłá'í jinítínígo tsin nitł'izii hwee dahólónígíí chodeidoo'įįł biniyé nidajiizhjaa' .
2:35:025:0	Asdzání adiz yéédahósinii éí yisdizii yá nahalingo dootł'izhígíí áádóó tsídídééh nahalingo łichí'ígíí áádóó łichxí'ígíí índa áłts'óózígo yisdizígíí bee na'at' ą́hí łigaii dits'idgo ályaii hadayiizdizígíí nidayiizhjaa' .
2:35:026:0	Asdzání t'áá ałtso adiz yéédahósinii adiih ádaat'į́įgo tł'ízí bighaa' hadayiizdiz .
2:35:027:0	Índída diné nida'a'eeshígíí éí tsé ániks wolyéhígíí áádóó tsé da'ílíinii éí íífad wolyéii índa ayidgi dah sił tsooz dooígíí bikáa'gi bee nidaach'ąąhii nidayiizhjaa' ,
2:35:028:0	áádóó ak'ah bee hool'in dooígíí áádóó ak'ah ak'i yahiidzíidgo bee alzį́įhii índa tsin bijeeh dilidgo łikání halchinii bá spáis wolyéii nidayiizhjaa' .
2:35:005:1	Biizáliyel áádóó Ahóliyab bíká áhodoo'niid
2:35:029:0	Áko Ízrel dine'é t'áá bí ádeiniizį́į'go Bóhólníihii yaa nídeidiyiiz'áanii nidayiizhjaa' ; diné danilíinii áádóó asdzání danilíinii t'ááłá'í nítínígo bijéí nidabiił'náago naanish t'áá ał'ąą ádaat'éii t'áá ałtso yiniyé t'áadoo le'é deeshjih danízinígíí Bóhólníihii t'áá Bí éí Mózes binahjį' yee haadzíi'ii bik'ehgo nidayiizhjaa' .
2:35:030:0	Áádóó Mózes éí Ízrel dine'é áyidííniid , Shoo , Bóhólníihii éí Yúrai biye' Biizáliyel wolyéii yiyíízhi'go néidiiłtį́ . Yúrai éí Her biye' jílį́įgo Júdah bidine'é bits'ą́ą́dóó jílį́ .
2:35:031:0	Áádóó Biizáliyel bíni' bíighahgo Diyin God biNíłch'i Diyinii bii' hólǫ́ǫgo hóyą́ągo áádóó ak'idi'yiitįįhgo áádóó bił ééhózingo índa naanish ał'ąą ádaat'éii yiyiichįįhgo áyósin .
2:35:032:0	Áko na'ach'ąąh yindoolnishii yinaha'áa doo ; éí óola áádóó béésh łigaii índa béésh łitsoii bee ázhdoolííł .
2:35:033:0	Tsé da'ílíinii bee hazhdidoolííł áádóó tsin nijik'ęęhgo bee nizhdooch'ąh biniyé hasht'ezhdoolííł , áko naanish ał'ąą ádaat'éii jiichįįhgo binizhdoolnish .
2:35:034:0	Bóhólníihii éí Biizáliyel índa Ahóliyab t'áá ájíłah ahozhniiyąądgo nazh'ntin áhoolaa ; Ahóliyab éí Ahísamak biye' jílį́įgo Dan bidine'é bits'ą́ą́dóó jílį́ .
2:35:035:0	Diyin God éí Biizáliyel índa Ahóliyab bíni' bíighahgo iichįįhgo át'é hwiindzin bii' hólǫ́ǫgo áyiilaa , áko éí nidilt'éego naanish ał'ąą ádaat'éii íidoolíiłgo ts'ídá t'áá át'éegi bił bééhózin silį́į́' : éí atsidjí lá , na'ach'ąąh áádóó yisdizii yá nahalingo dootł'izhígíí áádóó tsídídééh nahalingo łichí'ígíí índa łichxí'ígíí áádóó áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii biyi'jį' yistł'ǫ́ǫgo naashch'ąą'go atł'óó lá , áko t'áá ha'át'íhída yindoolnishii yiyiichįįh áádóó yinaha'áago binaanish ííł'į́ .
