2:33:001:1	Dah doohnééh ho'doo'niid
2:33:001:0	Bóhólníihii éí Mózes yich'į' haadzíi'go ádííniid , Nihílááh , dah doohnééh ; ni lá áádóó Ííjip kéyahdę́ę́' diné ch'ííní' eezhígíí éí Éíbraham áádóó Áízak índa Jéíkab bich'į' kéyah bee ádee hahidísdzíi'go , Niha'áłchíní baa dideesh'ááł , bidííniidígíí ákóde nídidooh'nééł .
2:33:002:0	Áádóó diyingo naal'a'í nihilą́ąjį' deesh'aał , áko Kéínan dine'é , Ámor dine'é , Het dine'é , Píírez dine'é , Háíva dine'é índa Jííbas dine'é ch'ídahidínéeshkał .
2:33:003:0	Kéyahgi yá'áhoot'éehgi abe' índa tsés'ná bitł'izh bee áda'azįįdgo haz'ą́ąjį' nídidooh'nééł , nidi shí éí doo ákóde nihitah déyáa da , háálá nihí éí diné ák'eha'į́ bee doo nibída'didzilii danohłį́ ; jó , nihitah yisháałgo éí ánihideeshdįįłgoda át'é .
2:33:004:0	Ákohgo diné díí hane' doo yá'át'éehii deidiizts'ą́ą'go yaa yínííł daazlį́į́' , áko biyódí doo ła' yee háádadiit'įįh da hazlį́į́' .
2:33:005:0	Háálá t'áá íídą́ą́' Bóhólníihii éí Mózes áyidííniid , Ízrel dine'é kóbididííniił , Nihí éí diné ák'eha'į́ bee doo nibída'didzilii danohłį́ ; jó , t'óó nihitah honishłǫ́ǫgo t'óó ánihideeshdįįł . Éí bąą k'ad , nihiyódí bee nida'ádóhch'ąąhígíí ádaa dahidooh'nííł , áko ánihideeshłíiłgi bee hasht'e'nitsídeeskos .
2:33:002:1	Níbaal bii' ahíná'iildahgi
2:33:006:0	Éí bąą Ízrel dine'é éí Dził Hóreb hoolyéegi biyódí yee háádadiit'įįhígíí hadeidiyii'níiłgo hodeeshzhiizh .
2:33:007:0	Áko Mózes éí níbaal néidiiłtsoozgo níbaal haal'áhídóó t'áá nízaadi níbaal niiní'ą́ , áko , Éí níbaal bii' dahozdísinii wolyée doo , dííniid . Áádóó t'ááłá'í jinítínígo Bóhólníihii bich'į' nída'jookąąhígíí éí níbaal bii' dahozdísinii éí níbaal haal'áhídóó t'áá sahdii nízaadi si'áníjį' ałnáádajikah .
2:33:008:0	Áko Mózes éí níbaal bii' hodílzinii si'ánígóó t'áá dashdiighááh bik' eh diné t'ááłá'í nítínígo nídiijah áádóó t'ááłá'í danítínígo dabiníbaal bich'é'étiindóó naazį́įgo , Mózes éí níbaal bii' hodílzinii si'ání góne' yah ajigháahjį' dahoníł'į́į łeh .
2:33:009:0	Áádóó Mózes éí níbaal bii' hodílzinii góne' t'áá yah aníjídááh bik'eh k'os níyizgo níbaal bii' hodílzinii bich'é'étiinjį' análdohgo Bóhólníihii éí Mózes yich'į' yáłti' łeh .
