2:17:001:1	Tsé bii'dę́ę́' tó
2:17:001:0	Áko Ízrel dine'é t'áá ałtso tádínéehgo Bóhólníihii ádííniidii bik'ehgo honoojí Sin hoolyéédóó dah náádii'ná , áádóó Réfidimgi niníná , nidi áadi tó dazhdoodlį́įłii ádin lá .
2:17:002:0	Éí bąą diné éí Mózes nayíyádaałti'go kódaaní , Tó dadiidlį́łígíí nihaa diní'aah . Áko Mózes áhodííniid , Ha'át'íí biniinaa nashíyádaałti' ? Ha'át'íí biniyé Bóhólníihii nibídanohtaah ?
2:17:003:0	Áko ákwii diné t'áá íiyisí dibáá' daazlį́į'go Mózes yich'į' saad dahółǫ́ǫgo ádaaní , Ha'át'éegoshą' nihí áádóó niha'áłchíní índa danihilį́į́' dibáá' bee nihidííghą́ą́ł biniyé Ííjip kéyahdę́ę́' ch'ínihííní'eezh ?
2:17:004:0	Áko Mózes éí Bóhólníihii náyookąąhgo kóní , Díí dinéshą' daa deeshłííł ? K'adę́ę tsé yee shił nidadzíłne' .
2:17:005:0	Áko Bóhólníihii éí Mózes áyidííniid , Nílááh , diné bilą́ąjį' ninínááh áádóó Ízrel dine'é aląąjį' naazíinii bił díkááh , índa nigish bee tooh nídííníłhaalígíí yítį́įłgo ákǫ́ǫ́ dínááh .
2:17:006:0	Jó , Hórebdi tsé si'ánígíí bikáa'gi nidáahgi honishłǫ́ǫ doo ; ákwii tsé nídidííłhałgo biyi'dę́ę́' tó hadoogohgo diné da'doodlį́į́ł . Áko Ízrel dine'é aląąjį' naazíinii binááł Mózes t'áá ákódziidzaa .
2:17:002:1	Ámalek dine'é bił da'ahijoogą́ą́'
2:17:007:0	Áko éí haz'ánígi Másah índa Méribah hoosye' , háálá ákwe'é Ízrel dine'é nidaalteeh nít'éé' , áádóó ałdó' Bóhólníihii yídaneeztą́ą'go ádaaní , Da' Bóhólníihiísh nihitahgi hólǫ́ , dooda daats'í ?
2:17:008:0	Ákohgo Ámalek dine'é Réfidim hoolyéegi yíkaigo Ízrel dine'é yił da'ahoogą́ą́' .
2:17:009:0	Áko Mózes éí Jáshowa áyidííniid , Diné bitah híláahgo nílááh Ámalek dine'é bił da'ahohgą́ ; yiską́ągo shí éí Diyin God bigish dah yishtį́įłgo wók'ą́ągi dah sézį́į doo .
2:17:010:0	T'áá áko Jáshowa t'áá Mózes áhodííniidígi ádziidzaago Ámalek dine'é bił da'ahijoogą́ą́' . Áádóó Mózes áádóó Éran índa Her bił wók'ą́ą́góó hadziskai .
2:17:011:0	Ákódzaago Mózes dah doolnihgo Ízrel dine'é ak'eh dadidlį́ , nidi bíla' yaa ánáyiil'įįhgo éí Ámalek dine'é ak'eh dadidlį́ .
2:17:012:0	Ákohgo Mózes bigaan nanííłna'go tsé ła' bá nízhdii'ą́ągo biyaa ajíí'ą́ągo yik'i dah neezdá , áko Éran áádóó Her ałts'ą́ą́hjí sizį́įgo hagaan dego yótą' , áko hasht'e'dashdoolnihgo t'áá ákót'éego i'íí'ą́ .
2:17:013:0	Áko Jáshowa éí Ámalek índa bidine'é ałdó' diltłish bee bik'eh jideesdlį́į́' .
2:17:014:0	Áko Bóhólníihii éí Mózes áyidííniid , Díí bééhániih doo biniyé naaltsoos bikáá' bee ak'e'íłchí , áádóó Jáshowa bich'į' bee yádííłtih , háálá Ámalek bééhániih dooígíí t'áá át'é nahasdzáán bikáa'gi nahjį' kódeeshłííł .
2:17:015:0	Áko Mózes éí bikáá' náá'iiniihí áyiilaago Bóhólníihii éí shidah na'at'a' í nilį́ , níigo yee yiyíízhi' .
2:17:016:0	Háálá ádííniid , Bóhólníihii ádee hadoodzíí' , Bóhólníihii éí oochííłdóó náás oochííłgóó Ámalek dine'é yił ana'ahil'į́į doo .
