2:5:001:1	Mózes áádóó Éran éí Féro yidááhdóó niní'áázh
2:5:001:0	Áádóó bik'ijį' Mózes éí Éran yił Féro yaa ní'áazhgo áyidííniid , Bóhólníihii éí Ízrel biDiyin God kóní , Shidine'é béé'níłnííh ; éí honoojíidi hodílzingo áłah nídaadleehgo shich'į' nidahodoołaał .
2:5:002:0	Nidi Féro ání , Háishą' Bóhólníihii nilį́įgo bizaak'eh honish'į́įgo Ízrel dine'é béé'deeshnih . Bóhólníihii bidinínígíí doo bééhasin da , índa doo t'áá k'ad Ízrel béé'níłnii' da .
2:5:003:0	Áko ázhdííniid , Hííbrew dine'é biDiyin God nihaa honíle' , áko baa nániikąąh ; niha'di'ní'aahgo honoojíígóó tágí jį́ oonééł ánízahjį' nidiikah , áadi Bóhólníihii nihiDiyin God bich'į' náádadi'yiilnih , doodago éí naałniih índa diltłish yee atínihidoolííł .
2:5:004:0	Nidi Ííjip dine'é aláahgo binanit'a'í áháłní , Mózes índa Éran nohłíinii , ha'át'íísh biniyé diné naanish bits'áhóhnííł ? Nihílááh , naałnish .
2:5:005:0	Áko Féro ánáádoo'niid , Jó , k'ad kéyah biyi' diné t'óó ahóóyóí índa binaanish bits'ą́ą́' ni'kółééh .
2:5:006:0	Áko t'áá éí bijį́ Féro éí naanish binanit'a'í danilíinii índa bik'ehgo nida'anishí yich'į' haadzíi'go ání ,
2:5:007:0	K'ad kodóó tł'oh naadą́ą́' bitsǫz bis bił ál'íní átséédą́ą́' ádaał'ínę́ęgi át'éego diné t'áadoo baa náádahołjoołí ; bíni'dii t'áá bí tł'oh naadą́ą́' bitsǫz ádá ninádayiiłjooł .
2:5:008:0	Nidi bis átséédą́ą́' ánéelt'e' yę́ę t'áá ákónéelt'e'go ádeile' doo ; t'áá bich'į'go éí dooda , háálá yídadiiłgisgo kódaaní , NihiDiyin God bich'į' náádadi'yiilnih biniyé nihéé'níłnííh .
2:5:009:0	Bíni'dii naanish bidziilii bich'į' diné bídaałnáago éí ts'ídá yéego nidaalnishgo ádeínóhsin . Áko saad t'áá ádzaaí doo yaa áńdahodílt'į́į da doo .
2:5:010:0	Áádóó naanish binanit'a'í danilíinii índa bik'ehgo nida'anishí ch'íkaigo diné ádeidííniid , Féro kóní , Tł'oh naadą́ą́' bitsǫz doo nihaa náádeeshjoł da .
2:5:011:0	Nihílááh t'áá nihí tł'oh naadą́ą́' bitsǫz hádaaht'į́ , nidi nihinaanishígíí doo nihá bi'oh áńdoolníił da .
2:5:012:0	Áko Ííjip kéyahgóó t'áá át'éé nít'éé' diné nihinéést'e'go tł'oh naadą́ą́' bitsǫz bits'ásk'ehgi behégod áłah ánáádajidle' .
2:5:013:0	Naanish binanit'a'í danilíinii yídahoniłkadgo ádaaní , Tł'oh naadą́ą́' bitsǫz nihaa dahiiljołgo bindashoołnish yę́ęgi át'éego nihinaanish ádaał'į́ .
2:5:014:0	Ízrel dine'é bik'ehgo nida'anishígíí éí Féro bá nidaal'a'í naanish bee bídahólníihgo nidahas'nilígíí nídahoneesxaalgo hach'adahashkéego ádahodííniid , Haa néelt'e'go bis áńdaa ł'įįh yę́ę ha'át'éegoshą' adą́ą́dą́ą́' áádóó jį́į́dą́ą́' t'áadoo ákónéelt'e' ádaohłaa da ?
2:5:015:0	Ákohgo Ízrel dine'é bik'ehgo nida'anishí Féro yaa yíkaigo ádeiłní , Ha'át'éegoshą' ninaal'a'í daniidlíinii kónihiinilaa ?
2:5:016:0	Ninaal'a'í daniidlíinii doo tł'oh naadą́ą́' bitsǫz nihaa haljooł da , nidi bis ádaahłe' danihiłní ; jó , ninaal'a'í daniidlíinii nídanihidi'neesghaal , nidi t'áá ni nidine'é bada'át'e'ii ádaat'é .
2:5:017:0	Nidi Féro ádííniid , Jó , bídadoołgis , bídadoołgis ; éí bąągo ádadohní , Nihíni'dii nihéé'nółníihgo Bóhólníihii bich'į' náádadi'yiilnih .
2:5:018:0	Nidi k'ad nihílááh , háálá tł'oh naadą́ą́' bitsǫz doo ła' nihaa náádadooljoł da , nidi bis t'áá ákódanéelt'e'go ádaahłe' .
2:5:019:0	Ízrel bidine'é bik'ehgo nida'anishígíí bis t'áá ákwíí jį́ ádaahłe' nít'éé' yę́ę t'áadoo bi'oh ánéelt'e'go ádaahł e'í , hodoo'niidgo t'áá íiyisí hach'į' nidahwii'náago baa ákodazniizį́į́' .
2:5:020:0	Féro bits'ą́ą́' ch'ééjíkaigo Mózes áádóó Éran haba' sizį́įgo baa jíkai .
2:5:002:1	Móses bisodizin
2:5:021:0	Áko ádahodííniid , Bóhólníihii éí nihiníł'į́įgo nihá nihwii'aah , háálá Féro áádóó bá nidaal'a'í nihik'ijį' bá dahoołchįįd . K'ad t'óó diltłish yee nidanihidoołtsiłgo óołaa .
2:5:022:0	Áko Mózes éí Bóhólníihii bich'į' nínáádziisdzáago ábijiní , Bóhólníihii , ha'át'íishą' biniyé díí diné bich'į' nidahwii'náago íinilaa ? Ha'át'íishą' biniyé kojį' ashííníł'a' ?
2:5:023:0	Jó , Féro baa níyáago nízhi' binahjį' bich'į' hahásdzíí'dóó wóshdę́ę́' doo aaníinii yee diné atííł'į́įgo yaa nídiidzá , doo nidi nidine'é yisdáníníił da .
