2:24:001:1	Bee aha'deet'áanii bee lą́ azlį́į́'
2:24:001:0	Áko Diyin God éí Mózes áyidííniid , Hágo , Bóhólníihii bich'į' hasohkááh , ni lá índa Éran áádóó Néídab índa Abáíhu , áádóó Ízrel dine'é yiląąjį' naazíinii tsosts'idiin yilt'éego , áko t'áá nízaadę́ę́' shich'į' nidahohłáa doo .
2:24:002:0	Nidi Mózes t'éiyá áháníjį' Bóhólníihii yich'į' nidoogááł , nidi ła'ígíí éí t'ááká áháníjį' yich'į' nookááh lágo , índa Mózes éí diné doo ła' hoł hadookah da .
2:24:003:0	Áko Mózes nádzáago Bóhólníihii bizaad t'áá ałtso áádóó nidahodiist'áanii t'áá ałtso yee diné yił hoolne' , áko dinéhígíí t'áá ła' bizhi'ee ádadííniid , Bóhólníihii bizaad ánínígíí t'áá ałtso bik'eh ádadii'nííł .
2:24:004:0	Áko Mózes éí Bóhólníihii bizaad t'áá át'é bee ak'e'jishchį́ , áádóó t'ah abínígo nízhdii'na'go dziłtsį́įgi bikáá' náá'iiniihí ájiilaa , áádóó ákwii tsé naakits'áadahgo yadazhdíníishinígíí Ízrel dine'é naakits'áadahígíí bá ájiilaa .
2:24:005:0	Áko Ízrel dine'é bitahdóó dinééh ła' ákǫ́ǫ́ ayiis'a' ; éí didlidgo nááhániihii náádayiisnii' , índa náádahaaznii'ii hózhǫ́ǫ́jí nááhániihii át'éego béégashii éí Bóhólníihii yich'į' náádayiisnii' .
2:24:006:0	Áko Mózes éí dił ałníí'dóó néidiiką́ągo łeets'aa' bee nidziizką́ , áádóó dił ałníí'dóó yidziihígíí bikáá' náá'iiniihí bik'ídzístah .
2:24:007:0	Áko ałha'deet'ą́ naaltsoos biká'ígíí nízhdii'ą́ągo diné áłah nilínígíí bich'į' jííłta' , áko diné t'áá ałtso deidiizts'ą́ą'go ádadííniid , Bóhólníihii hahaasdzí'ígíí t'áá ałtso bik'eh ádadii'nííł áádóó bik'eh dahoniil'į́į doo .
2:24:008:0	Áko Mózes éí diłígíí nízhdiiką́ągo diné áłah nilínígíí bik'ídzístahgo ájíní , Jó , kót'éego dił bee aha'deet'ą́ ; éí Bóhólníihii t'áá bí nihił aha'deet'ą́ągo díí saad t'áá át'é yee yaa yáłti' .
2:24:009:0	Áko Mózes índa Éran áádóó Néídab índa Abáíhu áádóó Ízrel dine'é yiląąjį' naazíinii tsosts'idiin yilt'éego ákóde eekai .
2:24:010:0	Áadi Ízrel dine'é biDiyin God dayiiłtsą́ , nít'éé' dées'eezgi tséghádi'nídínii sikaad nahalin ; t'áá yá'ąąshii nahalingo niłtólí .
2:24:002:1	Dził Sáínai bighą́ą'di Mózes naagháá nít'éé'
2:24:011:0	Áko Ízrel bidine'é aghádahideezíinii t'áadoo yeiníst'įįd da , áádóó Diyin God dayiiłtsą́ągo da'ííyą́ą́' áádóó doodlį́įłii dayoodlą́ą́' .
2:24:012:0	Áko Bóhólníihii éí Mózes yich'į' haadzíi'go áyidííniid , Dziłghą́ą'jį' shich'į' hasínáahgo ákwii shiba' nanináa doo ; ákwii tsé bik'e'ashchínígíí áádóó bee haz'áanii índa bik'eh ó'oo'níiłii t'áá shí bee ak'e'shéłchínígíí naa dadeesįįł , áko éí bee na'nítin doo biniyé .
2:24:013:0	Áko Mózes índa há naal'a'í Jáshowa bił dashdii'áázh áádóó Mózes éí Diyin God bidził góde dashdiigháahgo
2:24:014:0	aląąjį' naazíinii ábizhdííniid , Nihaa nániit'áazhjį' t'áá kwe'é nihiba' nahísóotą́ ; jó , Éran índa Her bił naahkai ; t'áá háiida baaní hwee hólǫ́ǫgo t'éiyá baa jiisíníbaad doo .
2:24:015:0	Áko Mózes éí dziłghą́ą́'góó ajííyáago k'os éí dził bik'i diilkǫ' .
2:24:016:0	Áko Bóhólníihii bee bits'ádi'nílíidii Dził Sáínai bik'i hoole' , áádóó éí k'osígíí t'áá bik'i dilkǫǫhgo hastą́ą́h jį́ azlį́į́' , áko tsosts'id jį́ aleeh góne' k'os biyi'dę́ę́' Diyin God éí Mózes yich'į' haadzíí' .
2:24:017:0	Áko Bóhólníihii bee bits'ádi'nílídígíí dził bílátahdi kǫ' naanídoonałgo Ízrel dine'é éí deiníł'į́ .
2:24:018:0	Áko Mózes éí k'os biih jííyáago dziłghą́ą'jį' hajiyá áádóó Mózes éí dziłghą́ą'di nijigháago dízdiin jį́ áádóó dízdiin tł'éé' azlį́į́' .
