2:12:001:1	Atis'adeesdzá bee bééhániihii
2:12:001:0	Áko Bóhólníihii éí Mózes áádóó Éran kwííłníigo Ííjip kéyahgi yich'į' haadzíí' ,
2:12:002:0	Díí yiziłígíí bee nihá hahodoolzhish ; éí t'áá nináháhááh bik'eh alą́ąjį' nínádízi'ígíí nihá át'ée dooleeł .
2:12:003:0	Ízrel dine'é dah yinéłígíí bich'į' haohdziihgo kódidoohniił , Díí yiziłígíí neeznáá jį́į́ góne' azhé'é jílíinii haghandóó danilíinii bá dibé yázhí ła' nízhdidoołtééł .
2:12:004:0	Áko éí hooghanídóó dibé yázhí bitsį' halááh neel'ą́ągo ni'ąąjí bighanígíí bił ázhnéelt'e'ígíí índa haa néelą́ą́' nídajidį́hígíí bik'ehgo dibé yázhí bitsį' ałtaa dazhdooltsoł .
2:12:005:0	Nidibé yázhí biką'ii ła' binááhaí hadaałt'éii ; dibé éí doodaii' tł'ízí bitahdę́ę́' nídidoohdzį́į́s .
2:12:006:0	T'áá éí yiziłígíí dį́į́'ts'áadah ayííłką́ąjį' baa ádahołyą́ą doo . Áko Ízrel dine'é t'áá ałtso i'íí'ą́ągo dibé yázhí nideidoołtsił .
2:12:007:0	Haghan biyi' dazhdooyį́łígíí bich'é'étiin siláii ałts'ą́ą́hjí áádóó naadasitánígi dibé yázhí bidił bee dazhdoodlish .
2:12:008:0	T'áá éí bitł'éé' atsį'ígíí tsííkáá' sit'éego dazhdooyį́į́ł , índa díík'ǫsh t'áágééd bááh ályaii áádóó ch'il dadích'í'ígíí bił dazhdooyį́į́ł .
2:12:009:0	T'áá t'éehgo éí doo dadoohsį́įł da ; shibéezhgo ałdó' dooda ; bitsiits'iin áádóó bijáád índa bitsą́siláii t'áá át'é kǫ' bee daazt'éego t'éiyá dadoohsį́į́ł .
2:12:010:0	T'ááká abíníjį' ła' ch'ínółnééh lágo ; abíníjį' ła' ch'ínííłna'go t'óó dadidoohłił .
2:12:011:0	Kót'éego dadoohsį́į́ł : t'áá áká dasoołzaazgo , t'áá kééh nisoo'eezgo áádóó danihigish nihílák'ee naaztą́ągo dadoohsį́į́ł áádóó tsį́įłgo da'doohsį́į́ł ; éí Bóhólníihii bi'atis'adeesdzá át'é .
2:12:012:0	Háálá díí tł'éé' Ííjip kéyah biyi'góó ch'ídeeshááł , áko diné alą́ąjį' bá nidahaazhchíinii áádóó naaldlooshii alą́ąjį' nidahaazhchíinii ałtso ádeeshdįįł , índa Ííjip kéyahgi diyin dabidi'níinii ałtso t'áá óoshłe' góne' bá nihodiyeesh'ááł . Shí Bóhólníihii nishłį́ .
2:12:013:0	Kin bii' nahísóotáanii dił bee daashdlishii bee nihich'į' ééhózin doo , áko shí éí dił deiłtsą́ągo t'óó nihitis deeshááł , áko Ííjip kéyah bikáá' naałniih bee atí'ésh'íinii doo bee atínihideeshłíiłgo ánihideeshdįįł da .
2:12:014:0	Áko éí t'áá ła'a jínígo néit'aahígíí nihá bééhániihii át'ée doo , áádóó Bóhólníihii bich'į'go hodílzingo áłah náhdleehígíí náás da'ahíínółchííhgóó nídaoł'aah doo ; díí hodílzingo áłah náhdleeh nídaoł'aahígíí bik'eh hoogáałgo ahool'áa doo .
2:12:015:0	Tsosts'id néílkáahjį' díík'ǫsh t'áágééd bááh ályaii nídaohdį́įh doo ; baa ha'aldééh góne' éí danihighan biyi'dóó díík'ǫsh nahgóó kónídaał'įįh doo , háálá ła' éí hahoolzhiizhdóó tsosts'id jį́įjį' díík'ǫsh bił bááh ályaii jííyą́'ígíí éí Ízrel dine'é bits'ą́ąjį' hodi'yoolyééł .
