2:34:001:1	Tsé dilkǫǫhii naaki góne'ígíí
2:34:001:0	Áádóó Bóhólníihii éí Mózes áyidííniid , Átséédą́ą́' tsé dilkǫǫhgo naaki naa nínil yę́ęgi át'éego ła' hasht'e'nibí'dííłniił , áádóó tsé dilkǫǫhii síníłts'ilígíí saad bikáá' sinil nít'éé' yę́ęgi át'éego bikáa'gi bee ak'enáá'deeshchííł .
2:34:002:0	Áko abínígo hasht'e'ádíínílzin doo , áádóó t'ah abíínídą́ą́' Dził Sáínai bíidíínáałgo dziłghą́ą'di shich'į' nidíínááł .
2:34:003:0	Diné doo ła' ákóde nił doo'ash da ; diné t'áadoo dziłghą́ą́'góó nidaakaí dooleeł ; dibé áádóó béégashii t'áadoo dziłtsį́įjį' nidazh'niłkaadí dooleeł .
2:34:004:0	Ákohgo Mózes éí tsé dilkǫǫhgo naaki áłtséhígíí nahalingo hasht'e'nibí'náázhníłne' , áádóó t'ah abíínídą́ą́' nízhdii'na'go Dził Sáínai bighą́ą́'góó dashdiiyá ; Bóhólníihii áhodííniidígíí bik'ehgo tsé dilkǫǫhii ákǫ́ǫ́ jiníjaa' .
2:34:005:0	Áko Bóhólníihii éí k'os bił hadah hóóle'go hwíighahgi yiizį'go t'áá Bí bízhi' yee hoł hoolne' .
2:34:006:0	Áádóó Bóhólníihii éí Mózes yą́ą́h deeyáago ání , Bóhólníihii , Bóhólníihii , éí Diyin God nilį́įgo aa a'ááh nízinii áádóó jooba'ii áádóó nízaadgóó ha'ólníinii áádóó ts'ídá łą́ągo bibee ajooba' índa bit'áá aaníinii hólóonii ,
2:34:007:0	ahóyéel'áágóó bibee'aa a'ááh hasinii éí miilgo ádazhnéelą́ą'go doo ákwii ádajit'ínígíí áádóó bee haz'áanii dajiitíhígíí índa ádił nida'jiilzíhígíí há yóó'anéidiyii'aahgo hak'ijidlí , nidi ádił oodzíí' bee bihodiit'i'ii yá naatłizh yę́ę doo yénálniih da doo ; jó , da'azhé'é yę́ę doo ákwii ádajíít'įįdígíí hada'áłchíní náás ahoolchíiłii táadi índa dį́įdi ałk'i ná'ázhchį́įjį' bik'i hwiileehgo bá nináhwiish'nííł .
2:34:008:0	Áádóó t'áá áko Mózes yaa ádziidzaago ni'jį' nitsidinígo'go nahodzisá .
2:34:002:1	Bee aha'deet'áanii ániid ánályaa
2:34:009:0	Áko ájíní , Bóhólníihii nílíinii , ajooba' bee shich'oha'néego shąąh tsídíníkééz ládą́ą́' , Bóhólníihii nílíinii , nánooshkąąh , nihitah honílǫ́ǫ doo ; azhą́ díí diné ák'eha'į́ bee doo nibída'didzilii danilį́į nidi , doo ákwii ádeiit'ínígíí índa ádił nida'ayiilzihígíí nihits'áhidí'aah áádóó níí' dadiidleeł biniyé nánihididíínił .
