2:9:001:1	Alį́į́' atélyaaígíí
2:9:001:0	Ákohgo Bóhólníihii éí Mózes áyidííniid , Féro bił yah anináahgo bił hólne' , Hííbrew dine'é biBóhólníihii Diyin God kóní , Shidine'é béé'níłnííh , áko shich'į' nidahałáa doo .
2:9:002:0	Áko doo t'áá k'ad béé'ííníłnii'góó áádóó t'áá yínítą'go ,
2:9:003:0	jó , Bóhólníihii éí dahootsogóó danihilį́į́' yik'ijį' dah didoolnihgo łį́į́' áádóó télii áádóó ghą́ą́'ask'idii áádóó béégashii índa dibéda t'óó ayóó át'éego iiłtį́į́h łóód báhádzidii bąąh dahodooleeł .
2:9:004:0	Áádóó Bóhólníihii éí Ízrel dine'é bilį́į́' índa Ííjip dine'é bilį́į́' t'áá ał'ąągo łahjíígíí atíidoolííł ; áko Ízrel dine'é bíhígíí t'ááłá'í nidi doo ła' bididootłish da .
2:9:005:0	Áko Bóhólníihii hoolzhishígíí yee nihoní'ą́ągo ádííniid , Yiską́ągo Bóhólníihii ádííniidígíí kéyahgi yi'doolííł .
2:9:006:0	Áko biiskání Bóhólníihii ádííniidígíí yi'iilaago Ííjip dine'é bilį́į́' ałtso daneezná , nidi Ízrel dine'é bilį́į́' t'ááłá'í nidi t'áadoo ła' daaztsą́ą da .
2:9:002:1	Ch'ozh bee atí'ályaaígíí
2:9:007:0	Áádóó Féro dah adiił'a' , nít'éé' shoo , Ízrel dine'é bilį́į́' t'ááłá'í nidi t'áadoo ła' daaztsą́ą da lá . Azhą́ ákót'ée nidi Féro t'ahdii bijéí nitł'iz , áko t'áadoo diné yéé'níłnii' da .
2:9:008:0	Áko Bóhólníihii éí Mózes áádóó Éran áyidííniid , Déédíljahdóó łeeshch'iih nihílák'ee hadeezbingo nídoohjáahgo Féro binááł bíni' Mózes éí yá bich'į'go łeeshch'iih yéidooghas .
2:9:009:0	Áko éí Ííjip kéyah t'áá át'éé nít'éé' łeezh dibahí dooleeł , áádóó Ííjip kéyahgi diné áádóó naaldlooshii bik'ijį' ch'ozh łóód hadoołnih .
2:9:010:0	Áko déédíljahdóó łeeshch'iih nízhdiijaa'go Féro bidááhdę́ę́' nizhní' áázh , áádóó Mózes éí yá bich'į'go łeeshch'iih yááyiighazgo diné áádóó naaldlooshii bitahgóó ch'ozh łóód hááłnii' .
2:9:011:0	Áko álíleego áda'ooł'įįłii ch'ozh łóód baa níłnii'go bąą Mózes doo yidááhdóó nidaokááh át'ée da , háálá álíleego áda'ooł'įįłii índa Ííjip dine'é t'áá ałtso ch'ozh baa níłnii' .
2:9:003:1	Nílótsoh bee atí'ályaaígíí
2:9:012:0	Áko Bóhólníihii éí Féro bijéí nááyííłtł'isgo doo nááhwíists'ą́ą' da . Bóhólníihii éí Mózes yich'į' yaa yááłti'ígi áhoodzaa .
2:9:013:0	Áko Bóhólníihii éí Mózes áyidííniid , T'ah abíínídą́ą́' nídidíí'nahgo Féro bidááhdę́ę́' nidíínááł , áko ábididííniił , Hííbrew dine'é biBóhólníihii Diyin God kóní , Shidine'é béé'níłnííh , áko shich'į' nidahałáa doo .
2:9:014:0	Áko díí hoolzhishígíí biyi' naałniih bee atí'ésh'íinii t'áá ałtso bee nijéí atídeeshłííł , áádóó ná nidaal'a'í índa nidine'é atídeeshłíiłgo díí nił bééhodoozįįł : nihokáá'góó t'áá át'éé nít'éé' doo ła' shígi át'éhí da .
2:9:015:0	Áko k'ad t'áá íídą́ą́' nihik'ijį' k'ídíshnii'go ni áádóó nidine'é t'áá bił naałniih bee atínihiishłaago nahasdzáán bikáa'gi ánihisíłdįįd doo nít'éé' .
2:9:016:0	Nidi t'áá aaníí díí biniyé aláahgo naat'áanii ániishłaa : ninahjį' shibee adziilii bééhózingo ádeeshłííł áádóó nahasdzáán bikáá'góó shízhi' baa hane' doo .
2:9:017:0	Áko t'ahdii shidine'é bich'į' ayóó át'éii á'díínílzingo doo béé'níłníih da .
2:9:018:0	Jó , yiską́ągo kóhoodzaago t'óó báhádzidgo nílótsoh nihik'ijį' nídeeshtį́į́ł , áko Ííjip kéyah hodideezlį́į́'dóó wóshdę́ę́' dííshjį́įjį' nílótsoh kót'éhígíí ts'ídá t'ah doo naałtin da nít'éé' .
2:9:019:0	Éí bąą k'ad nílááh nihilį́į́' nidaakaigóó dahodíł'á , áko dahootsodę́ę́' danihilį́į́' t'áá ałtso yah anídahidínóołkał , háálá diné t'áá áadi nidajikaígíí índa alį́į́' t'áá áadi nidaakaígíí doo nii'ohjį' anídazneeskaadgóó éí t'áá áadi bik'ijį' nílótsoh nidoołtį́įłgo ábidoołdįįł .
2:9:020:0	Áko Bóhólníihii bizaad yik'ee bi ł yéé' hazlį́'ígíí t'éiyá Féro bá nidaal'a'í bitahdóó bá nidaal'a'ígíí índa dabilį́į́' yah anídeiniiłkaadgo ádayiilaa .
2:9:021:0	Áko Bóhólníihii bizaad doo yaa áńdahodílt'íinii éí bá nidaal'a'í índa dabilį́į́' t'áá dahootsodi nidaakai .
2:9:022:0	Bóhólníihii éí Mózes áyidííniid , Yá bich'į'go yadidiilníihgo Ííjip kéyahgi nílótsoh nidoołtį́į́ł ; diné áádóó naaldlooshii índa dahootsogóó nidanise'ígíí bik'ijį' Ííjip kéyahgóó t'áá át'éé nít'éé' ákóhodoonííł .
2:9:023:0	Áko Mózes éí yá bich'į'go bigish yił yadidiilnii' , áádóó Bóhólníihii éí nida'dilch'ilgo ni'dóó hahidinaadgo nílótsoh naałtingo áyiilaa , áko Bóhólníihii éí Ííjip kéyah bik'ijį' nílótsoh nayííłtą́ .
2:9:024:0	Áko nílótsoh naałtingo t'óó báhádzidgo kǫ' bił ałtahgo nílótsoh nááłtą́ ; Ííjip kéyahgi dine'é hodideezlį́į́'dóó wóshdę́ę́' ákót'éhígíí ts'ídá t'ah doo ánéeh da nít'éé' .
2:9:025:0	Áko nílótsoh éí Ííjip kéyahgi t'áá át'éé nít'éé' dahootsogóó diné áádóó naaldlooshii áadi nidaakaígíí t'áá ałtso bił niníłtą́ , áádóó nidanise' t'áá ałtso bił niníłtą́ índa tsin t'áá ałtso nayííti' .
2:9:026:0	Nidi Góshen hoolyéedi Ízrel dine'é kééhat'į́įgi t'éiyá t'áadoo nílótsoh nááłtą́ą da .
2:9:027:0	Áko Féro éí Mózes áádóó Éran yíká i'ííł'a'go áyidííniid , Jó , k'ad ádił asésiih lá . Bóhólníihii éí t'áá ákogi át'éii nilį́į́ lá . Shí áádóó shidine'é éí doo yá'áshóonii daniidlį́ .
2:9:028:0	Bóhólníihii náohkąąh , áko ayóó át'éego ni'dilch'ilígíí índa nílótsoh naałtinígíí áhodidoolzih , áádóó nihéé'deesh'nihgo náásgóó doo t'áá kǫ́ǫ́ kénááhóht'į́į da doo .
2:9:029:0	Áko Mózes áhodííniid , Díí kin haal'áádóó t'áá ch'íníyáhí ; t'áá ałch'ishjí bee Bóhólníihii bich'į' yadideesh'nihgo ni'dilch'ilgo nílótsoh naałtinígíí áhodidoolzih , áko díí nił bééhodoozįįł : nahasdzáán éí Bóhólníihii bíí' át'é .
2:9:030:0	Nidi ni áádóó ná nidaal'a'í t'ahdii nidi Bóhólníihii Diyin God doo dadíínóhsin da dooleełgo shił bééhózin .
2:9:031:0	Áko nidik'ą' dits'idígíí índa tł'oh naadą́ą́' bidee'í bił nihoníłtą́ , jó , tł'oh naadą́ą́' bidee'í bąąh hazlį́į́' nít'éé' áádóó nidik'ą' dits'idígíí k'adę́ę bílátah iigááh nít'éé' .
2:9:032:0	Nidi tł'oh naadą́ą́' áádóó tł'oh naadą́ą́' rái wolyéhígíí éí t'áadoo bił nihoniłtą́ą da , háálá t'ah doo t'áá íiyisí dadínísée da .
2:9:033:0	Mózes éí kin haal'áádóó Féro bits'ą́ą́' ch'éédzídzáago t'áá ałch'ishjí bee Bóhólníihii bich'į' yazhdidiilnii' ; t'áá áko ni'dilch'ilígíí índa nílótsoh naałtinígíí áhodiilzee' , áádóó ałtso ahóółtą́ .
2:9:034:0	Ákódzaago nahałtinígíí áádóó nílótsoh naałtinígíí índa ni'dilch'ilígíí áhodiilzee'go Féro éí bił bééhoozingo t'ah nááyówehígo ádił náá'ásiih ; bí áádóó bá nidaal'a'í bijéí nááyííłtł'is .
2:9:035:0	Áko Féro bijéí yítł'isgo t'áadoo Ízrel dine'é yéé'níłnii' da . Bóhólníihii t'áá Mózes yich'į' yee haadzí'ígi áhoodzaa .
