2:14:001:1	Ízrel dine'é éí Tónteel Łichíí' tsé'naa niikai
2:14:001:0	Áko Bóhólníihii éí Mózes yich'į' haadzíi'go kóní ,
2:14:002:0	Ízrel dine'é bich'į' handziih , naanáhkáahgo Páí-haháírath bich'į'gi nidoohnééł , éí Mígdol hoolyéédóó tónteel bich'ijígo Béíyal-zíífan bíighahgi tónteel bibąąhgóó nidoohnééł .
2:14:003:0	Áko Féro ádidooniił , Ízrel dine'é éí kéyahgi tsístł'aaskai lá ; honoojí yiniiłt'aaskai .
2:14:004:0	Áko Féro bijéí náádeestł'isgo hakéé' nídidoojahgo hódoołnééł , índa Féro áádóó bisiláo biniinaa shaa hodoo'nih , áko shí , Bóhólníihii nishłį́įgo Ííjip dine'é bił béédahodoozįįł . Áko t'áá ákódadziidzaa .
2:14:005:0	Áko Ííjip dine'é aláahgo binanit'a'í éí Ízrel dine'é yóó'íínánígíí bee hoł hóone' , áko Féro índa há nidaal'a'í dabijéí yee diné yik'ijį' daazlį́į'go tsídadeezkéezgo ádadííniid , Díishą' haa deiit'įįd ; Ízrel dine'é nihá nidaal'a' yę́ę bééda'siilnii' lá .
2:14:006:0	Áko Féro bitsinaabąąs bijáád naakiígíí hasht'eyiilaago bidine'é yił dah diiná .
2:14:007:0	Áko tsindaabąąs bijáád naakiígíí hastą́ądi neeznádiingo atah haasdláa'go áádóó Ííjip kéyahdi tsindaabąąs bijáád naakiígíí t'áá ałtso bee índa bik'ehgo nida'abaahígíí t'áá bił dashdiiná .
2:14:008:0	Áko Bóhólníihii éí Féro Ííjip dine'é aláahgo yinanit'a'í yijéí yiyííłtł'isgo Ízrel dine'é yikéé' nídiibaa' , jó , Ízrel dine'é t'áadoo náhoniyésí dah diiná .
2:14:009:0	Áko Ííjip dine'é éí Féro bilį́į́' índa bitsindaabąąs bijáád naakiígíí áádóó łį́į́' yee nidaabaahii índa bisiláo t'áá ałtso yił hakéé' níná , áko tónteel bibąąhgi Páí-haháírath bich'į'gi Béíyal-zíífan bíighahdi nizhnínáago hóníłná .
2:14:010:0	Áko Féro éí Ízrel dine'é yit'áahjį' yinéełgo dabiiłtsą́ , jó , Ííjip dine'é hakéé' yinééł lá . Áko t'óó báhádzidgo Ízrel dine'é nídadzisdzíidgo éí Bóhólníihii yich'į' hadadeeshghaazh .
