2:37:001:1	Tsits'aa' dílzinii álnéhígíí
2:37:001:0	Biizáliyel éí tsin nitł'izii bee tsits'aa' dílzinii áyiilaa ; éí táadi ké siláádóó náhást'éí asdzoh áníłnééz áádóó naaniigo naakidi ké siláádóó táá' asdzoh áníłtéél índa dego naakidi ké siláádóó táá' asdzoh ánízah .
2:37:002:0	Biyi'dę́ę́' áádóó bikáá'dę́ę́' óola t'áá bízhání bik'ésti'go áádóó bibąąhgóó óola ahééní'áago áyiilaa .
2:37:003:0	Tsits'aa' dílzinii bitł'ááhdóó t'áá dį́į́'góó naanídaaz'áhígi ałch'ijí naakigo óola názbąsii yídeidiyiiłhį́į́' .
2:37:004:0	Tsin nitł'izii níyizgo áyiilaa áádóó óola yik'íísti' ,
2:37:005:0	áko tsits'aa' dílzinii booshk'iizhjí éí óola názbąsii bąąh dah sinilígíí tsin níyizii bee naat'áa doo biniyé bighá nátsih .
2:37:006:0	Áádóó aa a'ááh hasinii bił haz'ánígi éí óola t'áá bízhání yee áyiilaa ; éí táadi ké siláádóó náhást'éí asdzoh áníłnéezgo índa naaniigo naakidi ké siláádóó táá' asdzoh áníłtéelgo áyiilaa .
2:37:007:0	Óola t'áá bízhání diyingo naal'a'í naakigo béé'élyaago chérabim wolyéii áyiilaa ; hasht'e'nibízhníłne'go t'áá ła' bizhi'ee áyiilaa ; aa a'ááh hasinii bił haz'ání bikáa'gi nineel'ánígi t'áá ałch'ishdę́ę́' sizį́ .
2:37:008:0	Łahjí nineel'ánígi chérab wolyéii t'ááłá'í sizį́ , áádóó náánáłahjí nineel'ánígi chérab t'ááłá'í náánásdzį́ ; aa a'ááh hasinii bił haz'ánígi índa nineel'ą́ągi ałch'ishdę́ę́' chérabim sizínígíí bił t'áá ła' bizhi'ee áyiilaa .
2:37:002:1	Bikáá' adání álnéhígíí
2:37:009:0	Aa a'ááh hasinii bił haz'ání bik'ijį' chérabim bit'a' dah yoołbał ; aa a'ááh hasinii bił haz'áníjį' ałch'į' déez'į́į'go ałch'į' sizį́ .
2:37:010:0	Bikáá' adání ałdó' tsin nitł'izii yee áyiilaa ; táadi ké silá áníłnééz , áádóó naaniigo t'ááłá'í ké siláádóó ná'áłníi'go áníłtéél , índa dego naakidi ké siláádóó táá' asdzoh ánízah ;
2:37:011:0	óola t'áá bízhání yik'íísti'go ła' bibąąhgóó ahééní'áago áyiilaa .
2:37:012:0	Dį́į́' yílá bik'eh áníłtéelgo bináz'áago índa óola éí bibąąh ahééní'áago áyiilaa .
2:37:013:0	Dį́į́'góó naanídaaz'áhígíí biyaagi bijáád éí óola nídaazbąsgo dį́į'go yídeidiyiiłhį́į́' .
2:37:014:0	Bináz'áhígíí bíighahgi tsin níyizii ii' ní'áago bee naat'áa doo biniyé óola názbąsii bąąh dah naaznil .
2:37:015:0	Tsin nitł'izii bee tsin níyizii áyiilaa áádóó óola yik'íísti' ; éí bikáá' adání bee naat'áa doo .
2:37:003:1	Bee hool'iní bá yadaa'áhígíí álnéhígíí
2:37:016:0	Beedí éí bikáá' adání yikáá' niyiiznilígíí éí łeets'aa' niteelígíí áádóó tsin bijeeh dilidgo łikání halchinii bá łeets'aa' dooleełígíí áádóó ásaa' índa ásaa' nímazí bee yah iyiizíid dooígíí óola t'áá bízhání yee áyiilaa .
