2:27:001:1	Didlidgo nááhániihii bá bikáá' náá'iiniihí
2:27:001:0	Bikáá' náá'iiniih dooígíí tsin nitł'izii bee ádadoohłííł ; tsosts'id ké siláádóó ná'áłníi'go áníłnéez doo , áádóó naaniigo tsosts'id ké siláádóó ná'áłníi'go áníłtéel doo ; dik'ą́ągo ádadoohłííł , índa dego éí dį́į́' ké siláádóó ná'áłníi'go ánízah doo .
2:27:002:0	Dį́į'go naanáz'áhídóó bidee' hadaaz'áa dooígíí t'áá ła' bizhi'ee bidee' t'áá bił ádadoohłííł , índa béésh łitsoii bik'ídadoołtih .
2:27:003:0	Ásaa' éí łeeshch'iih bii' yadahiikaah dooígíí , áádóó łeeshch'iih bee hadahakaahí , áádóó ásaa' dantsaaígíí , áádóó bíla'táa'ii danineezígíí índa tsííd bee naakáhí ádadoohłííł ; bił chodao'íinii t'áá ałtso béésh łitsoii bee ádadoohłííł .
2:27:004:0	Bikáá' náá'iiniihí bá béésh łitsoii ałnáshizhoozhgo tsííd dah yookáłí ádadoohłííł , áádóó éí dį́į'go naanídaaz'áhídóó béésh łitsoii názbąsgo bąąh dah naaznil dooígíí ádadoohłííł .
2:27:005:0	Bikáá' náá'iiniihí bidáa'gi ahééní'áhídóó yaago ałníi'gi béésh łitsoii ałnáshizhoozhgo tsííd dah yookáłí dah si'ą́ągo ádadoohłííł .
2:27:006:0	Áádóó bikáá' náá'iiniihí bee na'at'áhígíí tsin nitł'izii níyizgo béésh łitsoii bik'ésti'go ádadoohłííł .
2:27:007:0	Tsin níyizii éí béésh łitsoii názbąsgo ádaalyaaígíí bii' ní'áago ályaa doo , áko bikáá' náá'iiniihí booshk'iizh t'áá ałch'ishjí tsin níyizii bąąh ní'áago éí bee naat'áa dooleeł .
2:27:002:1	Níbaal bii' hodílzinii binaa haz'ánígíí
2:27:008:0	Dziłghą́ą'di nił ííshją́ą́ áshłaaígíí bik'ehgo tsin neheeshjíí' nitł'izígíí bee bikáá' náá'iiniihí dik'ą́ągo t'áá bighá hool'áago ádadoohłííł .
2:27:009:0	Níbaal bii' hodílzinii binaagóó haz'ą́ągo ádaalyaa doo ; shádi'ááhjígo t'ááłáhídi neeznádiindóó ba'aan ashdladiin ké silá ánízahgo , áádóó áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii nídadilbałígíí bee ádaalyaa doo .
2:27:010:0	Bá adaaz'áa dooígíí éí naadiingo áádóó bitł'ááh naaznilgo t'ááłáhíjí biih dahasdzą́ą dooígíí éí naadiingo béésh łitsoii bee ádaalyaa doo , bá adaaz'áago bąąh hada'azhah dooígíí índa bita'ndaaz'áa dooígíí éí béésh łigaii bee ádaalyaa doo .
2:27:011:0	T'áá ákónáánát'éego náhookǫsjí ałdó' t'ááłáhídi neeznádiindóó ba'aan ashdladiin ké silá ánízahgo aníbaal doo ; bá adaaz'áa dooígíí éí naadiin doo ; bitł'ááh naaznil dooígíí ałdó' naadiingo béésh łitsoii t'ááłáhíjí biih dahasdzą́ągo ádaalyaa doo , nidi bá adaaz'áii bąąh hada'azhah dooígíí índa bita'ndaaz'áa dooígíí éí béésh łigaii bee ádaalyaa doo .
2:27:012:0	Níbaal bii' hodílzinii binaagóó haz'ánígíí e'e'aahjígo tsosts'idiindóó ba'aan ashdla' ké silá ánízahgo aníbaal doo , índa bá adaaz'áhígíí éí neeznáa doo ; bitł'ááh naaznil dooígíí t'ááłáhíjí biih dahasdzánígíí ałdó' neeznáa doo .
2:27:013:0	Níbaal bii' hodílzinii binaagóó haz'ánígíí ha'a'aahjígo tsosts'idiindóó ba'aan ashdla' ké silá áhoníłtéel doo .
2:27:014:0	Ch'é'étiingi łahjí naadiin naakidóó ná'áłníi'go ké silá ánízahjį' aníbaal doo ; bá ííyah danii'áii éí táá' índa bitł'ááh naaznil dooígíí t'ááłáhíjí biih dahasdzánígíí ałdó' táa' doo .
