42:9:001:1	Pen . ix .
42:9:002:1	Ef yn anvon y dauddec Apostol ymaith i precethu . Herod yn clybot son am danaw . Ef yn porthi pemp‐mil popul a phemp , torth a’ dau bysc . Amrafael opinion am Christ . Ef yn ymrithio ar y mynyth . Ef yn gwared y dievlic . Ac yn dyscu ei ddiscipulon vot yn ’ostyngedic . Wyntwy yn erchi dial , ac yntef yn ei gohardd .
42:9:001:0	YNo y galwodd ef y dauddec discipul ynghyd , ac a roes yddynt veðiant ac auturtot ar ucha yr oll cythraelieit , ac y iachau heintie .
42:9:002:0	Ac y danvonawð hwy i precethu teyrnas Duw , ac i iachau ’r cleifion .
42:9:003:0	Ac ef a ddyuot wrthynt , Na chymerwch ddim ich taith , na gvviailffyn , nac yscrepan , na bara , nac arian , ac na bo ychwy , ddwy bais .
42:9:004:0	A’ pha tuy pynac ydd eloch iddo , yno yr aroswch , ac o ddynaw yr ymadewch .
42:9:005:0	A’ pha ’rei pynac ny’ch derbyniant , pan eloch allan o’r dinas hono , escutwch ys y llwch y wrth eich traet yn testiolaeth yn y herbyn hwy .
42:9:006:0	Ac wy aethant allan , gan vyned trwy bop tref ac Euangelu , ac iachau ym‐pop lle .
42:9:007:0	Yno clybot o Herod y Tetrarch son am yr oll pethae a wnethesit canthaw : a’ phetruso , can ys dywedyt gan ’r ei , adgyvodi o Ioan o veirw :
42:9:008:0	a chan ’r eiae , ymðangos o Elias : a’ chan ereill mai vn o’r hen Prophwyti a adgodesei .
42:9:009:0	Yno y dyuot Herod , Ioan a doreis i ei ben : pwy yntef yw hwn y clywaf gyfryw pethae am danaw ? ac ef a geisiawdd y weled ef .
42:9:010:0	A’ gwedy addychwelyd yr Apostolon , y manegesont ddaw veint bethae a wnaethoeddynt . Yno y cymerth ef wynt , ac y tynnawdd o’r neilltu i le diffaith geir ’lavv dinas a elwit Bethsaida .
42:9:011:0	A’ phan ’wybu ’r popul , ys dilynesont ef : ac ef y derbyniawdd wy , ac a lavarawdd wrthyn am deyrnas Duw , ar ei oedd arnyn eisiae y hiachau , a iachaodd ef .
42:9:012:0	A’ phan ddechreawdd y dydd ðarvot , y daeth y dauddec , ac y dywedesont wrthaw , Gellwng ymaith y popul , val yr elont ir trefi a ’r pentrefi o ddamgylch , a’ lletuya , a’ chael bwyt : can ys yma yð ym yn lle diffaith .
42:9:013:0	Ac ef a ðyuot wrthynt , Rovv‐chwi yðynt beth yw vwyta . Ac wythe a ðywedesōt , Nyd oes genym ni tros pemp torth a’ dau byscodyn , o ddyeithr i ni vyned a’ phrynu bwyt i’r oll bopul hyn .
42:9:014:0	Can ys ydd oeddent yn cylch pemp‐mil o gwyr . Yno y dyuot ef wrth ei ðiscipulon , Perwch yddyn eistedd y lavvr , bop dec wyr ad’augain mewn eisteddfa .
42:9:015:0	Ac velly y gwnaethant , ac ei gesodesont vvy y eisteð oll .
42:9:016:0	Yno y cymerth ef y pemp torth , a’r ddau pyscodyn , ac a edrychoð y vynydd ir nef , ac ei bendigawdd , ac ei torawdd , ac ei rhoes ir discipulon y’w gesot rac bron y popul .
42:9:017:0	Yno bwyto o hanynt bawp , a’ chael digon : ac e godwyt a’r a weðillesei ganthynt , dauddec bascedeit o vriwvwyt .
42:9:018:0	A’ darvu , wrth y vot ef y hun or neulltu yn gweddiaw , yr oedd ei ddiscipulon y gyd ac ef , ac ef a ’ovynnawdd yddynt , can ddywedyt , Pwy ’n með y populoedd yw vi ?
42:9:019:0	Wythe atepesont ac a ddywedesont , Ioan Vatyddiwr : a’ rei a ddyvvait mai Elias : ac ereill a ddyvvait mai vn o’r Prophwyti gynt a godes drachefyn .
42:9:020:0	Ac ef a ddyuot wrthynt , A’ phwy ’n medd‐y chwi ytyw vi ? Petr a atepawð ac a ddyuot , Y Christ y Duw .
42:9:021:0	Ac ef y rubyddiawð ac a ’orchymynawdd yddynt , na ddywedynt hyn wrth nebun ,
42:9:022:0	gā ddywedyt , Can ys dir yw i Vap y dyn ddyoddef llawer oedd a’ei argyweddu y gā yr Henaifieit , a’ chā yr Archoffeiriait , a’r Gwyr‐llen , a’ ei ladd , a’r trydydd dydd adgyuody .
42:9:023:0	Ac ef ddyuot wrthyn oll , A’s ewyllysa nep ðyuot ar v’ol i , ymwadet ehun , a chymeret ei groc beunydd a’ dylynydd vi .
42:9:024:0	Can ys pwy pynac a ewyllyso cadw ei einioes , ei cyll ; a’ phwy pynac a gyll ei einioes om pleit i , hwnw ei caidw .
42:9:025:0	Can ys pw leshat i ddyn , pe’s enillei’r oll vyt , a’ ei golli ehun , neu ddarvot am dano ehun ?
42:9:026:0	Can ys pwy pynac a gywilyddio om pleit i , am gairiae , o bleit hwnw y cywilyddia Map y dyn , pan ddelo yn ei ’ogoniant , ac yn gogoniant y Tat , a’r sainct Angelon .
42:9:027:0	A’ dywedaf wrtwych ’yn ddiau , Y mae r’ ei yn sefyll yma , a’r ny’s ’orchwaeðant o angae , nes yddyn weled teyrnas Duw .
42:9:028:0	Ac e ðarvu yn‐cylch pen wyth diernot gwedy y gairiae hyny , ac e gymerth Betr , ac Ioan , ac Iaco , ac a escendawdd ir mynyth i weddiaw .
42:9:029:0	Ac val yr oedd ef yn gweddiaw , y newidiwyt gwedd y wynepryd ef , a’ ei wisc oedd yn wen , ac yn ysplendydd .
42:9:030:0	A’ nycha , ddau ’wr yn cydymddiddan ac ef , yr ei oeð Moysen ac Elias .
42:9:031:0	Yr ei a ymddangosent yn‐gogoniant , ac a ddywedesont am ei drancedigaeth , yr vn a gyflawnei ef yn‐Caerusalem .
42:9:032:0	A’ Phetr a’r ei oeddd y gyd ac ef , oedden drymion gan hunaw , a’ phan ddihunesont , wy welsant y’ ogoniant ef , a’r ddau wr yn sefyll y gyd ac ef .
