42:6:001:1	Pen . vj .
42:6:002:1	Christ yn ei amddeffen ei ddiscipulon ac y hun , yn‐cylch tori’r Sabbath . Gwedy vmprydiaw a’ gweddiaw y mae ef yn ethol ei Apostolon . Ef yn iachau ac yn dyscu ’r popul . Ef yn dangos pwy yw’r ei gwyuvydic . Bot raid y ni caru ein gelynion . Na bo barny yn ampwylloc . Ac ymoglyd rac gau sancteiddwydd .
42:6:001:0	AC e ðarvu ar yr ail Sabbath gvvedy’r cyntaf , vot iddaw vyned trwy ’r maesydd yde , ac ir discipulon dynny y tywys , a’ ei rhuglo a’ ei dwylo .
42:6:002:0	A’r ei o’r Pharisaieit a ddywedesont wrthynt , Paam y gwnewch yr hyn nid rhydd i wneithur ar y dyddiae Sabbath ?
42:6:003:0	Yno ydd atepawdd yr Iesu yddynt ac y dyuot . Ac any ddarllenasochwi hyn pa wnaeth Dauid pan newynawdd yntef , a’r ei oeddent y gyd ac ef ,
42:6:004:0	mal ydd aeth ef y myvvn i duy Dduw , ac y cymerth , ac y bwytaodd y bara dangos , ac y rhoes hefyd ir ei oedd gyd ac ef , yr hwn nid oedd gyfreithlawn y vwyta , anyd i’r Offeirieit yn vnic ?
42:6:005:0	Ac ef a ddyuot wrthynt , Can ys Map ydyn ysy Arglwydd ac ar y dydd Sabbath .
42:6:006:0	Darvu hefyt ar Sabbath arall , vot iddo vyned i mywn ir Synagog a’ ei dyscy , ac ydd oedd yno ddyn , a’ ei law ddeheu wedy dysychu .
42:6:007:0	A’r Gwyr‐llen a’r Pharisaieit oeddent yn y ’oarchadvv ef , a iachaei ef ar y dydd Savbath , yn y chaffent achwyn yn y erbyn ef .
42:6:008:0	Eithyr ef a wyddiat y meddyliae hwy , ac a ddyuot wrth y dyn oedd a’r llaw ddiffrwyth iddo , Cyuot , a saf i vyny yn y cenol . Ac ef a gyuodes i vynydd ac a safawdd .
42:6:009:0	Yno y dyuot yr Iesu wrthynt , Mi ’ovynaf ywch , ’orchest , Ai cyfreithlawn ar y dyddiae Sabbath gwneuthu da , ai gwneuthu drwc ? cadw einioes , ai colli ?
42:6:010:0	Ac ef a edrychawdd arnyn oll o yamgylch , ac a ddyuot wrth y dyn , Estend dy law . Ac e wnaeth velly , a’ ei law a adverwyt , mor iach a’r llal’ .
42:6:011:0	Yno yr ymlanwent wy o ynvydrwyð , ac y chwedlauent wrth ei gylyð , pa’r beth a wnelent i’r Iesu .
42:6:012:0	Ac ys darvu yn y dyddiae hyny , vyned o hanaw ir mynyth i weddiaw , a’ bod yno yn hyd y nos yn gweddiaw ar Dduw .
42:6:013:0	A’ phan aeth hi yn ddydd , ef ’alwodd ar ei ddiscipulon , ac o hanynt yd etholes ef ddauddec , yr ei ac ’alwodd ef yn Apostolon .
42:6:014:0	( Simon yr vn hefyd a enwodd ef yn Petr , ac Andreas ei vrawd , Iaco , ac Ioan , Philip , a’ Bartholomaeus :
42:6:015:0	Matthew , a’ Thomas : Iacob vap Alphaeus , a’ Simon a elwir gwynvydyd :
42:6:016:0	Iudas bravvd Iaco , ac Iudas Iscariot , yr vn ac oedd vradwr . )
42:6:017:0	Yno y descendawdd ef i vvared y gyd a ’n hwy , ac y safawdd mewn maestir y gyd a’r dorf o ei ddiscipulon , a’ lliaws mawr o werin o’r oll Iudaia , a’ Caerusalem , ac o duedd glan mor Tyrus a’ Sidon , yr ei a ddaethent er mvvyn y glywet ef , a’ chael i hiachau o ei heintiae :
42:6:018:0	a’r ei a volestit gan ysprytion budron a’ hvvy a iacheit .
42:6:019:0	A’r oll dyrfa a geisiawdd y gyfwrdd ef : can ys nerth ai o hanaw allan , ac y hiachai hwy oll .
42:6:020:0	Ac ef a dderchafawadd ei lygait ar ei ddiscipuion ac a ddyuot , Gwyn eich byd y tlodion . can ys y chwy y mae teyrnas Duw .
42:6:021:0	Gwyn eich byd yr ei ’sy yn newyny yr awrhon : can ys chvvi a ddiwallir : Gwyn eich byd yr ei a wylwch yr awrhon : can ys chvvi a chwerddwch .
