42:4:001:1	Pen . iiij .
42:4:002:1	Bot yn arwain yr Iesu ir diffeithwch yw demptio . Ef yn gorvot diavol . Ef yn myned i’r Galilea . Yn precethy yn Nazaret , a’ Chapernaum . Yr Iuddeon yn y dremygy ef . Ef yn dyuot i duy Petr , ac yn iachau mam y wraic ef . Y cythraulieit yn cyfaddef Christ . Ef yn precethy rhyd y dinasoydd .
42:4:001:0	AC Iesu yn llawn o’r Yspryt glan , a ddadymchwelawdd y yvvrth Iorðanen , ac a dywysit y gan yr vn yspryt ir diffeithvvch ,
42:4:002:0	ac a vu yno ðau’gain diernot yn ei dempto y gan ddiavol , ac ny vwytaodd ef ddim yn y dyddiae hyny : eithyr gwedy y diweddy hwy , yn ol hyny y newynawdd ef .
42:4:003:0	Yno y dyuot diavol wrthaw , A’s map Duw wyt , gorchymyn i’r maen hwn yn y wnaer yn vara .
42:4:004:0	Ac Iesu atepodd iddo , gan ddywedyt , Scrivenwyt , Na bydd i ddyn vyw ar vara yn vnic , anyd ar pop gair Duw .
42:4:005:0	Yno y cymerth diavol ef y vynydd i vynyth tra vchel , ac a ddangosawð iddaw oll deyrnasoeð byd , yn llai no mynut awr .
42:4:006:0	Ac eb yr diavol wrthaw , Iti y rhof yr oll veddiant hyn , a’ gogoniant y teyrnasoedd hyny : can ys y mi ei roddwyt : ac i bwy bynac yr ewyllyswyf , mi ei rhoddaf .
42:4:007:0	Ac velly a’s ti a’m addoly i , ys byddant oll y ti .
42:4:008:0	A’r Iesu ei atepawdd , ac a ddyuot , Ymdyn y wrthyf Satan : can ys ’scriuenwyt , Addoly yr Arglwyð dy Dduw , ac efe yn vnic a wasanethi .
42:4:009:0	Yno yr aeth ac ef y Gaerusalem , ac ei gesodes ar pinnacul y Templ , ac ys yganei wrthaw . A’s Map Duw wyt tavla dy hun i lawr o ddyna ,
42:4:010:0	can vot yn yscrivenedic , Y gorchymyn ef y’w Angelon oth pleit ti , ith gadw di :
42:4:011:0	ac aei dwylo ith gyfodant , rac yty vn amser daro dy droet wrth garec .
42:4:012:0	A’r Iesu a atepodd ac a ddyvot wrthaw , Ys dywetpwyt , Na themtia yr Arglwydd dy Dduw .
42:4:013:0	A’ gwedy gorphen o’r diavol yr oll temptiat , yr ymadawodd ac ef dros amser .
42:4:014:0	A’r Iesu a ddadymchwelawdd drwy nerth yr Yspryt i’r Galilaia : ac ef aeth son am danaw trwy ’r oll vro y amgylch .
42:4:015:0	Can ys ef a ei dyscei yn y Synagogae wy , ac ef a anrydyðit gan bawp .
42:4:016:0	Ac ef a ddaeth i Nazaret lle magesit ef , ac ( yn ol ei ddevot ) yr aeth i’r Synagog ar y dyð Sabbath , ac a godes yn ei sefyll i ddarllen .
42:4:017:0	Yno y rhoed ataw lyver y Prophwyt Esaias : a’ gwedy iddo agori ’r llyver , y cafas e ’r man lle yr escrivenit ,
42:4:018:0	Yspryt yr Arglwydd , ys id arna vi , achos enneinawdd vi , val yr Evangelwn i’r tlodion : ef am anvones i , i iachau y briwedigion o galon , i precethu gellyngdawt i’r caithion , ac er adweledigaeth ir daillion , er maddae o hanof i ryddit yr ei ysic ,
42:4:019:0	ac er i mi precethu blwyddyn gymredic yr Arglwydd .
42:4:020:0	Ac ef a gayawdd y llyver , ac ai rhoes drachefn at y gwenidawc , ac a eisteddawdd i lavvr : a’ llygait pavvb oll a’r oeddent , yn y Synagog a dremient arnaw ef .
42:4:021:0	Yno y dechreawdd ef ddywedyt wrthynt , Heddyw y cyflawnwyt yr Scrythur hyn yn eich clustiae chvvi .
42:4:022:0	Ac oll a ddugesont destoliaeth iddo , ac a ryveddesant am y gairiae rhadlavvn a ðaethesont o ei enae , ac a ddywetsōt , Anyd hwn yw map Ioseph ?
42:4:023:0	Yno y dyuot ef wrthynt , Dilys y dywedwch wrthyf y ddiereb hon , Y meðic , iacha dy hun : pa pethe pynac a glywsam ddarvot ei gwnaethy ’r yn‐Capernaum , gwna yma hefyt yn dy ’wlat dy hun .
42:4:024:0	Ac ef a ddyuot , Yn wir y dywedaf y chwi , Nid cymradwy nebvn Prophwyt yn ei wlat ehun .
42:4:025:0	Ac yn‐gwirioneð y dywedaf ywch ’llawer o wrageð‐gweddwn oedd yn‐dyddiae Elias yn yr Israel , pan gaywyd y nef dair blyneð a’ chwech mis , pan oedd newn mawr dros yr oll tir .
42:4:026:0	Ac nid at yr vn o hanynt yd anvonwyt Elias , anyd i Sarepta dinas yn Sidon , at wraic weddw .
42:4:027:0	Hefyd llawer gohangleifion oedd yn yr Israel yn amser Eliseus y Prophwyt : ac ny ’lanhawyt , yr vn o hanynt , dyeither Naaman y Syriat .
42:4:028:0	Yno yr oll rei oedd yn y Synagog , pan glywsant hyny , a lanwit o ddigovaint ,
42:4:029:0	ac a godesont i vyny , ac y bwriesont ef y maes o’r dinas , a’ ei arwein yd ar vin bryn ( ar yr hwn y daroeð adeiliat y dinas wy ) y’w vwrw e i lawr bendro , mwnwgl .
42:4:030:0	Ac yntef gan vyned trwy y cenol wy aeth ymaith .
42:4:031:0	Ac a ddeuth y weret i Capernaum , dinas yn Galiaea , ac yno y dyscawdd ef hwy ar y dyddiae Sabbath .
42:4:032:0	Ac aruthro a wnaethant gā y ddysceidaeth ef : can ys y ’air ef oedd gyd ac awdurdawt .
