42:16:001:1	Pen . xvj .
42:16:002:1	Christ yn annoc yr ei ef ar ddoethinep a’ haelioni , wrth esempl y
42:16:003:1	16 : 0
42:16:004:1	*
42:16:005:1	pentuylu
42:16:006:1	goruchwilwr . Ny ddychon nep wasanaethu dau arglwydd . Ef yn , argyweddu trachwant a’ ffuc sancteiddrwydd y Pharisaiait . Am dervyn a’ grym y Ddeddyf . Am ’lan gyflwr priodas . Am y goludawc a’ Lazarus .
42:16:001:0	AC ef a ðyfot hefyt wrth ei ðiscipulō Ydd oedd rryw ’wr goludoc , ac yðo oruchwiliwr , ac ef a guhuddwyt wrthaw , ddarvot iddaw afradloni y dda ef .
42:16:002:0	Ac ef a alwadd arno , ac a ddyuot wrthaw , Peth yvv hyn a glywaf am danat ? dyrho gyfri o’th orchwyliaeth : can na elly gahel mwy oruchwiliaw .
42:16:003:0	Yno y dyvot y goruchwiliwr ynthaw ehun . Pa beth a wnaf : can ys bot vy arglwydd yn dwyn yr oruchwiliaeth y arnaf ? Cloddiaw ny allaf , a’ chardota ’sy wradwyðus genyf .
42:16:004:0	Gwnn beth a wnaf , pan im bwrier or ’orchwylieth mal im derbyniont y’w taie .
42:16:005:0	Yno gwedy iddaw alw ato pop vn o ddyledwyr ei Arglwydd , y dyvot wrth y cyntaf , Pa veint a ddyly vy Arglwydd yty ?
42:16:006:0	Ac ef a ddyvot , Cant mesur o oleo . Ac ef a ddyvot wrthaw , Cymer dy escriven , ac eisteð yn ebrwydd , ac escrivenna ddec a’ deucain .
42:16:007:0	Yno y dyvot ef wrth vn arall , Pa gymeint o ddlet ’sy arna ti ? Ac ef a ddyvot . Cant mesur o wenith . Yno y dyvot ef wrthaw , Cymer dy escriven , ac escrivenna petwar‐ucain .
42:16:008:0	Ac a ganmolawdd yr Arglwydd y goruchwyliwr ancyfiawn , am iddaw wneythyd yn synhwyrol . Can ys synwyrolach yw plant y byt hwn yn ei cenetlaeth na phlant y golauni .
42:16:009:0	A’ mi addywedaf yw’ch . Gwnewch y‐chwy gereint a golud enwiredd , val pan vo eisiae arnoch , ich derbyniant i’r trigvae tragyvythawl .
42:16:010:0	Hwn ’sy ffyddlawn yn y lleiaf , ysy ffyddlawn hefyd yn llawer : a’ hwn ’sy ancyfiawn yn lleiaf ys y ancyfiawn hefyt yn llawer .
42:16:011:0	Can hyny any a’s buoch ffyddlonion yn y golud enwir , pwy a gred y chwy yn y gwir ’olud ?
42:16:012:0	Ac any’s buoch ffyddlonion yn‐da vn arall , pwy a rydd y‐chwy , yr hyn ’s yð ywch’ ?
42:16:013:0	Nyd oes neb gwas a ddychon wasanaethu dau arglwydd : can ys ai ’n aill ai ef a gasaa vn , a’ charu ’r llall : ai ef a ’lyn wrth y naill , a’ thremygu ’r llall . Ny ellwch wasanaethu Duw a’ golud .
42:16:014:0	A’r pethae hyn oll a glybu y Pharisaiait hefyt , yr ei oedden gubyddion , a gwatworesont ef .
42:16:015:0	Yno y dyuot wrthynt , Chvvychwi yw ’r ei ai cyfiawnavvch ych hunain yn‐gwydd dynion : a’ Duw a ’wyr eich calonae : can ys y peth ’sy mevvn vchelfri gyd a dynion , y sy ffiaidd yn‐gwydd Duw .
42:16:016:0	Y Ddeddyf a’r Prophwyti a barahodd yd Ioan : ac er y pryd hyny y precethwyt teyrnas Duw , a’ phawp dyn ’sy’n tori y mewn y‐ddei .
42:16:017:0	A’ haws yw i nef a’ daiar vyned heibio , nac y bydd i vn titul o’r Ddeddyf gwympo .
42:16:018:0	Pwy pynac a’ ddellwng ei ’wraic y maith , a’ phriodi arall , mae’n tori priodas : a’ phwy pynac a brioto hon a ollyngwyt y maith ywrth y gwr , a dyr briodas . Yr Euangel y Sul cyntaf gwedy Trintot .
42:16:019:0	¶ Ydd oedd ryw ’wr goludawc a oedd yn gwisco porphor a lliein‐main , ac yn cymeryd ei vyt yn ddaentethol ac yn voethus peunydd .
42:16:020:0	Ac ydd oedd ryw gardotyn a’ ei enw Lazarus , yr hwn a vwrit wrth y borth ef yn gornwydlyt ,
42:16:021:0	ac yn chwenychy cahel ei borthi a’r briwsion , a syrthient y ar vort y gvvr goludawc : eithyr a’ dawot o’r ’cwn a’ llyfu y gornwydedd ef .
42:16:022:0	Ac e ddarvu , bot i’r cardotyn varw , ac ef ðucpwyt can yr Angelon i vonwes Abraham . A’ marw o’r gwr-goludawc , a’ ei gladdy a wnaethpwyt .
42:16:023:0	Ac ef yn yffern mewn poenae , y cyfodes ei olygon , ac a weles Abraham ym‐pell o yno , a’ Lazarus , yn ei vonwes .
42:16:024:0	Yno y llefawð , ac y dyvawt , Y Tat Abraham , trugarha wrthyf , a’ danvon Lazarus , y drochy blaen ei vys mewn dwfyr , ac oeri vy‐tafawd : can ys im poenir yn y flamm honn .
42:16:025:0	Ac Abraham a ddyvot Ha vap , coffa yt gymeryt dy wynwyt yn dy vywyt yn gyffelip ac y cymerth Lazarus advyt : ac yr awrhon y confforddir ef , ac y poenir tithef .
42:16:026:0	Ac eb law hynn oll , y rhyngom ni a’ chwiy mae gagēdor ðirvawr wedy ’r ’osot , mal yr ei a ewyllysient vynet o ddyma ato‐chwi ny allant , nac o ddyna ddyvot atam ni .
42:16:027:0	Yno y dyvot ef . Can hyny atolygaf y‐ty dat , y ddanvon ef y duy vy‐tat
42:16:028:0	( o bleit y mae i mi pemp broder ) val testolaetho ydd‐wynt , a’ rac yð wynt wy dawot ir poenva hon .
42:16:029:0	Abraham a ddyvot wrthaw . Mae ganthwynt Moysen a’r Prophwyti , gwrandawant arnynt wy .
42:16:030:0	Ac ef a ddyvot , Nag e , y tat Abraham : eithyr pe dauei vn attwynt y wrth y meirw , wy wellaent ei buchedd .
42:16:031:0	Yno Abraham a ddyvot wrthaw . Any wrandawant Voysen a’r Prophwyti ny’s credent chvvaith , pe’s cyvodei vn y wrth y meirw .
