42:13:001:1	Pen . xiij .
42:13:002:1	Creulonder Pilat . Ny ddylem ni varnu vot yn enwir bawb oll ar a ddioddefo artaith . Christ yn annoc i edueirwch . Ef yn iachau y ’wreic grepach . Ef yn atep llywiawdr y Synagog . Drwy amryw gyffelybiethae y mae ef yn datcan pa beth yw teyrnas Duw . A’ hefyd nad yw niver yr ei a vydd cadwedic , anyd ychydigyn . O’r dywedd y dengys na ddichon na meddiant bydawl na nerth rwystro na llestair rhin ac arvaeth Duw .
42:13:001:0	YR oedd ’rei yn presennol yn yr amser hwnw , yn menegy iddaw am y Galilaiait , y sawl a gymyscesei Pilat ei gwaed gyda ai h’aberthae hwy hunain .
42:13:002:0	A’r Iesu a atepawdd , ac a ddyuot , wrthyn , A dybygwch wi vot y Galilaieit hyn yn bechadurieit mwy na’r oll Galilaieit ereill , can ddarvot yddyn ddyoddef cyfryw bethae ?
42:13:003:0	Dywedaf ychwy , nad ynt : eithyr any wellewch eich bucheð ef ach cyfergollir oll yr vn ffynyt .
42:13:004:0	Nei a dybygwch vvi am y daunaw hyny y syrthiawdd y twr arnyn yn Siloam , ac ei lladdawdd , y bot hwy yn pechaturieit y tu hwnt ir oll ddynion a breswiliant yn‐Caerusalem ?
42:13:005:0	Dywedaf yw’ch nad ynt : eithyr any’wellewch‐eich‐buchedd , ef eich cyfergollir oll yr vn ffynat .
42:13:006:0	Ef a ddyuot hefyt y parabol hyn , Yr oedd gwr a’ ffycuspren iddaw wedy ’r blanny yn ey ’winllan ac ef a ddaeth ac a geisiawdd ffrwyth arnaw , ac ny chafas ddim .
42:13:007:0	Yno y deuot ef wrth y gwinllannwr , Nachaf , y tair blynedd hyn y daethym ac y ceisiais ffrwyth ar y fficuspren hwn , ac nyd wyf yn cael dim : trycha e y lawr : paam y mae ef yn divwynaw ’r tir ?
42:13:008:0	Ac ef atepawdd ac a ddyuot wrthaw , Arglwydd , gad iddo ’r vlwyðyn hon hefyt , ne’s i mi gloddiaw yn ey gylch , a’ ei deilo .
42:13:009:0	Ac a’s dwc ef ffrwyth , gad iddo : anid ef , gwedy hyny y trychy e i lawr .
42:13:010:0	Ac ef ei dyscawdd yn vn o’r Synagogae ar y dyð Sabbath .
42:13:011:0	A’ nachaf , ydd oedd yno gwraic ac iddi yspryt gwendit , er ys da’unaw blynedd , ac oedd wedy’r gydgrymu , ac ny’s gallei ymddadgrymu mywn modd yn y byd .
42:13:012:0	A’ pan welas yr Iesu y hi , ef y gelwes hi ataw , ac a ddyuot wrthei , Ha‐wreic , ith ellyngwyt ywrth dy wendit .
42:13:013:0	Ac ef a ddodes ei ddwylo arnei , ac yn y man yr vniownwyt hi , ac y gogoneddawdd hi Dduw .
42:13:014:0	Ac arglwydd y Synagog a atepawdd yn sorredic , can i’r Iesu iachau ar y dydd Sabbath , ac a ðyuot wrth y popul , Y mae chwech diernot ar yr ei y dylyir gweithio : ar yr y rhe’in gan hynny dewch , ac iachaer chwi , ac nyd ar y dydd Sabbath .
42:13:015:0	Yno atep iddo o’r Arglwyð , a’ dywedyt , Hypocrit , anyd yw pop vn o hanochvvi ar , y dydd Sabath yn gellwng ei ych nei asin o’r preseb , a’ dywys y yfed dwfr ?
42:13:016:0	Ac any ðyly yverch hon i Abrahā , yr hon a rwymoð Satā , wele , ys daunaw blyneð , gahel hei gellwng o’r rhwym hwn ar y dydd Sabbath ?
42:13:017:0	A’ phan ddywedei ef y pethae hyn , y cywilyddit y oll wrthnepwyr ef : a’r oll popul a lawenhaei wrth y pethae rhagorawl a wnaethit y gantaw ef .
42:13:018:0	Yno y dyuot ef , I ba beth y mae teyrnas Dew yn gynhebic ? ne i ba beth y cyffelybaf y hi ?
