42:21:001:1	Pen . xxj .
42:21:002:1	Christ yn canmol y weddw dlawd . Ef yn rac rybyddiaw am ddinistriat Caerusalem . O’r precethwyr gauawc . O’r arwyddion a’r trallodae ar ddyuot . O ddywedd y byd , Ac oei waith diwarnodawl .
42:21:001:0	AC val ydd oedd ef yn edrych , y gwelas ef yr ei goludawc yn bwrw ei rhoddion ir tresorfa .
42:21:002:0	Ac ef a welawð hefyt ryw vvreic‐weðw dlawd , yr hon a vwriawdd y mywn yno ddwy hatling ,
42:21:003:0	ac ef a ddyuot , Yn ddiau y dywedaf ychwy , ddarvot ir weddw dlawt hon vwrw ymywn vwy nac wyntwy oll .
42:21:004:0	Canys wy oll o ei gormoddder y bwriesont ymplith y’r offrymae Duw : a’ hon oi phrinder a vwriawð y mywn yr oll vywyt oeð y‐ddei .
42:21:005:0	Ac a’r ei yn dywedyt am y templ , val yr aðurnesit a main pryderth , ac a chyssegredic bethae , ef a ðyuot ,
42:21:006:0	Ai ’r pethae hyn ydd ych yn ei tremio ? e ddaw ’r dyddiae yn yr ei ny edevvir maen ar vaen , a’r ny’s goyscerir .
42:21:007:0	Yno y gofynnesont y‐ddaw , gan ðywedyt , Athro , and pa bryd y byð pethae y hyn ? a ’pha ’r argoel vydd ar ddawot hyn i ben ?
42:21:008:0	Ac ef a ddyuot , Mogelwch rac cael eich twyllaw : can ys daw llawer yn vy Enw i , gan ddywedyt , Mi yw Christ , ac mae’r amser yn dynesau : ac am hyny nac ewch ar y hol hwy .
42:21:009:0	A’ phan glywoch son am ryveloedd a’ thervyscoedd , nac ofner chwi : can ys dir yw ir pethae hyn ddyvot yn gyntaf , eithyr nad oes tervyn yn y man .
42:21:010:0	Yno y dywedei wrth‐wynt , E gyuyt cenedl yn erbyn cenedl , a’ theyrnas yn erbyn teyrnas ,
42:21:011:0	a’ dayar‐grynfaë mowrion vyddant yn amrafael leodd , a’ newyn , a haint y cornwyt , a’ dychrynedigaethae , a signedd mawrion vyddant o’r nef .
42:21:012:0	Eithyr cyn na hyn oll , y dodant ei dwylo arnoch , ac ich erlynant , gan ych roddi ir Synagogae , ac i garcharae , a’ch dwyn geyr bron Brenhinedd , a’ llywyawdwyr o bleit vy Enw i .
42:21:013:0	A’ hyn a dry i chwi , yn testoliaeth .
42:21:014:0	Dodwch gan hyny yn eich calonae , na vefyrioch , beth a atepoch .
42:21:015:0	Can ys myvi a roðaf y‐chwy ’eneu a ’doethineb , yr hwn ny ddychon eich oll wrthwynebwyr ei wrthddywedyt na ei wrthladd .
42:21:016:0	Ys bradychir chwi y can eich rieni , a’ chan eich broder , a’ch cydgenedl ach cereint , a’r ei o hanoch a ront y varwolaeth .
42:21:017:0	A’ dygasoc vyddwch gan bavvb oll o bleit vy Enw i .
42:21:018:0	Eithyr vn blewyn o’ch penn ny’s collir .
42:21:019:0	Trwy eich ammynedd , meddiannwch eich eneidiae .
42:21:020:0	A’ phan weloch Caerusalem wedy ’r amgylchynu gan vyddinoedd , yno gwybyddwch vot y diffeithiat hi yn agos .
42:21:021:0	Yno ciliet yr ei ’sy yn Iudaia , ir mynyddedd : a’r ei ’sy yn y chenol , tynnan y maes : ac nac aed yr ei or orwlad , y mywn yddi .
42:21:022:0	Can ys dyddiae dial yw ’r ei hyn , y gyflawny yr oll bethæ a ’r yscrivenwyt .
42:21:023:0	A’ gwae yr ei beichiogion , a’r ei yn rhoi‐bronnae yn y dyddiae hyny : can ys‐bydd cyfingdra mawr yn y tir hvvn , a’ llid arucha y bopul hyn .
42:21:024:0	Ac wy a gwympant ar vin y cleðyf , ac eu tywysir yn gaithion ir oll genetloedd , a’ Caerusalem a vysengir dan draed y gan y Cenetloeð , y n y chyflawner amsere y Cenetloeð .
42:21:025:0	Yno y byð sygnedd yn yr haul , ac yn y lloer , a’r ser , ac a’r y ðaiar trallot ymhlith y cenetloedd , gyd a chyfing gycor : y mor a’r weilgi a ruant .
42:21:026:0	Di enait vydd dynion gan ofn , a’dysgwyl am y pethae a ddawant ar vvartha ’r byd : can ys nerthoeð y nefoedd a yscytwir ,
42:21:027:0	ac yno y gwelant Vap y dyn yn dyuot yn wybren , y gyd a meddiant a’ gogoniant mawr .
42:21:028:0	A’ phan ðechreuo y pethae hyn ddyvot , tremiwch i vynydd , a darchefwch eich pene , can ys‐bot eich prynedgaeth yn dynessau .
42:21:029:0	Ac ef a ðyvot wrthynt y parabol hvvn , Gwelwch y fficuspren , a’r oll breneu ,
42:21:030:0	pan darddant ynawr gan ei gweled , y gwyddoch o hanoch eich unain bot yr haf yn awr yn gos .
42:21:031:0	Ac velly chwithe , pan weloch ddyvot y pethae hyn , adnabyddwch vot teyrnas Duw yn agos .
42:21:032:0	Yn wir y dywedaf y‐chwy , na bydd i’r oes hon vyned heibio , y n y wneler y pethe hyn oll .
42:21:033:0	Nef a’ daiar a ant heibio , and y gairie meuvi nid ant dim heibio .
42:21:034:0	Edrychwch arnoch eich hunain , rac bot vn amser trymhau eich calonhae gā gloðest a’ meddot , a’ gofalon y vuchedd hon , a’ rac dyvot y dydd hwnw ar ych vchaf eb wybot .
42:21:035:0	Can ys val magl y daw ar ucha pavvb oll a’r a breswiliant ar wynep yr oll ddayar .
42:21:036:0	Gwiliwch gan hyny a’ gweddiwch yn ’oystat , ar gahel bot yn deilwng y ddianc rac y pethe hynn oll ar ddyvot i ben , ac ar allu o hanoch sefyll geyr‐bron Map y dyn .
42:21:037:0	Ac yn hyd y dydd y dyscei ef y bobyl yn y Templ , a’r nos ydd ai allan , ac yr arosei yn y mynyth a elwir mynydd yr olew‐wydd .
42:21:038:0	A’r oll popul a ddeuent yn vorae ataw , y’w glywet yn y Templ .
