42:10:001:1	Pen . x .
42:10:002:1	Ef yn anfon y dec a’ thrueain oei vlaen i precethu , ac yn ei rhybuddiaw py wedd yr ymddugant . Ef yn bygwth yr ei ayhydyn . Ef yn diolwch yw Dad nefawl . Ef yn gwrthep y Gwr‐llē ai prorawd ef , Ac wrth exempl y Samarit y mae ef yn dangos pwy’n yw cymydawe dyn . Martha yn derbyn yr Arglwydd yw thuy . Bod Mair yn chwanoc y wrando y’ air ef .
42:10:001:0	YN ol y pethac hyn yr ’ordeiniawð yr Arglwyð ðec a thr’ugain ereill , hefyt ac ei danvones wy pop ddau a’ dau geyr ei vron i pop dinas a’ lle , ac ydd oedd ef ar ddyvot iddo .
42:10:002:0	Ac ef a ddyvot wrthwynt , Y cynayaf y sy ampl , a’r gweithwyr yn anaml : gwediwch gan hynny ar Arglwydd y cynayaf , ar ddanvon gweithwyr y’w gynayaf .
42:10:003:0	Cerddwch ymaith : nycha mi ach danvonaf mal wyn ymysc bleiddiae .
42:10:004:0	Na ddygwch vn god nac yscrepan , nac escidiae , ac na chyverchwch well i nep ar y ffordd .
42:10:005:0	Ac i pa duy pynac ydd eloch , yn gyntaf dywedwch Tangneddyf ir tuy hwnn .
42:10:006:0	Ac a’s bydd yno vn map tangneðyf , e a ’orphwys eich tangneðyf arno : ac anid ef , atoch yd adymchwel .
42:10:007:0	Ac yn tuy hwnw aroswch yn ’oystat gan vwyta , ac yvet gyfryw bethrae a ddodant geir eich bronn : can ys teilwng ir gweithwr ei gyfloc . Na cherddwch o duy y‐duy .
42:10:008:0	Ac y ba ddinas bynac yð eloch ymevvn , a’s wy a’ch derbyniāt , bwytewch cyfryw bethe ac a osoter geir eich bron ,
42:10:009:0	ac iachewch y cleifion a vo ynddei , a’ dywedwch wrthynt , Nesaoð teyrnas Duw atoch .
42:10:010:0	Eithr i ba ðinas bynac yd eloch ymyvvn , ac any ’ch derbyniant , ewch ymaith allā yw heolyð hi a’ dywedwch ,
42:10:011:0	Ys ef y llwch , yr vn a ’lyn wrthym o’ch dinas , a ddysychwn o ddywrthym yn eich erbyn chvvi : er hyny gwybyddwch hyn , ddarvot i deyrnas Duw nesau atoch .
42:10:012:0	Can ys dywedaf wrthych , mai esmwythach vydd yn y dydd hwnw ir ei o Sodoma , nac ir dinas hono .
42:10:013:0	Gwae dydi Chorazin : gwae dydi Beth‐saida : can ys pe’s gwneythesit yn‐Tyrus a’ Sidon y gwyrthiae a wnaethpwyt yn y‐chwi , hwy gynt oll a ediveiriesent , gan eistedd mewn lliainsach a’ lluto .
