42:18:001:1	Pen . xviij .
42:18:002:1	Wrth esempl y ’weddw , a’r Publican y dysc Christ pa wedd y mae gweddiaw . Wrth esempl y plantos yr eiriol ef vaylldot . Am y ffordd y byddir cadwedic , a’ pha bethae a ’rwystrant . Y gwebyr addawedie ir ei yddo ef , Ac am y groes .
42:18:001:0	AC ef a ðyuot hefyt barabol wrthynt , ys ef i hyn , y dylynt weddiaw yn ’oystat , ac eb ddefficiaw ,
42:18:002:0	gan ddywedyt , Ydd oedd brawdwr yn‐ryw ddinas , yr hwn nid ofnei Dduw , ac ny pharchei ddyn .
42:18:003:0	Ac ydd oedd gvvraic‐gweddw yn y dinas hono , yr hon a ddoy attaw , gan ddywedyt , Gwna i mi gyffiawnder yn erbyn vy‐gwrthnebwr .
42:18:004:0	Ac ny’s gwnai ef dros hir amser : ac wedy hyn y dyuot yntho ehun , Cyd nad ofnaf Dduw , ac na pharchaf ddyn ,
42:18:005:0	eto can vot y ’weddw hon yn vy molestu , gwnaf iddi gyfiawnder , rac o’r dywedd y ddi vy sevrddanu .
42:18:006:0	A’r Arglwydd a ddyuot , Clywch pa beth ddywait y brawdwr ancyfiawn .
42:18:007:0	Ac a ny ddial Duw ei ddetholedigion , ysy yn llefain arnaw ddydd a’ nos , cyd bo ef yn ohirddig drosdynt ?
42:18:008:0	Dywedaf ychwy , taw y dial ef hwy yn glau . Eithyr pan ddel Map y dyn , a gaiff ef ffydd ar y ddaiar ? Yr Euangel y xi . Sul gwedy Trintot .
42:18:009:0	¶ Ef a ddyuot y parabol hwn wrth y’r ei oeð ei ymðiriet arnyn ehunain ey bot yn gyfiawn , ac yn diystyry yreill ,
42:18:010:0	Deu‐wr a escenesōt ir Templ i weddiaw : vn Pharisai , a’r llall Publican .
42:18:011:0	Y Pharisai oei sefyll a weddiawdd val hyn wrthaw ehun , Duw , diolchaf y‐ty nad wyf mal y dynion ereill , yn gribdeilwyr yn ancyfiawnion , yn ’odinebwyr , ai mal y Publican hwn .
42:18:012:0	Ydd wyf yn vmprydiaw ddwywaith yn yr wythnos : ðwyf yn decemy cymeint oll a veddaf .
42:18:013:0	Anid y Publican yn sefyll o hirbell , ny dderchavei na ei ’olygon tu ar nef , an’d curo ey ðwyvron can ðywedyt , Duw , trugarha wrthyf bechatur .
42:18:014:0	Ys dywedaf wrthych , e ddescennawdd y dyn hwn y’w duy wedy ei gyfiawnhay , yn vwy na’r llall : Can ys pwy bynac a ymdderchaif , a ’oystynger , a’ hwn a ymestwng , a dderchefir ,
42:18:015:0	Ac wy ðucesont ataw ’r ’ei bychein , val y bei yddo ei cyvwrdd . A’ phan ei gwelawdd , ei ddiscipulon , ei ceryddu aorugant .
42:18:016:0	A’r Iesu ai galwawdd wy ataw , ac a ddyuot , Gedwch i’r bechcenot ddyuot atafi , ac na ’oherddwch wy : can ys ir cyfryw y mae teyrnas Duw .
42:18:017:0	Yn wir y dywedaf wrthych , pwy bynac ny dderbynio deyrnas Duw val bachcenyn , ny bydd iddo vyned oei mywn hi .
42:18:018:0	Yno y gofynnawdd ryw lywiawdr iddaw , gan ddywedyt , Athro da , pa beth ’sy imi y’w wneuthur , i veddu bywyt tragyvythawl ?
