42:5:001:1	Pen . v .
42:5:002:1	Christ yn precethy allan o’r llong . Y tynniat mawr a’r byscot . Galw ’rei o’r discipulon . Ef yn glanhau ’r gohanglaf . Ef yn iachau ’r dyn o’r parlys . Ef yn galw Matthew y tollwr . Yn bwyta y gyd a phechadurieit . Ac yn escuso yr ei iddo ef , am vmprydiaw .
42:5:001:0	YNo y darvu , a’r popul yn poysaw ato y wrandaw gair Duw , ac yð oedd ef yn sefyll yn emyl llyn Genesaret ,
42:5:002:0	ac e welodd ddwy long yn sefyll wrth y llynn , a’r pyscotwyr a descennesent o hanwynt , ac oeddynt yn golchi ei rhwytae .
42:5:003:0	Ac ef a dringawdd i vn o’r llongae yr hon y oedd eiddo Simon ac a archawdd iddo hi gwthiaw ychidic y wrth y tir : ac ef a eisteddawdd , ac a ddyscawdd y torfoedd allan o’r llong .
42:5:004:0	Gwedy iddaw beidiaw ac ymadrodd , y dyvot wrth Simon , Gwthia ir dwfn , a’ bwriwch eich rhwytae i wneythur tynn .
42:5:005:0	Yno Simon a atepawd , ac a ddyvot wrthaw , Y llywiawdr , ni a dravaelesam yn hyd y nos , ac ny ddaliesam ddim : etwa ar dy ’air di , mi a vwriaf y rhwyt .
42:5:006:0	Ac wedy yddwynt wneythyr hyn , wy a ddaliesont liaws mawr o byscot , yd pan rwygawdd y rhwyt wy .
42:5:007:0	Ac wy a amneidiesant ar ei cyveillion , yr ei oeddent yn y llong arall , y ddewot yw canhorthwyaw , yr ei ddeuthant , ac a lanwesant y ddwy long , y’n y soddesont .
42:5:008:0	A’ phan welawdd Simon Petr hyny , e ddygwyddawdd i lawr wrth ’liniae ’r Iesu , gan ddywedyt , Arglwydd , dos ywrthyf , can ys dyn pechaturus wyf :
42:5:009:0	o bleit ydd oedd ef wedy brawychy arnaw , ac ar oll oedd y gyd ac ef gan y tynn o byscawt , a ddaliesent .
42:5:010:0	Ac velly hefyd y daroedd i Iaco ac Ioan meibion Zebedeus , cym‐ddeithion i Simon . Yno ’r Iesu a ddyvot wrth Simon , Nag ofna : o hyn allan y byddy yn dala dynion .
42:5:011:0	A’ phan dducesont y llongae ir tir , eu gadawsāt pop peth , ac ei canlynesout ef .
42:5:012:0	A’ darvu , val ydd oedd ef mewn ryw ddinas , nycha wr yn llawn o’r gohanglwyf , a’ phan welodd ef yr Iesu , e gwympawdd ar ei wynep , ac a atolygawdd yddo , gan ddywedyt , Arglwydd , a’s wyllysy , gelly vy-glanhau .
42:5:013:0	A’r Iesu a estendawdd ei law , ac ei cyfyrddawd ef , gan ddywedyt , Ewyllysaf , glanhaer di . Ac yn y van yr ymadawodd y gohanglwyf ac ef .
42:5:014:0	Ac ef a ’orchymynawdd iddaw na ddywedei hyn i nebun : and Dos , eb yr ef , ac ymðangos ir Offeiriat , ac offrwm tros dy ’lanhat , mal y gorchmynawdd Moysen , yn testiolaeth yddynt .
42:5:015:0	Ac aros hyny yn vwy yr aeth y gair am danaw ar lled , a’ minteioedd lawer a ðauent ynghyt i wrandaw , ac y’w hiachau ganthaw o ei gwendit .
42:5:016:0	Ac ydd oedd ef yn dalha o’r neilltu yn y diffaith , ac yn gweddiaw .
42:5:017:0	A’ darvu , ar ryw ddydd , val yr oedd ef yn ei dyscu , bot o’r Pharisaieit a’ dysciawdron y Ddeddyf yn eystedd yno , yr ei a ddaethent o bop tref yn Galilaia yn Iudaia , ac o Gaerusalem , a’ meddiant yr Arglwyð oedd yndavv er y iachau hwy .
42:5:018:0	Yno nycha ’r ei yn dwyn dyn y mywn gwely , oeð yn glaf o’r paralys , ac y gaisiesont i ddwyn ef y mewn , a’ ei ’osod geyr y vron ef .
42:5:019:0	A’ phan na vedrent ddychymygu pa ffordd y dygent ef y mywn , gan y dorf , wy ðringesant ar y tuy , ac ei gellyngesant y lawr drwy ’r to , ef ar gwely , yn y cenol geyr bron yr Iesu .
42:5:020:0	A’ phan welas ef y ffydd wy , y dyuot wrtho ef . Y dyn ys maddeuwyt yty dy pechotae .
42:5:021:0	Yno y dechreuawdd y Gwyr‐llen a’r Pharisaieit veddyliaw , gan ddywedyt , Pwy ’n yw hwn ’sy yn dywedyt cablae ? pwy aill vaddae pechatae ’n amyn Duw y hun ?
42:5:022:0	Ac wrth wybot o’r Iesu y meddyliae hwy , yr atepawdd , ac y dyuot wrthynt , Pa veddylio ydd ych yn eich calonae ?
42:5:023:0	Pwy ’n hawsaf dywedyt , Ys maddeuwyt yty dy pechatae , ai dywedyt , Cyuot a’ rhodia ?
42:5:024:0	Ac val y gwybyddoch vot i Vap y dyn awdurtot i vaðae pechatae yn y ddaiar ( eb yr ef wrth y claf or paralys ) Wrthyt y dywedaf , Cyuot : cymer i vyny dy wely , a’ dos ith tuy .
42:5:025:0	Ac yn y man y cyuodes y vynydd rhac y bron wy , ac a gymerth i vyny ei vvely yn yr hwn y gorweddei , ac aeth ymaith y’w duy y hun , gan volianny Duw .
42:5:026:0	Ac aruthro a wnaethant oll , a’ molianny Duw , ac wy lanwit o ofn , gan ddywedyt , Can ys gwelsam bethae ancredadwy heddyw .
42:5:027:0	Yn ol y pethe hyn , y ddaeth ef allan , ac y gwelawdd ef Bublican a’ei enw Levi , yn eistedd yn y dollfa , ac y ddyuot wrthaw , Dilyn vi .
42:5:028:0	Ac ef a adawodd oll , a gynodes i uyny , ac y dylynawð ef .
42:5:029:0	Yno y gwnaeth Leui ’wledd vawr iddaw yn y duy y hun , lle yr oedd tyrfa vawr o Bublicanot , ac o ereill , a’r a eisteddent ar y bwrdd y gyd a hwy .
42:5:030:0	Eithyr y sawl o hanynt oedd ’wyr‐llen a’ Pharisaieit murmuro a wnaethant yn erbyn y ddiscipulon ef , gan ddywedyt , Paam y bwytewch ac yr yfwch y gyd a’r Publicanot a’ phechaturieit ?
42:5:031:0	Yno ydd atepawð yr Iesu ac y dyvot wrthynt , Nid raid yr ei iach , wrth veddic , anyd ir ei cleifion ,
42:5:032:0	Ny ddaethym i ’alw yr ei cyfion , anyd pechaturieit i ediveirwch .
