42:11:001:1	Pen . xj .
42:11:002:1	Ef yn dyscu ir discipulon weddio , Ef yn tavlu allan gythreul Ac yn ceryddu y Pharisayeit cablgar . Ef yn gadu y gerenydd ysprydawl yn vwy rhagorawl . Hwy yn erchi argoelon ac arwyddon . Ef yn bwyta y gyd a’r Pharisaieit , ac yn beio ar ffuc sancteiddruyð y Pharysai , y Gwyr‐Llen , ar Hipocriteit .
42:11:001:0	A’ darvu , val yr oeð ef yn gweddiaw mewn nep lle , pan peidiawdd , y dyvot nebun oei ðiscipulō wrthaw , Arglwyð , dysc i ni weddiaw , megis ac y dyscawdd Ioan ei ddisipulon yntef .
42:11:002:0	Ac ef a ðyuot wrthynt , Pan weddioch chvvi , dywedwch , Ein tad yr hwn yw‐ti yn y nefoedd , sancteiddier dy Enw : Dauet dy deyrnas : Gwneler dy ’wyllys ys ef yn y ddaiar megis y mae yn y nef :
42:11:003:0	Ein bara beunyddiol dyrho i ni dros heddyvv :
42:11:004:0	A’ maddae i ni ein pechotae : canys nyni a vaddeuwn i bop dyn sy yn ein dled ni : Ac nac arwein ni i temptation : eythyr rhyddha ni rac drwc .
42:11:005:0	Hefyt , ef a ddyuot wrthynt , Pwy o hanoch a vyð iddaw gar , ac a el attaw am haner nos , ac a ddywait wrthaw , Y car , Moes i mi yn echwyn dair torth .
42:11:006:0	Can ys carvvr i mi a ddaech y ar y ffordd ataf , ac nyd oes genyf ddim y’w ddodi geyr ei vrō :
42:11:007:0	ac ef o ddymywn atepai , ac a ddywedei , Na volesta ddim hanof : y mae ’r drws ynawr yn‐gayad , a’m plant y gyd a mi yn y gwely : ny ’allaf gwnnu ai’ rhoddy yty .
42:11:008:0	Dywedaf wrthych , cyd nas cwnnei ef a’ rroi iddaw , o bleit y vod ef yn gar iddo , eto yn sicr am ei daerdeb , e gyfodei , ac a roei iddaw gynniner a vyddei arno y hesiae .
42:11:009:0	A’ mi a ddywedaf wrthych , Govynnwch , ac ei rhoðir y-chwy : caisiwch , a’ cheffwch : curwch , ac agorir y-chwy .
42:11:010:0	Can ys pop vn a’ ovyn , a dderbyn : a’ hwn a gais , a gaiff : ac i hwn a guro ir a gorir .
42:11:011:0	A’s govyn map vara gan yr vn o hanoch ysy dad , a rydd ef iddo vaen ? ne a’s gofyn ef byscodyn , ai yn lle pyscodyn y rydd ef sarph i ddaw ?
42:11:012:0	Neu a gofyn ef wi , a rydd ef iddo scorpion ?
42:11:013:0	A’s chvvi chwi gan hyny yr ei ych ddrwcion , a vedrwch roi rhoddion da i’ch plant , pa veint mwy y bydd i’ch Tad nefawl roddy yr Yspryt glan ir ei eu govynan yðo ? Yr Euangel y trydydd Sul yn y Grawys .
42:11:014:0	¶ Yno y bwriawdd ef gythrael allan yr hwn oeð yn vut : a gwedy ir cythrael vyn’d allan yr ymadroddawdd y mudan , ac y rhyueddawdd y populoedd ,
42:11:015:0	A’r ei o hanynt , a ddywedesant , Trwy Beelzebub y pennaf o’r cythraelieit y mae ef yn bwrw allan gythraelieit .
42:11:016:0	Ac yr eill er ei brovi ef , a gaisiesant gantaw arwydd o’r nef .
42:11:017:0	Ac ef gan wybot ei meddiliae , a ddyvot wrthynt , Pop teyrnas ’ohanedic oei mewn ehun , a diffaithir , a’ thuy rhanedic yny erbyn ehun a gwympa .
42:11:018:0	Ac ad yw Satā yn rhanedic yn y erbyn ehun , pa wedd y saif y deyrnas ef ? can y chwi ddywedyt vy‐bot yn bwrw allan gythraeliait trwy Beelzebub .
42:11:019:0	Ac a’d yw vi yn bwrw allā gythraulieit trwy Veelzebub trwy bwy y mae eich plāt chwi yn eu bwrw allan ? Am hynny y byddant wy yn varnwyr arnoch .
42:11:020:0	Eithr a’s myvi trwy vys Duw ’sy ’n bwrw allan gythraulieit , diamau ddyvot o deyrnas Duw atoch .
42:11:021:0	Pan ’orchatwo cadarn yn arvawc ei nauadd , cymeint ac a vedd ef , ys y mewn heddwch .
42:11:022:0	Eithyr pan ddel arnaw a vo cadarnach nac ef , a’ ei ’orchfygy , ef ddwc y arnaw ei oll arvae yn yr ei ydd oedd ef yn ymddiriet , ac a ran yr yspail .
42:11:023:0	Yr hwn nid yw gyd a mi , ys ydd im erbyn : a’r hwn ny chascla gyd a mi , goyscary y mae .
42:11:024:0	Pan el yr yspryt aflan allan o ddyn , e rotia rhyt lleodd sychion , gan gaisiaw llonyddwch : a’ pryd na’s caffo , ef a ddywait , Mi ymchwelaf im tuy or lle y daethum allan ,
42:11:025:0	a’ phan ddel , ef ei caiff wedy ’r yscupo a’i drwsiaw .
42:11:026:0	Yno ydd aa ef , ac a gymer gyd ag ef saith yspryt eraill gwaeth nag ef ehun : ac y aant y mewn , ac a drigant ynow , ac velly y byð diweddiat y dyn hwn yn waeth no ei ddechraeat .
42:11:027:0	Ac e ddarvu ac ef yn dywedyt y pethae hyn , rryw wreic o’r tyrva a gyvodes ei lleverydd , ac a ddyvot wrtro , Gwyn ei vyt y groth ath arweddawdd , a’r bronnae a sugnaist .
42:11:028:0	Ac yntef a ddyvot , Ie ychre gwyn ei byt yr ei a glywant ’air Duw , ac ei catwant .
42:11:029:0	A’ gwedy ir populoedd ymdyrru yn‐cyt , y dechreuawdd ef ddywedyt , Cenedl ysceler yw hon : ceisio sygn y maent , ac ny’s rhoir vn yddynt , anyd sign Ionas y Prophwyt .
42:11:030:0	Can ys mal y bu Ionas yn sign ir Niniveit , velly y bydd Map y dyn i’r genetleth hon .
42:11:031:0	Brēhines y Deheu a gyvyt ym‐barn , y gyd a gwyr y genetleth hō , ac y barn wy yn euoc : can ys hi ddaeth o dervynae eithav y ðayar y glywet doethynep Selef , a’ nycha vn mwy na Selef y sy yman .
42:11:032:0	Gwyr Niniue a godant ym‐barn y gyd a’r genetleth hon , ac y barn hi‐yn‐euoc : canys wy a gymersōt etiveirwch wrth precethiat Ionas : a’ nycha vn mwy na Ionas y sy yman .
42:11:033:0	Nyd enyn neb ganwyll a’i dodi yn‐cudd , nac y dan vail : eithyr ar ganwyllbren , val y gallo yr ei a ddel y mywn , weled y llewych .
42:11:034:0	Canwyll y corph yw’r llygat : can hyny pan vo dy lygat yn sympl , yno y mae dy oll corph yn olae : eithr pan vo dy lygat yn ðrwc , yno y bydd dy corph yn dywyl’ .
42:11:035:0	Ystyria gan hyny , rac ir goleuni y sy ynot , vot yn dywyllwch .
42:11:036:0	Wrth hyny a’s dy oll corph vydd golau eb iddo vn ran dywyll , yno byð e golau ol’ , megis gan ith oleuaci cannwyll di a’r discleirdep .
42:11:037:0	Ac val ydd oedd ef yn ymadrodd , yr atolygawdd ryw Pharisai yddaw giniawa y gyd ac ef : ac ef aeth y mywn , ac a eisttddawdd y vwyta .
42:11:038:0	A’ phan welawdd y Pharisai , y rhyveddawdd can nad yn gyntaf yr ymolchesei ef o vlayn ciniaw .
42:11:039:0	A’r Arglwydd a ddyuot wrthaw , Yn ddiau chwchwi ’r Pharisaieit a gerthwch y tu allan ir cwpan , a’r ddescil : a’r tu mywn ywch ’sy yn llawn o drais a drigioni .
42:11:040:0	A ynvytion , anyd yr hwn a wnaeth hyn ’sy oy al’ā , a wnaeth hyn ’sy oddy mewn hefyt ?
42:11:041:0	Can hyny rhowch eleesen o’r pethae ys ydd o y mewn , a’ nycha pop peth oll vydd yn ’lan y chwy .
42:11:042:0	Eithyr gwae chwy chwi y Pharisaieit : can ys‐chvvi degymwch y myntys a’ rut , a’ phop llyseuyn ac ewch dros varn a’ chariat Duw : y pethae hyn a ddylit ei gwnauthur , ac na vaddeuit y llaill .
42:11:043:0	Gwae chvvy chwi ’r Pharisaiait : can ys-cerwch yr eisteddleoedd vchaf yn y Synagogae , a’ chael cyfarch‐gwell yvvch yn y marchnatoedd .
42:11:044:0	Gwae chvvy chwi’r Gwyr‐llē a’r Pharisaieit , hypocriteit , can ys ych bot megis monwenti a’r n’ymðangosant , a’r dynion a’ rodian arnynt , ny wyddan y vvrthynt .
42:11:045:0	Yno yr atepawdd vn o esponwyr y Ddeddyf , ac addyuot wrthaw , Y dyscawdr , can dywedyt hyn ydd wyt in gwarthay nini hefyd .
42:11:046:0	Ac ef a ddynot , Gwae chvvychwi hefyt , esponwyr y Ddeddyf : can y chwi lwythao dynion a’llwythae anhawdd‐ei‐dwyn , a’ chvvitheu ny chyfwrddwch y llwythae ac vn o’ch bysedd .
42:11:047:0	Gwae chvyy chwi : can ych bot yn adailiat monwenti y Prophwyti a’ch tadae y lladdodd wy
42:11:048:0	Diau y testolaethwchvvi ac y cydsynniwch a gweithredoedd eich tadae : can ydydntvvy y lladd wy ac y chwitheu a dailiat y monwenni hwy .
42:11:049:0	Am hynny y dywedei doethinep Duw , Anvonaf atyn Brophwyti , ac Apostolon , ac o hanynt y lladdant ’rei , ac ereill erlidiant ,
42:11:050:0	y’n y bo i ’waet y Prophwyti , a ddinewyt o sailiat y byt , gael ei ’ovyn y gan y genedlaeth hon ,
42:11:051:0	o waet Abel yd waed Zacharias , yr hwn a las yn cyf rwng yr alltar ar Templ : yn ddian y dywedaf wrthych , ei govynnir y gan y genetlaeth hon .
42:11:052:0	Gwae chvvychwi es ponwyr‐y‐Ddeddyf : can ys dducesoch ymaith egoriat y gwybyddiaeth : nyd aethoch y mywn ychunain , a’r ei oedd yn dyuot y mywn , a ’oharðesoch .
