42:22:001:1	Pen . xxij .
42:22:002:1	Bwriad yn erbyn Christ . Wyntwy bwyta ’r Pasc . Gosodedigaeth Swper yr Arglwydd . Hwy yn ymryson pwy vyð mwyaf , ac ef yn ei ceryddu . Ef yn gweddiaw ar y mynyth . Brad Iudas . Wy yn ei ddaly ef , ac yn ei ddwyn i duy yr Archoffeiriat . Petr yn y wadu ef dairgwaith , ac yno yn ediuerhau . Dwyn Christ gar‐bron yr Eisteddvot , ac yntef yn gwneythur ynaw gyffes liosawc .
42:22:001:0	AC ydd oedd gwyl y bara croyw yn agos , yr hon a elwir Pasc .
42:22:002:0	A’r Archoffeiriait ar Gwyr‐llen oedd yn ceisiaw pa wedd y lleðynt ef : o bleit ydd oedd arnynt ofn y bobl .
42:22:003:0	Yno ydd aeth Satan y mewn Iudas , yr hwn a elwit Iscariot , ac y oedd o rif y dauddec .
42:22:004:0	Ac ef aeth ymaith , ac a ymðiddanawdd a’r Archoffeiriait , a’r llywodraethwyr y Templ , pa wedd y gwnai ei vrad ef yddwynt .
42:22:005:0	Ac ydd oedd yn llawen ganthwynt , ac a gytunesont roddy arian iddaw .
42:22:006:0	Ac ef a gytunoð , ac a gaisiawdd amser addas yw vradychy ef yddwynt , yn absen y popul .
42:22:007:0	Yno y daeth y dydd y bara croyw , pan oedd angenrait aberthy’r Pasc .
42:22:008:0	Ac ef a ddanvones Petr ac Ioan , can ddywedyt , Ewch , a pharatowch y ni y Pasc , val y gallom ei vwyta .
42:22:009:0	Ac wy a ddywedesont wrthaw , P’le y myny di ei baratoi ?
42:22:010:0	Ac ef a ðyvot wrthwynt , Nycha , gwedy yd eloch y mewn i’r dinas , y cyfervydd a chwi ddyn , yn dwyn steneit o ddwfr : cynlynwch hwnw ir tuy ydd el y mewn ,
42:22:011:0	a’ dywedwch wrth wr y tuy , Yr Athro a ddywait wrthyt , Pl’e mae’r ystauell lle bwytavwyf vy-Pasc y gyd a’m discipulon ?
42:22:012:0	Ac ef a ddengys ywch ’goruch ystavell vawr wedy’r drwsiaw : ynovv ei paratowch .
42:22:013:0	Yno ydd aethant ac y cawsant mal y dywedesei ef wrthynt , ac wy a paratoesant y Pasc ,
42:22:014:0	A’ gwedy dyvot yr awr , ydd esteddawdd , a’r daudec Apostol gyd ac ef .
42:22:015:0	Yno y dyvot ef wrthynt , Mi a gwbl ðesyfais vwyta’r Pasc hwn gyd a chvvychwi , cyn dioðefwyf .
42:22:016:0	Can ys dywedaf wrthych , na vwytawyf o hano mwy o hyn allan , yd y ny chyflawner yn‐teyrnas Duw .
42:22:017:0	Ac ef a gymerth y cwpan ac a ddiolches , ac a ddyvot , Cymerwch hwn , a rhānwch yn eich plith .
42:22:018:0	Can ys dywedaf wrthych , Nid yfaf o ffrwyth y winwydden , yd y ’n y ddel teyrnas Dduw .
42:22:019:0	Ac ef a gymerth vara , a ’gwedy iddo ddiolvvch , ef ei tores , ac a roddes yddwynt , can ddywedyt , Hwnn yw vy‐corph : yr hwn a roddir trosoch : gwnewch hyn er cof am danaf .
42:22:020:0	Yr vn modd hefyt wedi iddo swpery e gymerth y cwpan , can ddywedyt , Y cwpan hwn yw’r Testament newydd yn vy gwaet , yr hwn a ellyngir y trosoch .
42:22:021:0	Eithyr nycha , llaw hwn am bradycha , ys y gyd a mi ar y vort .
42:22:022:0	Ac yn wir Map y dyn a gerða megisy darparwyt : eithr gwae’r dyn hwnw trwy’r hwn y bradychir ef .
42:22:023:0	Yno y dechraesont ymofyn yn ei plith ehun , pwy o hanwynt vyddei a wnei hyny . Yr Euāgel ar ddydd S . Bartholomeus .
42:22:024:0	Ac e gyvodes ymryson yn eu plith , pwy o hanaðynt a debygit ei vot yn vwyaf .
