42:12:001:1	Pen . xij .
42:12:002:1	Christ yn gorchymyn ymochelyt rac hypocrisi a’ ffuant . Na ddylyem ofny dyn amyn Dew . Cyffessy y Enw ef . Cabl yn erbyn yr Yspryt . Nad elom y
42:12:003:1	*
42:12:004:1	dros
42:12:005:1	tyhwnt in galwedigaeth . Nad ymroddom i chwanoc ’ofal y vuchedd hon , Eithyr i vniondap , eleeseni , gwiliaw , dioddefgarwch , doethinep a’
42:12:006:1	‡
42:12:007:1	cytundep
42:12:008:1	dyvndap .
42:12:001:0	YN y cyfamser , yr ymdyrrawdd ynghyt lliaws aneirif o bopul , y’n yd ymsengynt ar y gylydd : ac y dechreuodd ef ddywedyt wrth ei ddiscipulon yn gyntaf , Ymochelwch rac surdoes y Pharisaiait , yr hwn yw hypocrisi .
42:12:002:0	Can nad oes dim toedic , a’r ny’s didoer : na chuðiedic a’r ny’s daw i wybodaeth .
42:12:003:0	Erwyð paam pa bethe bynac a ðywetsoch yn‐tywyllwch , ei clywir yn y goleuni : a’ hyn a ddywedesoch yn y glust , mewn lleoedd dirgel , a bregethir ar vchaf y tai .
42:12:004:0	A’ dywedaf wrthych vy‐cereint , Nac ofnwch rac yr ei n a laddant y corph , ac wedy hyny eb yddyn gahel gwneuth ’r dim mwy .
42:12:005:0	A’ rhac ddangosafy‐chwy , pwy ’n a ofnwch : ofnwch hwn yr vn gwedy lladdo , ’sy iddo veddiant i vwrw i’r yffern : dioer , y dywedaf wrthych , hwnvv a ofnwch .
42:12:006:0	Any phrynir pempt o darynot‐y‐to er doy fferling , ac eto nid oes vn o hanynt yn angof geir bron Duw ?
42:12:007:0	Ie , ac y mae oll wallt eich pen yn gyfrifedic : nag ofnwch gan hyny : ys ymdelwch mwy no llawer o adarynot yto .
42:12:008:0	Hefyt y dywedaf y‐chwy , Pwy pynac a’m cyffesso i geyr bron dynion , Map y dyn y cyffessa yntef hefyt geyr bron Angelion Duw .
42:12:009:0	A’ hwn a’m gwato i geyr bron dynion , a wedir geyr bron Angelon Duw .
42:12:010:0	A’ phwy pynac a ddywait ’air yn erbyn Map y dyn , ei maddeuir iddaw : eithyr i hwn a gablo yr Yspryt Glan , ny’s maddeuir .
42:12:011:0	A’ phan ich’ dugant ir Synagogae , ac at y llywyawdwyr a’r gwyr‐o‐veddiant , na ovelwch pa vodd , nei pa beth a atepoch , nai pa beth a ddywetoch .
42:12:012:0	Can ys yr Yspryt Glan a’ch dysc yn yr awr hono , pa beth sy rait i chvvi y ddywedyt .
42:12:013:0	Ac vn o’r dyrfa a ddyvot wrthaw , Athro , arch i’m brawd rannu a mi yr etiueddiaeth .
42:12:014:0	Ac ef a ddyuot wrthaw , Y dyn , pwy a’m gesodes i yn vrawdwr , neu yn rhannwr arnoch ?
42:12:015:0	Erwydd paam ef a ddyuot wrthynt Edrychwch ac ymogelwch rac trachwant : can ys cyd bot i ðyn amlder o dda , er hyny nid yw i einioes yn sefyll o nerth ei dda .
42:12:016:0	Ac ef adroddawdd barabol wrthynt , gan ddywedyt , Tir ryw wr goludawc a ffrwythlonawdd yn dda .
42:12:017:0	Ac velly y meddyliawð ynto ehun , can ddywedyt , Beth a wnaf , am nad oes genyf ehengder lle gallwyf ðody veu ffrwythae y gadw ?
42:12:018:0	Ac ef a ddyuot , Hyn a wnaf , mi dynnaf veu yscuporiae i lawr , ac a adailiadaf ’rei mwy , ac yddyn y casclaf veu oll ffrwythae , a’m daon .
