42:2:001:1	Pen ij .
42:2:002:1	Ganedigaeth ac enwaediat Christ . Y dderbyn ef ir Templ . Simeon ac Anna yn prophwyto o honaw . Ei gahel ef ymplith y docttorieit . Ei vvyddtot y dad a’ mam .
42:2:001:0	AC e ddarvu yn y dyddiae hyny , dyuot o ’orchymyn ywrth Augustus Caisar i vot trethy yr oll vyt .
42:2:002:0	( Y trethiat cyntaf hyn a wnaed pan oedd Cyrenius yn llywiawdraethy Syria . )
42:2:003:0	Ac am hyny yð aeth pawp y’w drethu yw ðinas y hū .
42:2:004:0	Ac aeth Ioseph hefyt i vynydd o Galilaea o ddinas Nazaret , i’r Iudaia , i ddinas Dauid , yr hon a elwir Beth‐lechem ( can y vot ef o duy ac o lin Dauid ,
42:2:005:0	yw drethy y gyd a Mair a ddaroeð hi deweddio yn wreic iddo , yr hon oedd yn veichiawc .
42:2:006:0	Ac e vu hefyd , tra vuont vvy yno , ddarvot cyflawni y dyddiac hi , y escor .
42:2:007:0	A’ hi a escorawdd ar hei map cyntaf‐enit , ac y crynoawdd ef mewn cadachae , ac ei dodes ym presep , can nad oedd yddynt le yn y lletuy‐cyffredin .
42:2:008:0	Ac ydd oedd yn y wlat hono vugelydd , yn aros yn-y‐maesydd , ac yn cadw gwylfaē ’rhyd y nos o bleit ei cadw devaid .
42:2:009:0	A’ nycha , Angel yr Arglwydd a ddaeth arnynt a’ gogoniant yr Arglwydd a dywynawdd o ei h’amgylch , ac ofny yn ddirvawr a orugant .
42:2:010:0	Yno y dyvot yr Angel wrthynt , Nad ofnwch : can ys nycha y menagaf ywch’ lewenydd mawr , yr hwn a vydd i’r oll popul :
42:2:011:0	nid amgen no geni y’wch heðyw yn-dinas Dauid , Iachawdur yr hwn yw Christ Arglwydd .
42:2:012:0	A’ hyn a vydd yn arwydd ychwy , Chvvi gewch y maban wedy ’r grynoi mewn cadachae , a’ ei ddodi yn yn y presep .
42:2:013:0	Ac yn ddysymuth ydd oedd y gyd ar Angel liaws o luoedd nefawl yn moli Duw , ac yn dywedyt ,
42:2:014:0	Gogoniant vo y Dduw yn yr vchelion nefoedd , a’ thangneddyf yn y ddaiar , ac i ðynion ewyllys da . Yr Euangel ar ddydd Enwediat Christ
