42:19:001:1	Pen . xix .
42:19:002:1	Am Zacchaius , Y dec darn bath . Christ yn marchogeth i Caerusalem , ac yn wylaw drostei . Ef yn ymlid y marsiaind y maes . Ai ’elynion yn caisiaw y ddifetha ef .
42:19:001:0	A’ Gwedy dyuot yr Iesu y mywn a’ myned trwy Iericho ,
42:19:002:0	wely’wr a elwit ei envv Zacchaius , a hwn oedd ben‐cais‐y deyrnget , a’ goludawc ydoeð .
42:19:003:0	Ac ef a geisiai weled yr Iesu , pwy vn ydoeð , ac ny’s gallai gan y dorfa , cā nad oeð anyd bychan o gorpholeth .
42:19:004:0	Yno y racredawð ef o’r blaen ac a ðringiawð i fficuspren‐gwyllt , y gahel y weled ef : can ys ffordd hono y dawei .
42:19:005:0	A’ phan ddaeth yr Iesu ir lle , yð edrychawdd y vynydd ac ei gweles ef , ac y dyuot wrthaw , Zacchaius , descend ar vrys : can ys heddyw ’mae yn ðir i mi aros yn dy duy di .
42:19:006:0	Yno y descendawdd ef ar ffrwst , ac y derbyniawdd ef yn llawen .
42:19:007:0	A’ phan ei gwelsant vvy oll , murmuro a wnaechant , gan ddywwedyt , vyned o hanaw y letuyaw at ’wr pechaturus .
42:19:008:0	A’ Zacchaius a safawð racddavv , ac a ddyuot wrth yr Arglwydd , Wely , Arglwydd , haner vy‐da a roddaf yn avvr ir tlodion : ac a’s dugym ddim y ar nep trwy hocced , mi ei talaf yn bedwar plyc .
42:19:009:0	A’r Iesu a ðyuot wrthaw , Heddyw y daeth iachydurieth i’r tuy hwn , o herwydd iddo ef ddyuot yn vap i Abraham .
42:19:010:0	Can ys‐daeth Map y dyn y gaisiaw , ac y gadw yr hyn a gollessit .
42:19:011:0	Ac a’n hwy yn clywet y pethae hyn , y paraodd yn dywedyt parabol o bleit ei vot yn gyfagos i Gaerusalem , ac o bleit hefyd ey bot yn tybiet mai eb ohir yr ymddangosei teyrnas Duw .
42:19:012:0	Ef a ddyuot gan hyny , Ryw wr boneddic ai y ymdaith y wlat bell , y dderbyn iddo deyrnas , ac a dauei drachefyn .
42:19:013:0	Ac ef a alwei am ei ddec gwasion , ac a roddes atyn ddec darn o vath , ac a ddyuot wrthynt , Marchnatewch y’n y ddelwyf .
42:19:014:0	Eithyr ei ddinaswyr y caseynt ef , ac a ddanvonesont genadvvri ar y ol ef , gan ddywedyt , Ny vynnwn ni vot hwn yn teyrnasu arnam .
42:19:015:0	Ac e ddarvu , pan adchwelawdd , a’ derbyn ei deyrnas , yno y gorchymynawdd ’alw ei weision ataw , at yr ei y roddesei ei arian , val y cay wybot beth elwesei pop vn .
42:19:016:0	Yno y daeth y cyntaf , gan ðywedyt , Arglwydd , dy darn a elwodd ddec-darn .
42:19:017:0	Ac ef a ddyuot wrthaw , Oi was da : can ys‐buost yn ffyddlawn yn echydigyn , cymer veddiant ar ddec dinas .
42:19:018:0	Ac e ddaeth yr ail , gan ddywedyt , Arglwydd , dy darn a elwodd bemp darn .
42:19:019:0	Ac wrth hwnw y dyuot , A’byð dithe lywiawdr ar ucha pemp dinas .
42:19:020:0	Ac arall a ddaeth , gan ddywedyt , Arglwydd , nycha dy darn , yr hwn oedd genyf wedy ddody y gadvv mewn ffunen .
42:19:021:0	Can ys‐ith ofnais , o bleit dy vot yn wr dirfing : ti gymery i vyny , yr hyn ny ddodeist i lavvr , ac a vedi ’r hyn ny heuaist .
42:19:022:0	Yno y dywedawdd wrthaw , Oth enae dyhun ith varnaf , was drwc . Gwyddyt’ vy‐bot i yn ’wr dirfing yn cymeryd i vyny hyn ny ddodwn i lavvr , ac yn meti hyn ny heuwn .
42:19:023:0	Paam gan hyny na roddyt’ vy arian i’r vord , val y gallwn pan ðelwn , ei gofyn y gyd ac elwant ?
42:19:024:0	Ac ef a ddyuot wrth yr ei a sefynt geyr‐llaw , Dugwch y ganto y ddarn , a’ rhowch i hwn’sy a’r dec darn ganthaw .
42:19:025:0	( A’ hvvytheu a ddywedcsont wrthaw , Arglwydd , y mae ganto ddec darn . )
42:19:026:0	Eb yntef , Can ys dywedaf wrthych , taw i bawp y may gantho , y rhoddir : ac y ar hwn nyd yw gantho , ys yr hyn ’sy ganto , a ddugir o ddyarnaw .
42:19:027:0	A’hefyt vy‐gelynion hyny , a’r ny vynnent deyrnasu o hanof arnaddynt , dugwch yma , a’ lleddwch wy geyr vy‐bron .
42:19:028:0	A’ gwedy y‐ddaw ddywedyt val hyn , ef aeth y ymddaith o’r blaen , gan escend i Gaerusalem .
42:19:029:0	Ac e ddarvu gwedy nessau o hanaw at Bethphage , a’ Bethania , wrtn y mynyth a elwir myn ydd yr olew‐wydd , e ddanvonawdd ddau o ei ddiscipulon ,
42:19:030:0	gan ddywedyt , Ewch i’r dref ’sy gyferbyn a chvvi , ir hon , gwedy y deloch , y ceffwch ebol wedy rwymo , ar yr hwn nyd eisteddawdd dyn erioed : gellwngwch ef , a’ dugwch yma .
42:19:031:0	Ac a’s gofyn neb y chwi , paam y gillwngwch ef , vellhyn y dywedwch wrthaw , O bleit bot ar yr Arglwydd ei eisiae .
42:19:032:0	Yno yr ei a ddanvonit , aethant ymaith , ac a gawsant megis y dywedesei ef wrthwynt .
42:19:033:0	Ac a’n hwy yn gellwng yr ebol , y dywedawdd ei berchenogion wrthynt , Paam y gel’yngwch ’yr ebal ?
42:19:034:0	Ac wy a ddywedesant , Y mae ar yr Arglwydd ey eisiae .
42:19:035:0	Yno y ducesont ef at yr Iesu , ac y bwriesont ei dillat ar yr ebal , ac y dodesont yr Iesu aruchaf .
42:19:036:0	Ac a’n hwy yn myned , y tanent ei dillat ’rhyd y fford .
42:19:037:0	A’ gwedy yddaw ddynesau at ddescenfa mynydd yr olew‐wydd , y dechreawdd oll lliaws y discipulon lawenhau , a’ moly Duw a llef uchel dros yr oll veddiannae a welesynt ,
42:19:038:0	gan ðywedyt Ysgwynvydedic y Brenhin ’sy yn dyuot yn Enw yr Arglwydd : tangneddyf yn y nef , a’ gogoniant yn y lleoedd vchaf .
42:19:039:0	Yno ’r ei o’r Pharisaieit o’r dorfa a ddywedesont wrthaw , Athro , cerydda dy discipulon .
42:19:040:0	Ac ef a atepawdd , ac a ddyuot wrthwynt , Dywedaf y‐chwy , pe’s tawei ir ei‐hyn , ys llefai y’r main . Yr Euangel y x . Sul gwedy Trintot .
42:19:041:0	¶ Ac wedy iddo ddyuot yn agos , ef edrychawð ar y dinas , ac a wylawdd drosdei ,
42:19:042:0	gan ddywedyt A’ phebysei i ti wybot , or lleiaf yn dy ðydd di hwn yma y pethae hyny a perthynant ith dangneddyf , onid yr awrhon wy guddiwyt y wrth dy lygait .
42:19:043:0	Can ys e ddaw ’r dyddiae arnat , ac y bwrw dy ’elynion glawdd yn dy ’ogylch , ac ith amgylchynant , ac ith ’oarchaeant o pop-parth ,
42:19:044:0	ac a’th wnāt yn gyd oystat ar ddaiar , ath plant ’sydd ynot , ac ny adant ynot vaen ar vaen , can na adnabuost amser dy ofwy .
42:19:045:0	Ac ef aeth y mewn ir Templ , ac a ddechreawdd , ddavly allan yr ei ’n oeddent yn yn gwerthy ynthei , a’ rei oedd yn pryny ,
42:19:046:0	can ddoedyt wrthwynt , Escrivenuwyt , Y tuy meu vi yw tuy gweddi , a’ chwi ei gwnethoch yn ’ogof llatron .
42:19:047:0	Ac ydd oedd ef yn eu dyscu beunydd yn y Templ . A’r Archoffeiriait , a’r Gwyr‐llen , a phenaethae ’r popl a geisiesōt y ðifa ef .
42:19:048:0	Ac ny chefynt beth a wnaent iddaw : can ys yr oll popul ymlynent wrthaw , pan glywent ef .
