42:7:001:1	Pen . vij .
42:7:002:1	Ef yn iachau gwas y capten . Ef yn codi map y ’weddw o varw i vyw . Ef yn atep y discipulon a ddanvonesei Ioan Vatyddiwr ato . Ef yn canmol Ioan . Ac yn argyoeddy ’r Iuddaeon dros ei anffyddlondep . Ef yn cydvwyta a’r Pharisaiait . Y ’wreic yn golchi y draet ef a deigrae , ac ef yn maddae hi phechotae .
42:7:001:0	GWedy iðo dervynu ei oll ymadroddion yn clybodigaeth y popul , y ddaeth ef y Capernaum .
42:7:002:0	A’ gwas ryw Gann‐wriat oedd yn glaf ac ar varw , yr hwn oedd annwyl gantaw .
42:7:003:0	A’ phan glypu ef ywrth yr Iesu , yd danvones ef attavv Henaifieit yr Iuddaeon , gan adolwyn iddo ddyvot , ac iachau ei was .
42:7:004:0	Ac wy ddaethan at yr Iesu ac adolwyneson arno yn ddyval , gan ddywedyt , i vot ef yn deilwng y gael ganto ’wneythy’r hyn erddaw .
42:7:005:0	Can ys ef ( eb hvvy ) a garai ein cenetl ni ac yntef a adailiadawdd y ni Synagog .
42:7:006:0	Yno ydd aeth yr Iesu y gyda n wy : an’d ac ef yn awr eb vot yn y‐pell y wrth y tuy , y Cannwriat a ddanvones geraint attavv , gan ddywedyt wrthaw , Arglwydd , na phoena : can nad wyf deilwng y ddyuot o hanot y mewn y dan vy‐cronglwyt .
42:7:007:0	Am hyny ny’m tybiais vyhun yn teilwng y ðyuot atat : eithyr dywait y gair , a’m gwas a iacheir .
42:7:008:0	O bleit minef ’sy ddyn wedy’r osot y dan veddiant , a ’chenyf danaf vilwyr , a’ dywedaf wrth vn , Dos , ac ef a aiff , ac wrth arall , Dyred , ac ef a ddaw , ac wrth vy‐gwas , Gwna hyn , ac ef ei gwna .
42:7:009:0	Pan glypu ’r Iesu y pethe hyn , rhyveðu a oruc wrthaw , a’ throi , a’ dywcdyt wrth y popul , oedd yn ei ganlyn , Dywedaf ychwi , na chefais gymeint ffydd , na ddo yn yr Israel .
42:7:010:0	A’ chwedy ir ei a ddanvonesit , adymchwelyt i’r tuy , vvy gawsāt y gwas a vesei ’n glaf yn iach . Yr Euangel y xvi . Sul gwedy Trintot .
42:7:011:0	Ac e ddarvu dranoeth , bot iddaw vynet i ddinas a elwit Naim a’ llawer o ei ddiscipulon aeth gyd ac ef , a’ thyrva vawr .
42:7:012:0	A’ gwedy iddaw ddawot yn agos at porth y dinas , a’ nycha , y ducit allan vn marw ’sef vn‐map mam , yr hon oedd weddw , a’ llawer o popul y dinas oedd gyd a hi .
42:7:013:0	A’ phan ganvu ’r Arglwydd y hi , e tosturiawð wrthei , ac e ddyvot wrhthei , Nac wyla .
42:7:014:0	Ac ef aeth yn nes ac gyvyrddawdd a’r elawr ( a’r ei oedd yn ei ddwyn , a safesont ) ac ef a ddyvot , Y gvvas ievanc , wrthyt y dywedaf , Cyvot .
42:7:015:0	A’ hwnn a vysei varw , a godes yn ei eistedd , ac a ddechreuodd ddywedyt , ac ef ei rhoddes yw vam .
42:7:016:0	Yno y deuth ofn arnynt oll , ac y rhoddesont ’ogoniant y Dduw , can ddywedyd , E gyfodes Prophwyt mawr yn ein cyfrwng , a’ Duw a ’ovwyawdd ei bopul .
42:7:017:0	Ac aeth y gair yma am danaw ar lled tros ol’ Iudaia a’ thros gwbyl o’r ’wlad o ddyamgylch .
42:7:018:0	A’ discipulon Ioan a vanegesont iddaw am yr oll pethae hyn .
42:7:019:0	Velly Ioan a ’alwodd ataw ðau ryvv rei o ei ddiscipulon , ac ei danvonawdd at yr Iesu , gan ddywedyt , Ai ti yw’r hwn a ddelai , ai arall a ddysgwiliwn ?
42:7:020:0	A’ phan ddaeth y gwyr ataw , y dy wedesont , Ioan Vatyddiwr a’n danvonas atat , gan ddywedyt , Ai ti yw’r hwn a ddelai , ai arall a ddysgwiliwn ?
42:7:021:0	Ac ar y pryd hyny yr iachaodd ef lawerion o ei heintiae a’ phlaë ac y yvvrth yspryton drwc , ac y lawer o ddaillion y rhoddes ef y gwelet .
42:7:022:0	A’r Iesu a atepawdd , ac a ddyuot wrthynt , Ewch ymaith a’ manegwch y Ioan , pa bethae a welsoch , ac a glywsoch : sef bot y daillion yn adgwelet , y cloffion yn rhodio , y gohangleifion yn cael ei glanhau , y byddair yn clywet , y meirw yn adcyfodi , a’r tlodion yn derbyn preceth yr Euangel .
42:7:023:0	A’ gwyn ei vyd y nep ny rwystrer yno vi .
42:7:024:0	A’ gwedy y genadae Ioan , ymadaw , ef a ddechreawdd ðywedyt wrth y dyrfae am Ioan , Pa beth yr aethoch allan i’r diffeithvvch y’vv weled ? Ai corsen yn yscwytvvyt gan ’wynt ?
42:7:025:0	An’d pa beth yr aethoch allan y’vv weled ? Ai gwr wedy ’r ymwisco mewn gwiscoeð esmwythion ? nycha , yr ei ’sy yn mewn dillat trwsiadus , ac mewn moythae , yn‐tai Brenhinoedd y maent .
42:7:026:0	Eithyr pa beth yr aethoch allan y weled ? Ai Prophwyt ? Ie , ys dywedaf wrrhych , a’ mwy na Prophwyt .
42:7:027:0	Hwn yw ef yr escriuenir o hanaw , Nycha , yd anvonaf vy cenad rhac bron d’ wynep , yr hwn a arlwy dy ffordd oth vlaen .
42:7:028:0	Can ys dywedaf wrthych , nad oes Prophwyt mwy nag Ioan , yn‐cyfrwng yr ei a genetlwyt o wrageð : eithyr yr vn lleiaf yn‐teyrnas Dew ys y vwy nag efe .
42:7:029:0	Yno yr oll popul ar oedd yn clybot , a’r publicanot a gyfiawnhasont Duw , yr ei a vetyddiesit a’ betydd Ioan .
42:7:030:0	And y Pharisaiait ac esponwyr y Ddeddyf a dremygesont gygcor Duw yn y herbyn ehunain , ac ny’s batyddiwyt wy ganthaw .
42:7:031:0	A’r Arglwydd a ddyuot , I bwy beth y cyffelypaf ðynion y genetlaeth hon ? ac y ba beth ydd ynt tepic ?
42:7:032:0	Tepic ynt i blant yn eisteð yn y varchnat , ac yn llefain wrth y gylydd , ac yn dywedyt , Ys canesam ychwy bibeu , ac ny ddainsiesoch : Ys cwynvanesam y chwy , ac nyd wylesoch .
42:7:033:0	Can ys‐daeth Ioan Vatyddiwr eb vwyta bara , nag yfet gwin : a’ chvvi ddywedwch , Y mae cythrael gnthaw .
