42:8:001:1	Pen . viij .
42:8:002:1	Christ ef ai ddiscipulon yn myned o dref y dref gan precethu . Y gwragedd yn
42:8:003:1	*
42:8:004:1	cyfranny
42:8:005:1	gweini yddynt aei da . Ef yn manegy parabol yr had . Ef yn manegi pwy yw ei vam , pwy ei dad . Ef yn llonyddy mordwy y merllyn . Ef yn gwared y cythreulic . Y cathraelieit yn myned ir genvaiut moch . Ef yn iachau y wreic claf , a’ merch Iairus .
42:8:001:0	AC e ddarvu yn ol hyny , ys efe aeth trwy bop dinas a’ thref , can precethy ac evāgely teyrnas Duw , a’r dauddec oedd y gyd ac ef .
42:8:002:0	A’ gwragedd rei , a’r a iachaisit o y vvrth ysprytion drwc , a’ gwanderoedd , vegis Mair hon elwit Magdalen , o ba vn yr aethai saith cythrael allā ,
42:8:003:0	ac Ioāna gwraic Chuza goruwchwiliwr Herod , a’ Susanna , a’ llawer eraill o vvragedd yr ei oedd yn gweini iddo o i da y hunain . Yr Euangel ar y Sul Sexagesima
42:8:004:0	¶ A’ gwedy ymgynull llawer o popul ynghyt , a’ chyrchu ataw o pop dinas , y dyvot ef trwy parabol ,
42:8:005:0	Heuwr aeth allan i eheu ei had , ac wrth ehey , peth a syrthiawdd ar emyl y fford , ac a sathrwyt , ac ehediait y nef ei ysodd .
42:8:006:0	A’ pheth arall a syrthiawdd ar y garec , a’ phan eginawdd , y gwywawdd , am nad oedd iddaw wlybwr .
42:8:007:0	Ac arall a syrthiawdd ymysc drain , a’r drain a gytyfawdd , ac ei tagesant .
42:8:008:0	Ac arall a syrthiawdd , ar dir da , ac eginawdd , ac a dduc ffrwyth , ar ei ganvet . Ac val ydd oeð ef yn dywedyt pethae hyn , y llefawdd . Y nep ys y a chlustiae yddo i glywet clywet .
42:8:009:0	A’ ei ddiscipulon a ’ovynnodd iddo , gan ddywedyt , pa ryw barabol oedd hwn ?
42:8:010:0	Ac ef a ddyvot , I chvvy‐chwi y rhoddet gwybot dirgeloedd teyrnas Dduw , anid i eraill trwy parabolae , er yddyn yn gwelet , na welant , ac er yddynt yn clywet , na ddyallant .
42:8:011:0	Hynn y’w r parabol . Yr had , yw gair Duw .
42:8:012:0	A’r ei ar emyl ffordd , ynt yr ei a glywant : yno y daw diavol , ac a ddwc y gair allan oei calonae rac yddyn gredy , a’ bot yn gatwedic .
42:8:013:0	A’r ei ar y garec , yyn yr ei pan glywant , a ddebyniant y gair trwy lawenydd : eithyr ir ei hyn nyd oes gwraidd , yr ei a credant tros amser , ac yn amser prouedigaeth a giliant .
42:8:014:0	A’r hwn y syrthiawð ym‐plith drain , hwy yw’r ei glywsant ac a aethant ymaith , a’ chan ’ovalon a’ golud , a’ bodd buchedd a dagwyt , ac ny dducant ffrwyth .
42:8:015:0	A’ hyn a gvvympavvdd ar y tir da , ynt yr ei mewn calon syber’‐ða , a glywant y gair ac ei catwant , ac a ffrwythant trwy anmynedd .
42:8:016:0	Nyd ennyn neb gannwyll , ac yno y gorchuddiaw hi a llestr , ac ny’s gesyt y dan y vord , eithyr ar y canwyllbren y gosyt , val y bo ir ei a ðel y mywn , ’weled y goleuni .
42:8:017:0	Can nyd oes dim dirgel a’r ny’s gwnair yn amlwc , na dim cuddiedic a’r na’s gwybydder ac na ðaw i’r amlwc .
42:8:018:0	Gwelwch can hyny pa‐ddelw y clywoch : can ys pwy bynac ys y ganthaw , iddo y rhoddir : a’ phwy pynac nyd oes ganthaw , ys yr hyn a dybir vot canthaw , a dducir y arnaw .
42:8:019:0	Yno y daeth ataw y vam a’ ei vroder , ac ny allent ddyuot yn agos ataw gan y dorf .
42:8:020:0	Ac e vanegwyt iddaw , gan ’rei a ddywedynt , Mae dy vam a’th vroder yn sefyll all an , yn ewyllysiaw cael dy weled .
42:8:021:0	Ac ef a atepawdd , ac a ddyuot wrthynt , Y mam i , a’m broder , yw yr ei hyn a glywant ’air Duw , ac ei gweithredant .
42:8:022:0	Ac ys darvu ar ryw ddiernot , ys ef y ddaeth i long y gyd ai ddiscipulon , ac y dyuot wrthynt , Awn ir tu hwnt ir merllyn . A’ mordwyaw rhacddyn a wnaethant .
42:8:023:0	Ac val ydd oeddent yn hwyliaw , yr hunawdd ef , ac a ddescenawdd cavod o wynt ar y merllyn , ac y cyflawnwyt vvy o ddvvfr , ac ei periglwyt .
42:8:024:0	Yno ydd aethant ataw , ac ei diffroesant , gan ddywedyt , Y llywiawdr , y llywiadr , e a’n collet ni . Ac ef a gyfodes , ac a geryddawdd y gwynt a ’thonnae ’r dwfr : a’ vvy peidiesont , a’ hi aeth yn arafhin .
42:8:025:0	Yno y dyuot ef wrthynt , P’le may eich ffydd chvvi ? ac ofny a’ rhyueddy , a’ orugant yn ei cyfrwng , gan ddywedyt , Pwyn ’n yw hwn a ’orchymyu ac ir gwyntoedd a’r dwfr , a’ hwy yn vvyddhau yddo ?
