42:14:001:1	Pen . xiiij .
42:14:002:1	Yr Iesu yn bwyta y gyd ar Pharisaiait . Yn iachau ’olwy’r dwfr ar y Sabbath . Yu dyscu i ni vod y estyngedic a’ gohawdd y tlodion in bord . Ef yn manegi am y
42:14:003:1	14 : 0
42:14:004:1	‡
42:14:005:1	svvper
42:14:006:1	cwynos mawr . Y mae ef yn y rhybyddiaw hwy ymblaenllaw yr ei y dylynant ef am amcanu ei cyfrif o’r blaen beth a gyst yddyn . Halen y ddaiar .
42:14:001:0	AC e ddarvu pan oedd ef wedy myned i tuy vn or pharisaieit pēnaf ar y dydd Sabbath , i vwyta bara hwy y dysgwiliesant ef .
42:14:002:0	A’ nycha , geir i vron ydd oedd ryw ðyn claf or dropsi .
42:14:003:0	Yno ’r Iesu a atepodd , ac a lafarodd wrth y Cyfraithwyr , a’r Pharisaieit , can ddywedyt , Ae rhydd iachay ar y dydd Sabbath ?
42:14:004:0	A’ thewy a wnaethant wy . Yno ef ei cymerth , ac ei iachaoð , ac ei gellyngawdd ymaith ,
42:14:005:0	ac ei atepawdd hwy , gan ðywedyt , Pwy o hanoch a’s ei asin ne i ych a syrth mewn pwll , ac yn y van ny’s tyn ef allan ar y dyð Sabbath ?
42:14:006:0	Ac ny allesant wrthep yddaw am y pethae hynn .
42:14:007:0	Ef a ddyvot hefyt parabol wrth y gohaddwyr pan ddaliawdd val ydd oeddent yn dethawl yr eisteddleoedd vchaf , ac a ddyvot wrthynt ,
42:14:008:0	Pan ith ’ohoddder gan nep i neithior , nag eistedd yn y lle pennaf , rac bot vn anrydeðusach na thi wedi ’ohawdd y canto ,
42:14:009:0	a’ dawot o hwn ath ’ohoddawdd ti ac ef , a’ doedyt wrthyr , Dyro le i hwnn , ac yno dechrae o hanot trwy gywilydd gymeryt y lle isaf .
42:14:010:0	Eithyr pan ith ’ohoddir , dos , ac eistedd yn y lle isaf , y n y bo pan ðel yr hwn ath ’ohaddes , ddywedyt wrthyt , Y car , eistedd yn uwch i vynydd : Yno y bydd clod yt yngwydd yr ein a gydeisteddant a thi .
42:14:011:0	Can ys pwy pynac a ymddercha , ’ostynger , a’ hwnn a ymestwng , a dderchevir .
42:14:012:0	Yno y dyuot hefyt ef wrth hwn y gohaddesei ef , Pan wnelych giniaw nei gwynos , na ’alw dy gereint , n’ath vroder , na’th genedl , n’ath gymydogion goludawc , rac yddynt wy hefyd dy ’ohawdd dithe drachefyn , a’ chael o hanot ad‐talu ’r pvvyth y‐ty .
42:14:013:0	Eithyr pan wnelych ’wledd , galw y tlodion , yr efryddion , yr ei anafus , a’r dailliō ,
42:14:014:0	a’ gwynvydedic vyddy , can na allant ad‐dalu ’r pvvyth y‐ty : can ys ad‐telir y pvvyth y‐ty yn‐cyuodiadigeth yr ei cyfiawn . Yr Euangel yr ail Sul gwedy Trintot .
42:14:015:0	¶ A’ phā glypu vn o’r ei oeð yn eisteð ar y bwrð y pethae hyn , y dyuot wrthaw , Ys gwynvydedic yr hwn a vwyty vara yn‐teyrnas Duw .
42:14:016:0	Yno y dyuot ef wrthaw , Ydd oedd gwr a wnai gwynos mawr , ac ’ohaddawdd laweroedd ,
42:14:017:0	ac a ddanvones ey was bryd cwynos , y ddywedyt wrth yr ei gohawddedic , Dewch : can ys bot ys awrhon pop peth oll yn parot .
42:14:018:0	A’ hvvythe oll o vn‐vryd a ddechreusont ymescusodi : Y cyntaf a ddyuot wrthaw , Mi brynais dyddyn , ac mae’n angenrhait i mi vyn’d allan a’ gweled hwnw : atolwc y‐ty , cymer vi yn escusodol .
42:14:019:0	Ac arall a ddyuot , Mi brynais bemp iau o ychen , ac yddwyf yn myn’d i brovio y ’rhe’ini : adolwc y‐ty , cymer vi yn escusedic .
42:14:020:0	Ac arall a’ ddyuot , Mi briodas wraic , ac am hyny ny allaf i ddyuot .
42:14:021:0	Ac velly yr adymchwelawð y gwas hwnw , ac y menagawdd y’w arglwydd y pethae hynn . Yno y digiawdd gwr y tuy , ac y dyuot wrth y gwas , Dos allan ar ffrwst , ir heolydd ar gwigoedd y dinas , a’ dwc y mewn yma y tlodion , a’r efryddon , a’r anafuson , a’r daillion .
42:14:022:0	A’r gwas a ddyuot , Arglwyð , e ðarvu val y gorchmynaist , ac eto y mae lle .
42:14:023:0	Yno y dyuot yr arglwyð wrth y gwas , Dos allan ir prifffyrdd a’r caeae , a’ chympell wy y ddyuot y mywn , yn y lawnwer vy‐tuy .
42:14:024:0	Can ys‐dywedaf wrthych na bydd ir vn a’r gwyr hyny a ’ohawddwyt chwaythy dim om cwynos i .
42:14:025:0	Ac ydd oedd torfae mowrion yn myned y gyd ac ef , ac ef a droes ac a ddyuot wrthynt ,
42:14:026:0	A’s daw nebun at y‐vi , ac eb gasau ei dat , a’ y vam , a’ y wreic a’ y blant , a ’broder a’ chwioredd : ac eto y enaid e hun hefyt , ny ddychon ef vot yn ddiscipul i mi .
42:14:027:0	A’ phwy bynac ny ddwc ei groc a’ dyuot ar vyol , ny ddygon ef vot yn ddiscipul i mi .
42:14:028:0	Can ys pwy o hanoch a vei ar vedr adailiadtwr , nid eistedd yn gyntaf , a’ chyffrif y draul , a oes ganthaw ddigon y’vv ’orphen ,
42:14:029:0	rac gwedy darvot iddo ’osot y sail , ac ef eb vot yn able y’w ’orphen , dechreu o bawp oll aei hedrycho , y watwar ef ,
42:14:030:0	gan ddywedyt , E ddechreuawð y gwr hwn adailiat , ac nyd oedd e abl y ’orphen ?
42:14:031:0	Neu pa Vrenhin yn myned i wneuthu rhyvel yn erbyn Brenhin arall , nid eistedd i law ’r yn gyntaf , ac ymgygcori , a vydd ef abl a dec mil , y gyfwrdd a hwn ’s’yn dyuot yn y erbyn ef ac vcain‐mil ?
42:14:032:0	Neu tra vo yntef ym‐pell y wrthaw , ef a ddenvyn gennadwri , ac a ddeisyf arno amodeu tangneddyf .
42:14:033:0	Velly yr vn moð , pwy pynac o hanoch , nyd ymwrthoto ac chymeint oll ar a vedd , ny aill ef vot yn ddiscipul i mi .
42:14:034:0	Da yw ’r halen , eithyr a diflasa’r halen , a pha beth yr helltir ef ?
42:14:035:0	Nyd yw ef wrteithus nac i dir , nac i domen , and ei davlu allan a wnant . Hwn ’sy iddaw glustiae i glybot clywet .
