42:24:001:1	Pen . xxiiij .
42:24:002:1	Y gwragedd yn dyuot i’r bedd . Christ yn ymddangos ir ddau ddiscipul a aent tu ac Emmaus . Ef yn sefyll ym‐cenol ei ddiscipulon , ac yn agori y dyall hwy ar yr Scrythur ’lan . Ef yn roi gorchymyn yddynt . Ef yn escen ir nef . Ei ddiscipulon yn y addoli ef . Ac am ei gwaith beunyddol .
42:24:001:0	YN awr yn y dydd cyntaf o’r wythnos ar y cynddydd , y daethant ir vonwent , gan ddwyn yr aroglae , yr ei a arlwyesent wy , a’ gvvragedd ’r ei y gyd a’ hwy .
42:24:002:0	Ac vvy a gawsant y maen wedy’r dreiglo ymaith ywrth y vonwent ,
42:24:003:0	ac aethant y mywn , ac ny chawsant gorph yr Arglwydd Iesu .
42:24:004:0	Ac e ddarvu , ac wynt mewn irdang gan hyn , wely ddau wr yn ddysymwth a sefent wrth‐ynt mewn gwiscoedd dysclaer .
42:24:005:0	Ac val ydd oeddent yn ofni , ac yn gestwng ei hwynebae tu ar ddaiar , y dywedesont wrth‐wynt , Paam y ceisiwch y byw , ym‐plith y meirw ?
42:24:006:0	Nid yw ef yman , eithyr e gyfodes : cofiwch pa ddelw y dyuot ef wrthych , pan oedd ef etvvo yn‐Galilaia ,
42:24:007:0	gan ddywedyt , davv y bydd dir rhoðy Map y dyn yn‐dwylo dynion pechaturus , a’ ei chael grogi , a’r trydydd dyð at cyuodi .
42:24:008:0	A’ hwy a gofiesont y ’airiae ef ,
42:24:009:0	ac a ymchwelesont y wrth y vonwent , ac a vanegesont y pethe hyn oll i’r vn ar ðec , ac ir relyw oll .
42:24:010:0	A’ Mair Magdalen , a’ Ioanna , a’ Mair mam Iaco a’ gvvragedd ereill y gyd ac wynt , oedd yr ei a ddywedesont y pethe hyn wrth yr Apostolon .
42:24:011:0	Eithr ganthynt y gwelit y geiriae hwy , vegis ffugiant , ac ny chredesont y‐ddynt .
42:24:012:0	Yno y cyuodes Petr , ac y rhedawdd i’r vonwent , ac edrychawð y mywn , ac a welawdd y llenllieniae wedy ei dodi yno wrthyn yhunain , ac ef aeth ymaith gan ryveddu ryngtho ac y hun gan y peth a ddarvesei . Yr Euāgel ar ddie Llun Pasc .
42:24:013:0	¶ A’ nycha ddau or discipulon oeð yn mynet y dref yr hon oedd o ywrth Gaerusalem triugain stad a’ i h’ enw Emmaus .
42:24:014:0	Ac wy a ymchwedleynt wrth ei gylyd am yr oll pethae a wneuthesit .
42:24:015:0	Ac e ddarvu , ac wynt yn cyd ymddiddan , ac yn ymðadlae , bot i’r Iesu yntef nesay , a’ myned gyd
42:24:016:0	ac wynt eithyr y l’ygait wy a atdaliwyt val nad adwaenēt ef .
42:24:017:0	Ac ef a ddyvot wrthwynt , Paryw ymadroddion yw’r ei hyn ’sydd genwch wrth y gylydd dan rodio a phaam ydd ych , yn dristion ?
42:24:018:0	Ac vn ( ai enw Cleopas ) a atepawdd ac a ddyvot wrthaw , A wyt ti yn vnic yn ddiethr yn Caerusalem , ac ny wyddost y pethae a darvu y dyddiae hyn ?
42:24:019:0	Ae ef a ddyvot wrthwynt , Pa pethae ? Ac wy a dywedesant wrthaw , Am Iesu o Nazaret , yr hwn oeð Prophwyt , yn alluawc yn‐gweithret ac yn‐gair geyr bron Duw , a’r oll popul ,
42:24:020:0	a’ pha vodd y darvu ir Archoffeiraiait a’n llywyawdwyr i roði ef i varn angae , a’ ei groci .
42:24:021:0	Anid ydd oeddem ni yn gobeithiaw mae ef oedd hwnn a ddelei i bryuu ’r Israel , ac am yr oll pethae hynn , heddyw yw’r trydydd dydd er pan ddarvuant .
42:24:022:0	A’ hefyt’r ei o’r gwragedd o’n plith a yrrodd vraw arnam , yr ei ddeuthant yn vorae ir vonwent .
42:24:023:0	A’ phryd na chawsāt y gorph ef , wy a ddaethant gan ddywedyt , welet o hanwynt wythae weledigaeth o Angelion , yr ei a ddywedynt y vot ef yn vyw .
42:24:024:0	Can hyny yr aeth cyfran o’r ei oeddynt gyd nyni ir vonwent , ac a gawsāt yn y moð y dywedesei ’r gwrageð , anid ef ny’s gwelsant .
42:24:025:0	Yno y dyvot ef wrthynt , chvvychvvy ynvydion a’ hwyrvrydic calon i gredy yr oll pethae a dyvot y Prophwyti ,
42:24:026:0	a nyd oedd rait i Christ ddyoddef y pethae hynn , a’ myned y’w ’ogoniant ?
42:24:027:0	Ac ef a ddechreawdd o Voysen a’r oll Prophwyti , ac a esponiawð yddwynt yn yr oll Scrythyrae y pethae oedd yn escrivenedic am danaw .
42:24:028:0	Ac yð oeddent yn nesay at y dref , lle ydd oeddent yn myned , ac ef a gymerth arnaw vynet ym‐pellach .
42:24:029:0	Eithyr wy a ei cympellesont ef , can ddywedyt , Aros gyd a ni : can ys y mae hi yn hwyrhay , a’r dydd wedy cerddet . Ac ef aeth y mewn y aros gyd ac wynt .
42:24:030:0	Ac e ddarvu , val ydd oedd ef yn eistedd ar y bwrð gyd ac wynt , e gymerth y bara , ac a ddiolchawð , ac ei torawdd , ac ei rhoes yddwynt .
42:24:031:0	Yno ydd egorwyt ei llygait , ac ydd adnabuont ef : an’d ef a divannawdd ymaith , oei golwc .
42:24:032:0	Ac wy a ddywedesont wrthyn ei gylydd , anyd oedd ein calonae yn llosci ynam , tra ytoedd ef yn ymddiddan a ni ar y ffordd , a’ phan oeð e yn agory i ni yr Scrythurae ?
42:24:033:0	Ac wy a gyfodesōt yr awr hono , ac a ymchweleson i Gaerusalem , ac a gawsont yr vn ar ddec wedy ’r ymgynull yn‐cyt , a’r sawl oedd gyd ac wynt ,
42:24:034:0	yr ei a ddywedesant , E gyvodawdd yr Arglwydd yn wir , ac a ymddangosawdd y Simō .
42:24:035:0	Yno y manegesont y pethae a vvnaethesit ar y fforð , a’ ph’odd ydd adnabysent ef ar doriat y bara . Yr Euangel die Mawrth Pasc .
42:24:036:0	¶ Ac val y dywedent y pethae hyn , y safoð yntef yr Iesu yn ei canol , ac y dyuot wrthyn , Tangneddyf ychwy .
42:24:037:0	A braw ac ofn a vu arnynt , gan ddybieit yddwynt weled yspryt .
42:24:038:0	Yno y dyvot ef wrthwynt , Paam ich trallodir ? a’ phaam y mae traws veddyliae yn codi yn eich calonae ?
42:24:039:0	Welwch vy‐dwylo a’m traet , mae myvy yw ef : teimlwch vi , a’ gwelwch : can nad oes i yspryt gnawt ac escyrn , mal y gwelwch vot i mi .
42:24:040:0	Ac wedy iddaw ddywedyt val hyn , e addangosawdd yddwynt ei ddwylo a’ ei draet .
42:24:041:0	Ac wyntwy eto eb gredy gan lawenydd , ac yn rhyveddy , ef a ddyvot wrthwynt , A oes genwch yma ddim or llyniaeth ?
42:24:042:0	Ac wy a roesant ydd‐aw ddryll pyscotyn wedy ’rostiaw , ac o ddil mel ,
42:24:043:0	ac ef ei cymerawdd , ac ei bwytaodd geyr y bron hwy .
42:24:044:0	Ac ef a ddyvot wrthwynt , Ll’yma’r gairiae a ddywedais wrthych , tra oeddwn eto gyd a chwi , nid amgen gorvot cyflawny yr oll pethae a yscrivenwyt am danaf yn‐Deddyf Moysen , ac yn y Prophwyti , a’r Psalme .
42:24:045:0	Yno ydd agores ef y meddwl hwy , modd y dyallent yr Scrythurae ,
42:24:046:0	ac a ddyvot wrthynt , Val hyn yð escrivenwyt , ac val hyn ydd oedd yn rait i Christ ddyoddef , a’ chyvody drachefyn o veirw y trydyð dyð ,
42:24:047:0	a’ bot precethy ediveirwch a’ maddeuant pechatae yn y Enw ef ymplith y Cenetloedd oll , can ddechrae yn‐Caerusalem .
42:24:048:0	Ac ydd yw chwi yn testion o’r pethae hyn .
42:24:049:0	A’ nycha , mi ddanvonaf addewit vy‐Tat arnoch : a’ thrigwch yn‐dinas Caerusalem , y n ych gwiscer a nerth o ddvchelder .
42:24:050:0	Yno ef y duc hwy allan i Bethania , ac ef a gyuodes eu ddwylo , ac y bendithiawdd hwy .
42:24:051:0	Ac e ddarvu , ac ef e yn y bendithiaw , ymadel o hanaw y wrthynt , a’ei ddwyn i vynydd ir nef a wnaeth pwyt .
42:24:052:0	A’ hwy y addolesont ef , ac a ymchwelesont i Caerusalem y gyd llawenydd mawr ,
42:24:053:0	ac oeddent yn ’oystat yn y Templ , yn moli ac yn clodvori Duw , Amen .
