42:15:001:1	Pen . xv .
42:15:002:1	Y Pharisaieit yn grwnach am vot Christ yn derbyn pechaturieit . Trugarogrwyð Duw a espesir yn eglaer yn y ddamec am y can llydn dauat . Llewenydd yn y nef am vn pechatur . Am y map hael-burllawioc , a drauliawdd y cwbyl yn over .
42:15:001:0	YNo ydd oedd yr ol’ Publicanot a’r pechaturieit , yn cyniret ato y wrādaw arnaw .
42:15:002:0	Am hyny murmur a wnaeth y Pharisaiait a’r Gwyr‐llen , can ddywedyt , Ef a adderbyn bechaturieit , ac a vwyty y gyd ac wynt .
42:15:003:0	Yno y dyvot ef y ddamec hon wrthwynt , gan ddywedyt ,
42:15:004:0	Pa ðyn o hanoch a gantho gant o ddeveit , ac a chyll e vn naddwynt , ny ad y namyn vn pemp‐ucain yn y dyffeith , ac a gerdd yn ol yr hon a golles , y’n y chaffo ehi ?
42:15:005:0	A’ gwedy yðaw hi chahel , ef hei gesyt ar ei escwyddae yn llawen .
42:15:006:0	A’ phan ddel e‐dref , ef a ailw ynghyt ei gereint a ei gymydogion , can ddoedyt wrthwynt , Cydlawenhewch a mi , can i mi gahel ve‐davat y gollesit .
42:15:007:0	Mi ddywedaf wrthych , mae velly y bydd llewenydd yn y nef am vn pechatur a ðel ir iavvn yn vvvy nac am amyn vn pemp‐ucain o rei cyfiawn ar nyd rait yðwynt wellay ei buchedd .
42:15:008:0	Ai pa wreic ac yddi ddec dryll o ariant , a chyll hi vn dryll , ni olae gannwyll , ac a escup y tuy , ac a gais yn vanol y ny chaffo ?
42:15:009:0	Ac wedy yddi gahel , hi a ailw am hei charesae a’ chymydogesae , can ddoedyt , Cydlawenhewch a mi : can ys cefeis y dryll a golleswn .
42:15:010:0	Velly , y dywedaf wrthych , y mae llawenydd yn‐gwyð Angelion Duw am vn pechatur yn dyvot‐ir‐iawn .
42:15:011:0	Ef a ddyuot hefyt , Ydd oeddi ryvv wr ddau vap .
42:15:012:0	A’r ieungaf o hanynt a ddyuot wrth y dat , Tad , Dyro i mi y rran o’r da a ddygwydd i mi . Yno y rhannawdd ef yddwynt y vywyt .
42:15:013:0	Velly yn ol ny‐mawr o ddyddiae gwedy , i’r map ieungaf gasclu pop peth oll ynghyd , ef a wnaeth daith i wlat bell , ac yno y goyscarawdd ef ei dda gan vyw yn afradlawn .
42:15:014:0	A’ gwedy yddaw draulio y gyd oll , y codes drudaniaeth mawr trwy ’r vro hono , ac yntef a ddechreuawdd vot arno ddeffic .
42:15:015:0	Yno ydd aeth ef ac a ’lynawð wrth vn o ðinaswyr y wlad hono , ac ef y danvonawdd ef yw vaerdref y bescy moch .
42:15:016:0	Ac ef a chwenychei lenwy ei vola a’r cibe , a ysei ’r moch : ac ny’w roei neb iddaw .
42:15:017:0	Yno y daeth ef ataw y hun ac y dyuot , Pa sawl cyfloc-ðyn gyd a’m tat ’sy yn cahel ei llawn ddigon o vara , a’mynef yn marw o newyn ?
42:15:018:0	Mi a godaf ac af at vy‐tad , ac a ddywedaf wrthaw , Tad , pechais yn erbyn y nef a’ ger dy vrō di
42:15:019:0	ac nid wyf mwyach deilwng im galw yn vap yti : gwna vi val vn o’th gyflog‐ðyniō ,
42:15:020:0	ac ef a gyuodes i vyny ac aeth at ei dat , a’ phā oeð ef yn hir‐bell y vvrthavv , ei dat y canvu ef , a chan drugarhau , ef a redawdd , ac a gwympawð yn y vwnwg ef , ac ei cusanawð
42:15:021:0	A’r map a ddyuot wrthaw , Tad , mi pechais yn erbyn y nef , a’ cher dy vron di , ac nid wyf mwyach deilwng i’m galw er yn vap yty .
42:15:022:0	Yno dywedyt o’r tat wrth ey ’weison , Dygwch allan y wisc orae , a’ gwiscwch am danaw , a’ dodwch vodrwy am ei law , ac escidiae am ei draet ,
42:15:023:0	a’ dugwch y y llo bras , a’ lleddwch , a’ bwytawn a’ byddwn lawen .
42:15:024:0	Can ys hwn vy map a oedd varw , ac ys y vyw drachefn : ac e gollesit , ac ei cahad ef . A’ vvy dechreusont vot yn llawen .
42:15:025:0	Yn hyn ydd oedd ey vab hynaf yn y maes , a’ phan ddaeth ef , a dynesau at y tuy , e glywei gygcanedd a charolae
42:15:026:0	ac a alwodd ar vn o ei ’weision , ac ’ovynnodd pa beth ydoedd y pethe hyny .
42:15:027:0	Ac ef a ddyuot wrthaw , Can ys dy vrawd a ddaeth , a’th dat a laddawð y oll pascedic , can iddo y dderbyn ef yn iach adref .
42:15:028:0	Yno y sorawdd ac nid ai y mewn : am hyny yd aeth ey dat allan ac a dretiawdd ac ef .
42:15:029:0	Ac yntef a atepawdd , ac a ðyuot wrth ei dad , Nycha cynniuer o vlyddynedd ith wasnaethais , ac nyd aythym vn amser dros dy ’orchymyn , ac erioed ny’s roist i mi vynn , val y gallwm wnaethur yn ll awen y gyd a’m cereint .
42:15:030:0	And pan ddaeth dy vap hwn , yr vn a ysawð dy dda y gyd a phutenieit , ys lleddaist yddaw ef y llo pascedic .
42:15:031:0	Ac ef a ddyuot wrthaw , Ha vap ydd yw ti yn oystat y gyd a mi , ac oll meu vi , ’sy daudi .
42:15:032:0	Raid oedd i ni sirio , a’ gwneuthu’d yn‐llawen : can ys marw oedd dy vrawt hwn , a’ byw ydyw , drachefn : ac ef a gollesit , ac ei cahad ef .
