14:29:001:1	Heziikáíyah nant'áá nít'éé'
14:29:001:0	Heziikáíyah naadiin ashdla' binááhaigo nant'áago hahoolzhiizh áádóó Jerúsalemgi nant'áago naadiin náhást'éí nááhai . Bimá éí Abáíjah wolyéego Zekaráíyah yitsi' nilį́ .
14:29:002:1	Heziikáíyah éí kin bii' sohodizin bii' nahadláago ánáyiidlaa
14:29:002:0	Heziikáíyah t'áá ákogi át'éii baa joogáałgo Bóhólníihii hoo'į́ ; hazhé'é David yę́ę áát'įįdii t'áá át'é bik'ehgo ájít'į́ .
14:29:003:0	Áádóó aláahgo nant'áago t'ááłá'í náhááh góne' átsé nídízííd binih Bóhólníihii bikin bii' sohodizin bidáádílkał aa nídazdeeztą́ągo hasht'éédajiidlaa .
14:29:004:0	Áádóó nááda' iiłniihii índa Líívai dine'é éí áłah ájiilaago ha'a'aahjigo haz'ánígi bił áłah dzizlį́į́' .
14:29:005:0	Áko ábijiní , Líívai dine'é nohłíinii , dashíínółts'ą́ą́' , ádadołdéehgo danihizhé'é yę́ę biDiyin God Bóhólníihii bikin bii' sohodizin hodiyingo haz'ą́ągo áńdaahdlééh áádóó t'óó badaa'ihii hodiyingo haz'ą́ą́dę́ę́' ch'ídahohjááh .
14:29:006:0	Háálá danihizhé'é yę́ę doo ákǫ́ǫ́ ádáát'įįdgóó nihiDiyin God Bóhólníihii binááł doo yá'áshóonii yaa nidaaskai áádóó yóó'adeideez'ą́ áádóó yits'ą́ąjį' ádaadzaago doo deiníł'į́į da nít'éé' .
14:29:007:0	Áádóó ałdó' kin bii' sohodizin bidáahjigo chaha'ohgi dáádílkałígíí dáda'deeskaal índa bee dahool'iní deineestsiz áádóó tsin bijeeh dilidgo łikání halchinii nááhániihígíí índa didlidgo nááda'iiniihígíí éí Ízrel dine'é biDiyin God bihodiyin haz'ą́ągi doo náádayiiłniih da nít' éé' .
14:29:008:0	Éí bąą Bóhólníihii t'óó báhádzidgo yee atí'éł'íinii Júdah kéyahdóó dine'é áádóó Jerúsalem kin haal'áádóó dine'é bik'ijį' dahidíyį́ ; éí daoh'į́įgo ach'į' nahwii'ná bik'ee t'óó ił ahayóí índa haa da'oodloh dooleełjį' nihodiiz'ą́ .
14:29:009:0	Éí bąą , jó , danihizhé' é yę́ę diltłish bee nidaaztseed índa nihiye'ké áádóó nihitsi'ké índa nihida'asdzą́ą́ yisnááh ádabi'diilyaa .
14:29:010:0	K'ad Ízrel biDiyin God Bóhólníihii bił ałhadi'deesht'ááł biniyé shíni' áhooshłaa , áko t'óó báhádzidgo báhóóchįįdii nihits'ą́ąjį' nídoodleeł .
14:29:011:0	Shiye'ké , k'ad t'áadoo nida'áhodołziidí , háálá Bóhólníihii binááł nisoozį́įgo bich'į' nidahohłáago tsin bijeeh dilidgo łikání halchinii dadohłidgo bá nidaał'a' doo biniyé nánihiizláá' .
14:29:012:0	Ákohgo Líívai dine'é nídiijéé' : éí Kóhath dine'é Amaséíyai biye' Méíhath , Azaráíyah biye' Jówel áádóó Miirárai dine'é Ábdai biye' Kish , Jeháliilel biye' Azaráíyah áádóó Gérshan dine'é éí Zímah biye' Jó'ah , Jó'ah biye' Ííden ,
14:29:013:0	áádóó Iilízafan dine'é éí Shímrai áádóó Jáíyel índa Éísaf dine'é éí Zekaráíyah índa Matanáíyah ,
14:29:014:0	áádóó Hííman dine'é éí Jáíyel índa Shímiyai , áádóó Jedúthan dine'é éí Shiiméíyah índa Azáíyel nídiijéé' .
14:29:015:0	Áko dabik'isóó áłah ádayiilaago hodiyingo ádadooldee'go yah eekai , áádóó Bóhólníihii yee has'áanii bik'ehgo aláahgo naat'áanii haadzíi'go Bóhólníihii bikin bii' sohodizin hasht'éédahojidlééh biniyé yah ajookai .
14:29:016:0	Áádóó nááda'iiłniihii éí Bóhólníihii bikin bii' sohodizin náwóne'ígóó yah eekaigo hasht'edahoolaa índa t'áá ałtsoní danchǫ́'ígíí Bóhólníihii bikin bii' sohodizindóó tł'óo'di haz'áníjį' ch'ídayiizhjaa' . Áko Líívai dine'é éí Kídran tó nílínígíí yiih dayiiskaad .
14:29:017:0	Áádóó átsé nídízídígíí ła'a jį́į́ góne' dadeeshnish ; tseebíí jį́į́ góne' Bóhólníihii bikin bii' sohodizin yah e'etiiníjį' baa hoolzhiizh , áko tseebíí yiską́ąjį' Bóhólníihii bikin bii' sohodizin dajíísį́į́' áádóó átsé nídízídígíí hastą́'áadah jį́į́ góne' ałtso yindaashnish .
14:29:018:0	Ákohgo aláahgo naat'áanii Heziikáíyah yaa daaskaigo ádeidííniid , Bóhólníihii bikin bii' sohodizin t'áá át'é diyingo ádeiilyaa áádóó didlidgo bikáá' náá'iiniihí bił chodao'ínígíí t'áá bił índa bááh nááhániihii bikáá' niná'niłígíí éí bił chodao'ínígíí t'áá bił diyingo ádeiilyaa .
14:29:019:0	Áádóó ałdó' aláahgo naat'áanii Éíhaz nant'á yę́ędą́ą́' bee haz'áanii k'íiníti'go ásaa' yóó'ayiistł'íidii hasht'edeiilyaago diyingo ats'ádabi'deest'ą́ ; jó , éí Bóhólníihii bibikáá' náá'iiniihí bidáahgi sinil .
14:29:020:0	Ákohgo aláahgo naat'áanii Heziikáíyah abíínídą́ą́' nídii'na'go kin haal'áádóó aląąjį' naazíinii áłah áyiilaago Bóhólníihii bikin bii' sohodizin góde yił haaskai .
14:29:021:0	Áádóó bee óhólnííh índa kin bii' sohodizin bá áádóó Júdah dine'é bá ádił ni'iidzííhjí nááhániihii biniyé t'áá ał'ąą tsosts'id níjaa'go dóola áádóó deenásts'aa' áádóó dibé yázhí índa tł'ízíchǫǫh nidajiizhjaa'go nááda'iiłniihii Éran bits'ą́ą́dóó náás ahoolchíiłii éí Bóhólníihii bibikáá' náá'iiniihí bikáa'jį' náádeidiyoołnih biniyé bich'į' bee hadzoodzíí' .
14:29:022:0	Áko dóola nideistseedgo bidił éí nááda'iiłniihii nídeidiiką́ągo bikáá' náá'iiniihí yik'ídeistah ; t'áá ákót'éego deenásts'aa' índa dibé yázhí t'áá ałkéé' nideistseedgo dabidił bikáá' náá'iiniihí yik'ídeistah .
14:29:023:0	Áádóó tł'ízíchǫǫh ádił ni'iidzííhjí nááhániihii éí aláahgo naat'áanii índa diné t'áá át'é bidáahjį' ch'ídeizh'eezh . Áádóó éí yikáá' dah dadeesnii' .
14:29:024:0	Áko nááda'iiłniihii éí tł'ízíchǫǫh nideistseedgo bidiłígíí yee k'é nídeidoot'įįłii ádayiilaago bikáá' náá'iiniihí bikáá'dóó Ízrel dine'é t'áá ałtso bá k'é náhodoodǫǫł biniyé yá náádayiisnii' , háálá díí didlidgo nááhániihii índa ádił ni'iidzííhjí nááhániihii éí Ízrel dine'é t'áá ałtso bá nááhidoonihgo aláahgo naat'áanii yee haadzíí' .
