14:32:001:1	Senákerib anaa' hasłį́į́'
14:32:001:0	Kódahóót'įįdóó bik'ijį' Heziikáíyah éí ba'ahódlíigo Bóhólníihii yá naal'a'go Asíriya dine'é aláahgo binanit'a'í Senákerib éí Júdah kéyahgi nínáago , Kin hadaas'áii ditą́ągo binída'astł'inígíí yisnááh ádeeshłííł , nízingo yináshzhiizh .
14:32:002:0	Áko Heziikáíyah haa ákoniizį́į'go Senákerib éí Jerúsalem kin haal'á bich'į' nideeshbah jinízingo jiníyáá lá ;
14:32:003:0	naat'áanii danilíinii áádóó diné ayóó ádaat'éii há nidaal'a'í danilíinii yił nayik'íyádaasti'go kin haal'áhídóó tł'óo'di tó hadaazlínígíí yidáda'deestł'ingo háká ííjéé' .
14:32:004:0	Áko diné t'óó ahayóí áłah silį́į'go kéyah bikáá'góó tó hadaazlínígíí áádóó tó danílínígíí t'áá át'é yidáda'deestł'ingo ádaaní , Ha'át'íísh biniyé Asíriya dine'é aláahgo binanit'a'í danilíinii yíkaigo tó t'óó ahayóí yik'ídahakáah dooleeł .
14:32:005:0	Áádóó ałdó' hadziilgo ázhdiilyaago , tsé bee ahéé'ítł'in nideiniiskaadii t'áá át'é hasht'ééjiidlaa , áádóó éí bikáá'dóó yada'iitł'ingo bikáá'dóó ha'alzídí ájiilaa , áádóó tł'óó'dę́ę́' tsé ła' ahéénínáánástł'in , índa David bikin haal'áagi Míllo hoolyéii hasht'ééjiidlaa áádóó bee na'abaahii índa naagé t'óó ahayóigo ádajiilaa .
14:32:006:0	Índa siláo yinanit'a'í danilínígíí éí dine'é yá niinínilgo kin haal'áii yah e'etiinígi atiinjį' diné haa áłah ádayiilaago hada'ólníi doogo bich'į' hadzoodzíi'go ájíní ,
14:32:007:0	Danihidziil áádóó hada'íínółní ; Asíriya dine'é aláahgo binanit'a'í índa siláo t'óó ahayóí bił dah yikahígíí t'áá ałtso t'áadoo béédaałdzidí índa t'áadoo nitsidaahkaaí , háálá nihí nihił hólónígíí éí áájí bił hólónígíí yiláahgo ayóó ánéelą́ą́' .
14:32:008:0	Áájí éí ats'íís t'éí hoł hólǫ́ , nidi nihí éí nihiDiyin God Bóhólníihii nihíká adoolwołgo anaa'gi nihá nidoobah . Áko diné éí Júdah dine'é aláahgo binanit'a'í Heziikáíyah saad hach'į' yee haadzí'ígíí yee hada'oosníí' .
14:32:009:0	Áádóó bik'ijį' Asíriya dine'é aláahgo binanit'a'í Senákerib éí bisiláo t'áá ałtso yił t'ahdii Léíkish kin haal'áii yináshzhiizhgo , Jerúsalem kin haal'áágóó Júdah dine'é aláahgo binanit'a'í Heziikáíyah áádóó Jerúsalemgi Júdah dine'é t'áá ałtso yich'į' bá nidaal'a'í ayííł'a'go ání ,
14:32:010:0	Asíriya dine'é aláahgo binanit'a'í Senákerib kóní , Ha'át'íísh bada'íínóhłíigo Jerúsalemgi ana'í nihináshzhiizhgo nahísóotą́ ?
14:32:011:0	Da' doósh Heziikáíyah nihíni' áháléehgo t'óó dichin índa dibáá' nihidooghą́ą́ł biih ádadi'doohnił yiniyé áníi da , NihiDiyin God Bóhólníihii éí Asíriya dine'é aláahgo binanit'a'í bits'ą́ą́dóó yisdánihidoonił ?
14:32:012:0	Díí Heziikáíyah éí Bóhólníihii bá ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaaígíí índa bibikáá' náá'iiniihí nahjį' kódayiilaa áádóó Júdah dine'é índa Jerúsalem dine'é , T'ááłá'í bikáá' náá'iiniihí bidááhdóó nidahohłá índa tsin bijeeh dilidgo łikání halchinii bikáá' dadohłid , yidííniidgo ání ya' ?
14:32:013:0	Da' shizhé'é yę́ę áádóó shí náánáła' kédaayahgóó ał'ąą dine'é ádeiil'įįdígíísh doo nihił béédahózin da ? Éí kédaayahdóó ał'ąą dine'éésh dabidiyinii t'áá ha'át'éegoda yídaneel'ą́ągo hakédaayah shílák'eedóó háádayoo'nil ?
