14:21:001:1	Jiihóram nant'áá nít'éé'
14:21:001:0	Áko Jiiháshafat dabizhé'é yę́ę da'iiłhaazhígi át'éego ajiiłhaazhgo David yę́ę bikin haal'áagi dahazhé'é yę́ę yóó'ádaalyaaígi yóó'áho'diilyaa . Áko haye' Jiihóram hatsásk'ehgi aláahgo nant'á silį́į́' .
14:21:002:0	Áádóó hak'isóó hólǫ́ , éí Jiiháshafat dabiye' : Azaráíyah , Jiiháíyel , Zekaráíyah , Azaráíyah , Máíkel índa Shefatáíyah daolyé ; díí t'áá át'é Ízrel dine'é aláahgo binanit'a'í Jiiháshafat biye' ádaat'į́ .
14:21:003:0	Béésh łigaii áádóó óola índa naalye'é da'ílíinii ayóó ánéelą́ą'go Júdah kéyahgi kin hadaas'á ditą́ągo binaa ahééda'astł'inígíí t'áá bił hazhé'é hataideez'ą́ą́ nít'éé' , nidi bibee óhólníhígíí éí Jiihóram yeidiní'ą́ , háálá éí átsé yizhchíinii nilį́ .
14:21:004:0	Áko Jiihóram éí bizhé'é yę́ę bibee óhólníihii bee bóhólnííh silį́į'go bidziil í'diilyaago bik'isóó t'áá ałtso áádóó Ízrel dine'é binaat'áanii danilíinii ła' ałdó' diltłish yee neistseed .
14:21:005:0	Jiihóram éí tádiindóó ba' aan naaki binááhaigo aláahgo naat'áanii silį́į́' áádóó nant'áago Jerúsalem kin haal'áagi tseebíí nááhai .
14:21:006:0	Ízrel dine'é aláahgo binanit'a'í danilį́ nít'é'ígíí bik'ehgo t'áá Éíhab ba'áłchíní náás ahoolchíiłii ádaat'į́ yę́ęgi át'éego jiníyá , háálá Éíhab bitsi' éí hwe'asdzą́ą́ nít'éé' . Áko Bóhólníihii binááł doo yá'áshóonii baa nijigháá nít'éé' .
14:21:007:0	Azhą́ ákót'ée nidi , Bóhólníihii éí David yę́ę yił aha'deet'áanii biniinaa hó índa dahaye'ké bá hool'ingo hool'áágóó yee yá nihoní'áanii bik'ehgo ha'áłchíní náás ahoolchíiłii doo áyółdįįh át'ée da .
14:21:008:0	Jiihóram bíídíiską́ą́dóó Íídam dine'é éí Júdah dine'é bee bóhólníihii yich'į' nidaastee'go yits'ą́ąjį' daazlį́į'go aláahgo naat'áanii ádá nideistį́ .
14:21:009:0	Ákohgo Jiihóram éí naat'áanii danilíinii áádóó bitsindaabąąs bijáád naakiígíí yee nidaabaahii t'áá ałtso yił dah diiná , áko tł'ée'go éí nízhdiijée'go Íídam dine'é bisiláo éí hó índa tsindaabąąs bijáád naakiígíí yee nidaabaahii bindanit'a'í bił honáshzhiizhígíí bik'i jiijéé' .
14:21:010:0	Díí jį́į́góó Íídam dine'é éí Júdah dine'é yich'į' nidaastee' . Íídą́ą́' Líbnah dine'é ałdó' hach'į' nidaastee' nít'éé' . Dahazhé'é yę́ę biDiyin God Bóhólníihii yóó'azhdíí'ą́ągo biniinaa ákót'é .
14:21:011:0	Áádóó ałdó' Júdah kéyahgi daadziłgóó ninádahałaah doo biniyé wódah nahaz'ą́ągo ádajiilaa , áko Jerúsalem kin haal'áagi diné kéédahat'ínígíí na'ageh yee tsi'naakaigo ádajiilaa índa Júdah dine'é t'áá ádzaajigo dah yidii'eezh .
14:21:012:0	Áko Diyin God yá halne'ii Iiláíjah hach'į' ak'e'ashchį́įgo ání , David yę́ę biDiyin God Bóhólníihii kóní , Nizhé'é Jiiháshafat yę́ę índa Júdah dine'é aláahgo binanit'a'í Éísa yę́ę t'áadoo bik'ehgo díníyáa da ,
14:21:013:0	nidi Ízrel dine'é aláahgo binanit'a'í danilíinii bik'ehgo yíníyáago Júdah dine'é áádóó Jerúsalemgi kéédahat'ínígíí éí Éíhab ba'áłchíní náás ahoolchíłígíí ałjiłnii danilínígi át'éego ałjiłnii yee ádee nidaa'néego íinilaa , áádóó ałdó' danik'isóó éí nizhé'é yę́ę ba'áłchíní náás ahoolchíłígíí éí niláahgo yá'ádaat'ééh nít'éé' ; éí ałdó' nisíníłtseed ; éí bąą ,
14:21:014:0	jó , ayóó át'éego nahałniih yee Bóhólníihii éí nidine'é áádóó na' áłchíní áádóó nida'asdzą́ą́ índa nee hólónígíí t'áá át'é yee atíidoolííł .
14:21:015:0	Áádóó ni éí t'áá íiyisí nitah hodínóogah , háálá naałniih bee nich'íí' bąąh dahwiidoo'aał ; t'áá ákwíí jį́ bee nich'į' nahwii'náago biniinaa nich'íí' hadoołhęsh .
14:21:016:0	Áko Bóhólníihii éí Filístiya dine'é áádóó Iithiyópiya dine'é bikéyah nahós'a'dóó Árab dine'é éí bádahachį'go Jiihóram yich'į' néidíníiłkaad .
14:21:017:0	Éí Júdah dine'é bikéyah yik'ijį' nídii'náago yaatįįh yikai , áko aláahgo naat'áanii bighan bii'dóó áádóó binaagóó honaalye'é nídayiizláa'go áádóó ałdó' dahaye'ké índa hweda'asdzą́ą́ t'áá ałtso adayiizhjaa'go haye' t'ááłá'í nidi t'áadoo há áádeisįįd da , nidi akéédę́'ígíí Jiihó'ahaz t'éiyá .
14:21:018:0	Díí t'áá ałtso ádaadzaadóó bik'ijį' Bóhólníihii éí naałniih doo nádziihii yee Jiihóram atíyiilaa .
14:21:019:0	Áádóó bik'ijį' naaki nááhai baa hoolzhiizhgo naałniih bee hach'íí' bąąh dahaz'ánígíí biniinaa hach'íí' hááłhęęzhgo t'áá íiyisí hach'į' nahwii'náago dadziztsą́ . Áko hadine'é éí dahazhé'é yę́ę yiyah déédeidiłjah yę́ęgi át'éego t'áadoo há ádayiilaa da .
14:21:020:0	Jiihóram tádiindóó ba'aan naaki binááhaigo aláahgo nant'á silį́į́' áádóó Jerúsalem kin haal'áagi nant'áago tseebíí nááhai ; doo hodi'nidzingóó dashdiiyá , áko aláahgo naat'áanii danilíinii dabitséní'ootséelgi éí t'áadoo yóó'áho'diilyaa da , nidi David yę́ę bikin haal'áagi łeeh ho'dooltį́ .
