14:34:001:1	Josáíyah nant'áá nít'éé'
14:34:001:0	Josáíyah tseebíí binááhaigo nant'á silį́į́' , áádóó nant'áago Jerúsalem kin haal'áagi tádiindóó ba'aan t'ááłá'í nááhai .
14:34:002:1	Josáíyah hasht'ééhoodlaa
14:34:002:0	T'áá ákogi át'éego ájooníiłgo Bóhólníihii binááł nijiyá ; hazhé'é David yę́ę naayáhígi át'éego yigáałgo nish'náájí , doodaii' nishtł'ajígo t'áadoo dah diiyáa da .
14:34:003:0	Áko aláahgo naat'áanii jílį́įgo tseebíí náhááh góne' , t'ah ániid nijigháago hazhé'é David yę́ę biDiyin God hájít'į́įgo hodideeshzhiizh , áádóó naakits'áadah yihah góne' Júdah kéyahgi índa Jerúsalem kin haal'áagi ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaaígíí áádóó asdzání bida'alyaii índa hadahaashk'aazhgo eda'alyaii áádóó dadoolyį́į'go eda'alyaii ádaalyaaígíí nahjį' kódeile'go yaa nídiidzá .
14:34:004:0	Áko t'áá hanááł diyin dabidi'níinii Béíyalim bibikáá' nááda'iiniihí nidayiizti' áádóó wódahdi eda'alyaii naaznilii dayíítséél áádóó asdzání bida'alyaii áádóó hadahaashk'aazhgo eda'alyaii índa eda'alyaii doolyį́į'go ádaalyaa yę́ę nidayiisne'go dizéigo eda'alyaii bich'į' nááda'jiiłniih yę́ę dahajishcháá' bikáá'góó nideisas .
14:34:005:0	Índa bikáá' nááda'iiniihí yikáa'jį' nááda'iiłniihii yę́ę dabits'in deidííłid , áko Júdah kéyahgóó áádóó Jerúsalem kin haal'áagi hasht'ééhojiidlaa .
14:34:006:0	T'áá ákót'éego ałdó' Manáseh dine'é áádóó Íífreiyim dine'é índa Símiyan dine'é bikédaayahgi bikin hadaas'áágóó t'áá Náftalai dine'é bikéyahjį' nidi hasht'ééhojiidlaa .
14:34:003:1	Bee haz'áanii binaaltsoos bik'ídadziskai
14:34:007:0	Áko bikáá' náá'iiniihí áádóó asdzání bida'alyaii índa eda'alyaii yiyíítseedgo dibahgo áyiilaa índa Ízrel dine'é bikéyahgóó t'áá át'éé nít'éé' eda'alyaii t'áá át'é niyiisne'go Jerúsalemgóó nádzá .
14:34:008:0	K'ad Josáíyah nant'áago tseebííts'áadah náhááh góne' kéyah áádóó kin bii' sohodizin yii' hasht'ééhoodlaago Azaláíyah biye' Shéífan áádóó kin haal'áádóó bóhólníhígíí Méíyasíyah índa Jó'ahaz biye' Jó'ah éí naat'áaniishchíín nilíinii éí Bóhólníihii haDiyin God bikin bii' sohodizin hasht'éédeidoodlííł biniyé ajiis'a' .
