14:15:001:1	Éísa łahgo ánáhoodlaa
14:15:001:0	Áko Diyin God biNíłch'i éí Óded biye' Azaráíyah bik'i hoole' .
14:15:002:0	Áko dah diiyáago Éísa yidááh níyá , áko ííłní , Dashíínółts'ą́ą́' , Éísa áádóó Júdah dine'é índa Bénjamin dine'é t'áá ánółtso , Bóhólníihii t'ah bił dahonohłǫ́ǫgo nihił hólǫ́ , áádóó hádaoht'į́įgo bik'ídadoohkah , nidi yóó'ádasidoo'ą́ągo bí ałdó' yóó'anihididoo'ááł .
14:15:003:0	K'ad nízaad nihoolzhiizhgo Ízrel dine'é éí Diyin God t'áá aaníinii t'áágééd yildah áádóó náá'iiłniihii nidí'nóotįįłii ádin índa bee haz'áanii t'áágééd dahináá nít'éé' .
14:15:004:0	Nidi bide ádahoodzaago Ízrel biDiyin God Bóhólníihii hadeintáago yik'ídaaskaigo yich'į' ninákai .
14:15:005:0	Áko t'áá háiida doo hózhǫ́ǫgo ch'íjóya' , doodaii' doo yah anídzódza' le' át'ée da nít'éé' , nidi éí kédaayahgóó kéédahat'ínígíí t'óó báhádzidgo ti'dahojiyoonííh nít'éé' .
14:15:006:0	Índa ła' dine'é náánáła' dine'é ádayoołdįįł , áádóó ła' kin haal'áii náánáła' kin haal'áii tídeiidile' , háálá Diyin God éí ach'į' nahwii'náanii t'áá ałtso yee hade áhósin nít'éé' .
14:15:007:0	Éí bąą danihidziil le' , t'áadoo nihąą ninádahaka'í , háálá nihinaanish bideená nihik'idahozhdoodliił .
14:15:008:0	Áko Éísa díí saadígíí yidiizts'ą́ą́' , éí Diyin God yá halne'ii Óded yee hahaasdzí'ígíí yee ha'oosníí' , áko Júdah dine'é bikéyah áádóó Bénjamin dine'é bikéyahdóó t'áá át'é , índa Dził Íífreiyimgi kin hadaas'áhígíí yisnánídóó doo daaldinii bida'alyaii nahjį' kóyiilaago áádóó Bóhólníihii bikin bii' sohodizin chaha'oh bééniní'ánígíí bidáahgi Bóhólníihii bibikáá' náá'iiniihí hasht'ééyiidlaa .
14:15:009:0	Áko Éísa éí Júdah dine'é áádóó Bénjamin dine'é t'áá ałtso índa Ízrel dine'é bitahdóó Íífreiyim dine'é áádóó Manáseh dine'é índa Símiyan dine'é dabitahdóó ał'ąą dóone'é danilíinii bił áłah ájiilaa , háálá haDiyin God Bóhólníihii hoł hólónígíí dayiiłtsą́ągo t'óó ahayóí hohidiikai .
14:15:010:0	Éísa nant'áago ashdla'áadah náhááh góne' táá' nídízííd binih Jerúsalem kin haal'áagi áłah dzizlį́į́' .
14:15:011:0	T'áá éí bijį́ Bóhólníihii bich'į' náádadziisnii' ; bąąh da'jííghą́ą'go nidajiizhjaa'ígíí ła' , tsosts'idi neeznádiin béégashii índa tsosts'idi mííl dibé ,
14:15:012:0	áádóó dahazhé'é yę́ę biBóhólníihii Diyin God éí hajéí t'áá át'é bee índa hwii' sizíinii t'áá át'é bee hádajit'į́į doo biniyé ahadazdeest'ą́ .
14:15:013:0	Índa t'áá háiida Ízrel dine'é biBóhólníihii Diyin God doo hádaat'íinii nidabi'ditseed doo , éí a'ohgo ádaat'éii , doodaii' ayóó ádaat'éii , diné , doodaii' asdzánída ákódoolnííł .
14:15:014:0	Áádóó Bóhólníihii bich'į' ádee hadahizdeesdzíi'go iinéé' ayóó íits'a'go áádóó dazhdilwoshgo béésh dilní bee í'dílzoołí índa deenásts'aa' bidee' bee í'dílzoołí bee ádazhdííniid .
14:15:015:0	Áko Júdah dine'é t'áá ałtso díí ádee ha'oodzí'ígíí yaa bił nidahoozhǫǫh , háálá bijéí t'áá át'é yee nideideez'ánígíí índa deinízinígíí t'áá át'é yee Diyin God hádaat'į́įgo yik'ídaaskai , áko Bóhólníihii t'áá ałtsodę́ę́' doo haa hwiinít'į́į́góó áhoolaa .
14:15:016:0	Náá'áłdó' aláahgo naat'áanii Éísa bimá Méíyakah éí asdzą́ą́ naat'ááh nilínídóó nahjį' hayííłt'e' , háálá asdzání be'elyaii doo daaldinii bidiyingo áyiilaa , áko éí habe'elyaii Éísa hats'ą́ą́' niyiisne'go yiidííséigo Kídran tó nílínídi yidííłid .
14:15:017:0	Nidi ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaaígíí éí Ízrel kéyahdóó t'áadoo nahjį' kólyaa da ; azhą́ ákót'ée nidi , Éísa bijéí yee t'áá ákwii át'éego bíiníłką́ .
14:15:018:0	Áádóó Bóhólníihii bikin bii' sohodizin góne' yah ajiizhjaa'ii éí bizhé'é yę́ę diyingo niidiyiiz'áanii índa t'áá hó ałdó' diyingo nihizdeez'áanii , éí béésh łigaii áádóó óola índa chodao'íinii át'é .
14:15:019:0	Áko doo da'ahijigą́ą́góó Éísa nant'áago tádiindóó ba'aan ashdla' nááhai .
