14:19:001:1	Diyin God yá halne'ii Jííhu éí Jiiháshafat yideezteh
14:19:001:0	Áko Júdah dine'é aláahgo binanit'a'í Jiiháshafat éí hózhǫ́ǫgo bighangóó Jerúsalem kin haal'áajį' anáádzá .
14:19:002:0	Áádóó Hanéínai biye' Jííhu éí náásgóó áhodoonííł yaa halne'ii bidááh doogááł yiniyé ch'íníyáago aláahgo naat'áanii Jiiháshafat íí łní , Da' doo diyin k'ehgo dahináaniísh bíká anánílwo' áádóó Bóhólníihii deijoołáhígíísh ayóó'ííní'ní ? Éí bąą Bóhólníihii nich'į' hashké dínóodzįįł .
14:19:002:1	Jiiháshafat ádahwée'aahii niinínil
14:19:003:0	Azhą́ ákót'ée nidi , yá'ádaat'éehii bee ánít'éego át'é ; jó , éí kéyah bikáa'gi asdzání eda'alyaii ałtso néishíníłchxǫ' áádóó nijéí bee nidííní'ą́ągo Diyin God hánít'į́ .
14:19:004:0	Áko Jiiháshafat éí Jerúsalem kin haal'áagi kééhat'į́į́ nít'éé' , áádóó dah náádiidzáago Bíyer-shííbadóó níléí Dził Íífreiyim nahós'a'góó diné yitah tádííyáago dabizhé'é yę́ę biDiyin God Bóhólníihii yich'į' nidahałáago áńdayiidlaa .
14:19:005:0	Áádóó kéyahgóó t'áá át'é , Júdah kéyahgi kin hadaas'á binaa ahééda'astł'ingo ádahoolyaaígóó t'áá át'é diné ándahodiyii'aahii niyiiznil ; t'áá kin hadaas'áhígi ákóyiilaa .
14:19:006:0	Áko ándahodii'aahii áyidííniid , Baa nidaahkaígíí doo t'áadoo baa áńda'áhodółt'íní , háálá dine'é éí doo bá ándahodiyoh'aah da , nidi Bóhólníihii bá ándahodiyoh'aah ; bí nihił hólǫ́ǫgo nidahodiyoh'aah .
14:19:007:0	Éí bąą k'ad , Bóhólníihii dadíínóhsin , áádóó hazhó'ó baa nída'áhodółt'į́'ígo baa naahkai , háálá doo ákwii át'éii Bóhólníihii nihiDiyin God doo yee has'ą́ą da , doodaii' ał'ohgo ahaa nitsáhákeesii , doodaii' bee naho'diiniihii doo yee has'ą́ą da .
14:19:008:0	Náá'áłdó' Jiiháshafat éí Jerúsalem kin haal'áagi Líívai dine'é ła' áádóó nááda'iiłniihii ła' índa Ízrel dine'é aląąjį' naazíinii ła' Bóhólníihii yá nidahodiyii'aahii danilį́į dooleeł áádóó Jerúsalemgi saad yee ałch'į' naastee'ii yá yaa nídaat'į́į doo biniyé niinínil .
14:19:009:0	Áko yich'į' haadzíi'go ání , Kót'éego Bóhólníihii dadíínóhsingo áádóó nihada'ahódlíigo índa danihijéí t'áá ákóne' át'éego ádaahníił dooleeł .
14:19:010:0	Áádóó nihik'isóó danilíinii kin hadaas'áágóó kéédahat'ínígíí t'áá ha'át'íhída bá baa náhódóot'įįłgo , éí dił deezgo' ídéét'i'ii , doodaii' bee haz'áanii áádóó bik'eh ó'oo'níiłii , doodaii' yee nihwiiz'áanii áádóó yee nihodiiz'áanii ídéét'i' ; Bóhólníihii bich'į' doo ákǫ́ǫ́ át'éii doo yaa naakai da doo biniyé t'áá bítséedi bee bił dahołne' doo , áko nihí áádóó danihik'isóó bee atí'él'į́ doo nihik'ihwiidooleeł da ; díí kódaoht'į́įgo doo ákǫ́ǫ́ áhát'íinii doo baa naahkai da doo .
14:19:011:0	Shoo , aláahgo náá'iiłniihii Amaráíyah éí baa hwiinít'į́ danilíinii bee bóhólníih doo , áádóó Íshmeiyel biye' Zebadáíyah aláahgo naat'áanii bídadéét'i'ii Júdah dine'é yinanit'a'í nilį́į doo áádóó Líívai dine'é éí nihilą́ąjį' naat'áaniishchíín danilį́į doo . Hada'íínółníigo baa naohkai , áko Bóhólníihii kót'éego yá'át'ééhjí yił hólǫ́ǫ dooleeł .
