14:22:001:1	Eihazáíyah éí Júdah dine'é yinant'áá nít'éé'
14:22:001:0	Jerúsalem kin haal'áhídóó dine'é éí haye' akéédę́'ígíí Eihazáíyah hatsásk'ehgi aláahgo naat'áanii ádayiilaa , háálá siláo Árab dine'é yił ninínáago haye' da'alą́ąjį'ígíí ałtso nideistseed . Áko Júdah dine'é aláahgo binanit'a'í Jiihóram yę́ę biye' Eihazáíyah nant'áá nít'éé' .
14:22:002:0	Eihazáíyah dízdiindóó ba'aan naaki binááhaigo aláahgo naat'áanii silį́į́' , áádóó Jerúsalem kin haal'áagi nant'áago t'ááłá'í nááhai . Bimá éí Athaláíyah wolyéego Ámrai yitsi' nilį́ .
14:22:003:0	Áko ałdó' Éíhab bighandóó danilíinii dayíkaígi át'éego jiníyá , háálá bimá éí doo yá'ádaashóonii ádoolníiłgo yínabiniłtin nít'éé' .
14:22:004:0	Éí bąą doo yá'ádaashóonii baa joogáałgo Bóhólníihii honíł'į́ , t'áá Éíhab bighandóó ádáátįįdígi ájít'į́ , háálá éí hazhé'é yę́ę ádindóó bik'ijį' hodoołchxǫǫłii yee nidahoneeztą́ą́' .
14:22:005:0	Kót'é dadííniidii ałdó' yik'ehgo yigááł , áko Ízrel dine'é aláahgo binanit'a'í Éíhab yę́ę biye' Jiihóram éí Réímath-gíliyad kin haal'áagi Síriya dine'é aláahgo binanit'a'í Házeiyel yich'į' anaa' hodoohłeeł biniyé yił dah dii'áázh nít'éé' . Síriya dine'é bisiláo éí Jóram hadayiisk'eh .
14:22:002:1	Jííhu éí Eihazáíyah yiyiisxį́
14:22:006:0	Áko Jóram k'abi'doolk'ehii nídoodzih biniyé Jézriyel kin haal'áágóó anáádzá ; éí Réímahdi Síriya dine'é aláahgo binanit'a'í Házeiyel bił ahijigą́ą́ nít'éé' . Áko Júdah dine'é aláahgo binanit'a'í Jiihóram biye' Eihazáíyah éí Jézriyeldi Éíhab biye' Jóram daatsaahgo biniinaa ákóyaa yich'į' ííyá .
14:22:007:0	Jóram baazhníyáhígíí biniinaa Eihazáíyah ho'diisyį́ éí Diyin God bik'ehgo ádzaa , háálá jiníyáago Jiihóram bił dashdii'áazhgo Nímshai biye' Jííhu baatįįh jíí'áázh ; éí Éíhab bighandóó náás ahoolchíłígíí íidoołdįįł biniyé Bóhólníihii ak'ah yik'i yayiiziidgo yiyíísį́į́' .
14:22:008:0	Áko nít'éé' Jííhu éí Éíhab ba'áłchíní náás ahoolchíiłii neiłtseedgo , Júdah dine'é naat'áanii danilíinii áádóó Eihazáíyah bik'isóó dabiye' éí Eihazáíyah yá nidaal'a'ígíí yik'íníyáago neistseed .
14:22:003:1	Athaláíyah éí bikáá'dóó nahat'áii aghaideet'ą́
14:22:009:0	Áádóó Jííhu éí Eihazáíyah haintá ; éí Samériya kin haal'áadi na'ádinil'in nít'éé' , áádóó bił ni'deedéelgo Jííhu baa yídlóozgo bi'diisyį́ . Áko yóó'ádayiilaa , háálá ádadííniid , Jó , Jiiháshafat binálí jílį́ ; éí bijéí t'áá át'é bee Bóhólníihii yich'į' cho'ooł'į́į́ nít'éé' , ákondi Eihazáíyah ba'áłchíní náás ahoolchíiłii éí bee óhólníihii yi'oh danéés'ąąd .
14:22:010:0	Nít'éé' Eihazáíyah bimá Athaláíyah biyáázh daaztsą́ągo yaa ákoniizį́į'go dah diiyáago Júdah dine'é aláahgo binanit'a'í yę́ę biye'ké ałtso íísdįįd .
14:22:011:0	Nidi aláahgo naat'áanii bitsi' Jiihoshábiyath , éí Eihazáíyah biye' Jó'ash , aláahgo naat'áanii biye'ké nidaaztseedígíí bitahdóó yił dah dii'áazhgo bí áádóó asdzání baa áhályánígíí nída'iilkáhí góne' náhodees'į́į́' . Kót'éego aláahgo naat'áanii Jiihóram bitsi' Jiihoshábiyath , náá'iiłniihii Jiihóíyada be'asdzą́ą́ nilíinii , Eihazáíyah bideezhí jílį́įgo biniinaa Athaláíyah yits'ąą náhodees'į́į́' , áko t'áadoo hwiisxį́į da .
14:22:012:0	Áko Bóhólníihii bikin bii' sohodizin góne' asdzání haa áhályánígíí bił nahodi'nil'ingo hastą́ą́h nááhai . Áádóó Athaláíyah éí kéyah yii' kéédahat'íinii yinant'áá nít'éé' .
