14:1:001:1	Sálaman éí hódzą́ yíká sodoolzin
14:1:001:0	David biye' Sálaman éí bee bóhólníhígíí t'áá íiyisí bóhólníihgo ábi'diilyaa , áko haBóhólníihii Diyin God hoł hólǫ́ǫgo t'áá íiyisí ayóó át'éii jílį́įgo áhoolaa .
14:1:002:0	Ákohgo Sálaman éí Ízrel dine'é t'áá ałtso , siláo daamííl níjaa'go áádóó siláo neeznádiin níjaa'go yindanit'a'í áádóó ádahwée'aahiida índa Ízrel dine'é t'áá ałtso binanit'a'í danilíinii díidí azhé'é aláahgo bídahólníhígíí yich'į' haadzíí' .
14:1:003:0	Áko Sálaman áádóó áłah ílínígíí t'áá ałtso bił wók'ą́ądi Gíbiyan kin haal'áadi jíkai , háálá Diyin God biníbaal bii' dahozdísinii áadi si'ą́ ; éí Bóhólníihii bá naal'a'í Mózes honoojíidi áyiilaa .
14:1:004:0	Nidi David éí Kírjath-jíyarimdę́ę́' Diyin God bitsits'aa' dílzinii yá hasht'ehoolaaíjį' niiní'ą́ , háálá Jerúsalem kin haal'áagi níbaal niiní'ą́ .
14:1:005:0	Náá'áłdó' Her binálí Biizáliyel éí Yúrai biye' nilíinii bikáá' náá'iiniihí béésh łitsoii yee áyiilaii , éí Bóhólníihii biníbaal bii' hodílzinii bich'éédą́ą'gi si'ą́ . Áko Sálaman índa áłah ílínígíí bił ákǫ́ǫ́ jíkai .
14:1:006:0	Áko Sálaman dah diiyáago bikáá' náá'iiniihí béésh łitsoii bee ályaii si'áníjį' Bóhólníihii binááł hajiyá ; éí níbaal bii' dahozdísiniigi si'ą́ ; ákwii t'ááłáhídi míilgo didlidgo nááhániihii nááyiisnii' .
14:1:007:0	T'áá éí bitł'éé' Diyin God éí Sálaman yich'į' yit' íní í'diilyaago ííłní , T'áá shííníkeedígíí naa dideesh'ááł .
14:1:008:0	Áko Sálaman éí Diyin God ííłní , Shizhé'é David yę́ę t'áá íiyisí ayóó át'éego baa a'ááh nínízingo bitsásk'ehgi nanisht'áago áshiinilaa .
14:1:009:0	Bóhólníihii Diyin God nílíinii , shizhé'é David yę́ę baa dííní'ą́ yę́ę éí k'ad bidziilgo ánílééh , háálá ła' dine'é łeezh nahalingo ayóó ánéelą́ą'go éí aláahgo binanisht'áago áshiinilaa .
14:1:010:0	K'ad bee hódzą́ áádóó ił ééhózin shaa diní'aahgo díí dine'é binááł ch'ínáshdááh áádóó yah anáshdáah doo . Háíyee' díí nidine'é t'áadoo bee néelą́'ígóó yíl'áhígíí yá nihodiyii'aah doo ?
14:1:011:0	Áádóó Diyin God éí Sálaman ííłní , Díí nijéí biyi'di nitsíníkeesgo yódí , at'į́ , ił ídlį́ , doodaii' ni'ana'í nidootsiłgida áádóó nízaadgóó hinínáa dooleełii t'áadoo ádá yííníkeed da , nidi shidine'é bá aláahgo naat'áanii ániishłaaígíí bee bá nahó'áa doo biniyé bee hódzą́ áádóó ił ééhózin ádá yííníkeed ,
14:1:012:0	bee hódzą́ áádóó ił ééhózin éí naa deet'ą́ , áko yódí áádóó at'į́ índa ił ídlį́ naa dideesh'ááł ; éí nítséedi aláahgo naat'áanii danilį́į́ nít'éé' yę́ę t'áadoo ła' ákódaat'éii bee dahazlį́į' da , doo nidi nikéédę́ę́' náánáła'da ákódaat'éii bee hodooleeł da .
14:1:002:1	Sálaman éí łį́į́' áádóó tsinaabąąs bijáád naakiígíí nayiis'nii'
14:1:013:0	Áko Sálaman éí Gíbiyan kin haal'áadi wók'ą́ądi haz'ánídę́ę́' áádóó níbaal bii' dahozdísinii si'ą́ą́dę́ę́' dah nízdiidzáago Jerúsalem kin haal'áajį' nídzídzáago Ízrel dine'é binazhnit'áá nít'éé' .
14:1:014:0	Áádóó Sálaman éí tsindaabąąs bijáád naakiígíí áádóó łį́į́' yee nidaabaahii áłah áyiilaa , áko t'ááłáhídi mííldóó ba'aan dį́įdi neeznádiingo tsindaabąąs bijáád naakiígíí áádóó naakits'áadahdi miilgo łį́į́' yee nidaabaahii , díí éí bá hasht'edahodít'éego kin hadaas'áágóó niyiiznil , áádóó Jerúsalemgi aláahgo naat'áanii binaashiigóó ła' niinínil .
14:1:015:0	Áádóó aláahgo naat'áanii tsé yíl'áhígíigi át'éego Jerúsalem kin haal'áagi béésh łigaii índa óola bee áda'azįįdgo áádóó honíts'aa'gi síkamor naazkaadii yíl'áhígíigi át'éego dilk'is bee áda'azįįdgo áyiilaa .
14:1:016:0	Áko Sálaman éí łį́į́' baa neelkaadígíí éí Ííjip kéyahdę́ę́' áádóó Kwéi hoolyéédę́ę́' shóozt'e' ; aláahgo naat'áanii bá nida'iiłniihígíí Kwéi hoolyéédę́ę́' łį́į́' nideiniiłkaadígíí t'áá bą́ą́h da'ílínígíí bíighahgo nídayíís'nii' .
14:1:017:0	Áádóó Ííjip kéyahdę́ę́' tsinaabąąs bijáád naakiígíí nidahaaznii'ígíí éí t'ááłá'í ní'ánígo hastą́ądi neeznádiin béésh łigaii shékel wolyéii bą́ą́h nida'iizlį́į́' áádóó łį́į́' ałdó' t'ááłá'í nítínígo t'ááłáhídi neeznádiindóó ba'aan ashdladiin bą́ą́h nida'iizlį́į́' ; kót'éego Het dine'é aláahgo binanit'a'í danilíinii índa Síriya dine'é aláahgo binanit'a'í danilíinii t'áá ałtso yich'į' nináádayiis'nii' .
