14:3:001:1	Sálaman éí Bóhólníihii bikin bii' sohodizin áyiilaa
14:3:001:0	Nít'éé' Sálaman éí Jerúsalemdi Dził Moráíyahgi éí hazhé'é David yę́ę Bóhólníihii bich'į' yit'íní í'diilyaaígi David yę́ę éí Jííbas dine'é Órnan habí'íná'ál'isígi hasht'ehoolaaígi ákwii Bóhólníihii bikin bii' sohodizin áyi'niilaa .
14:3:002:0	Áko aláahgo naat'áanii nilį́įgo dį́į́' náhááh góne' naaki nídízííd binih naakigóó yoołkááł góne' kin bii' sohodizin áyi'niilaa .
14:3:003:0	K'ad díí kót'éego éí Bóhólníihii bikin bii' sohodizin ázhdoolíłígíí Sálaman bee nahodi'neestą́ą́' . Áłtséédą́ą́' bí'néél'ąądígíí t'áá éí bik'ehgo náásee'go náhást'édiin ké silá áádóó tádiin ké silá áníłtéél .
14:3:004:0	Kin bidáahjigo chaha'oh béédiní'ánígíí éí náásee'go áníłnézígíí kin naaniigo áníłtélígíí t'áá bił aheeníłtso ; éí tádiin ké silá áníłtso áádóó dego neeznádiindóó ba'aan tseebídiin ké silá ánízah . Biyi'dę́ę'go éí óola t'áá bízhání yik'i niiníłkaad .
14:3:005:0	Índa hodiyingo haz'ání góne' sáípres tsin neheeshjíí' kin bii'dę́ę́' sikaadgo áyiilaago óola yik'íísti' índa bikáa'jį' tsin páam áádóó béésh da'ahólzha'í bik'i naask'ęę'go áyiilaa .
14:3:006:0	Áádóó kin éí tsé da'ílíinii yee nizhónígo neizhch'ąą' . Parvéíyimdę́ę́' óola chooz'įįd .
14:3:007:0	Áko kin bii' sohodizin éí áah sitáán áádóó dáádadilkał bá nidaaz'áhígíí áádóó biyi'dóó daneelkálígíí índa dáádadilkałígíí óola yik'íísti' , áko biyi'dóó daneelkálígíí yik'ijį' diyingo naal'a'í chérab wolyéii bee bik'i nida'ashk'aazhgo áyiilaa .
14:3:008:0	Áádóó ts'ídá aláahgo hodiyingo haz'ánígíí éí náásee'go kin naaniigo t'áá bił aheeníłtso , áko éí tádiin ké silá bíighah áníłtso índa naaniigo tádiin ké silá áníłtéél . Hastą́ądi neeznádiin óola tálent dah adiidlohígíí bíighahgo yik'íísti' .
14:3:009:0	Ił adaalkaałí éí óola shékel wolyéii ashdladiin bíighahgo dah hidédlo' . Áádóó adeídi dahooghanígíí éí bii'dę́ę́' óola bik'ídaasti'go áyiilaa .
14:3:010:0	Áádóó kin ts'ídá aláahgo hodiyingo haz'ání góne' éí chérabim naaki be'elyaago áyiilaago óola yik'íísti' .
14:3:011:0	Áko chérabim bit'a' t'áá ahótą'go tádiin ké silá áníłnééz , ła' chérab bit'a' łahjí tsosts'idóó náá'áłníí' ké silá éí kin neelkálíjį' biní'á . Áádóó łahjígo bit'a'ígíí ałdó' tsosts'idóó náá'áłníí' ké silá éí łahjí chérab bit'a'ígíí bił ahidii'á .
14:3:012:0	Áádóó náánáłahjí chérab bit'a'ígíí tsosts'idóó náá'áłníí' ké silá éí ła' kin neelkálígíí biní'á áádóó łahjíígíí chérab bit'a' bił ahidii'á .
14:3:013:0	Díí chérabim bit'a'ígíí t'áá dį́į'go tádiin ké silá áníłnééz . Áko bikee' yee sizį́įgo ahiníl'į́ .
14:3:002:1	Kin bii' sohodizin bii' Háíram naashnish
14:3:014:0	Áádóó ata'naníbaalígíí éí yá nahalingo dootł'izhígíí áádóó tsídídééh nahalingo łichí'ígíí índa łichxí'ígíí éí áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii bik'ijį' diyingo naal'a'í chérabim wolyéii danízį́įgo bee nidaashch'ąą'go áyiilaa .
14:3:015:0	Índa kin bii' sohodizin bidááhdóó ałdó' naakigo íí'áa dooígíí ashdladiindóó ba'aan naakidóó náá'áłníi'go ké silá áníłnéezgo éí bílátahdi t'áá ał'ąą dah sinilígíí éí tsosts'idóó náá'áłníí' ké silá áníłtso .
14:3:016:0	Áádóó béésh da'ahólzha'í áyiilaaígíí éí íí'áhígíí bílátah dah sinilígíí yąąh niinínil , áádóó pámgrenit wolyéii neeznádiingo be'elyaii áyiilaago béésh da'ahólzha'í yąąh dah deiznil .
14:3:017:0	Áko kin bii' sohodizin bich'éédą́ą'gi nish'náájígo áádóó nishtł'ajígo íí'áhígíí áyiilaa ; nish'náájígoígíí éí Jéíkin yee yiyíízhi' áádóó nishtł'ajígoígíí éí Bó'az yee yiyíízhi' .
