14:20:001:1	Mó'ab dine'é áádóó Áman dine'é bik'eh hodeesdlį́į́'
14:20:001:0	Áádóó ákódaadzaadóó bik'ijį' Mó'ab dine'é áádóó Áman dine'é índa náánáła' dadine'é éí Jiiháshafat yił da'ahidoogą́ą́ł biniyé yich'į' níná .
14:20:002:0	Ákohgo siláo ła' yíkaigo Jiiháshafat yił dahoolne'go ádaaní , Íídamdę́ę́' diné ayóó ánéelą́ą'go tónteel bilááhdę́ę́' nihik'ijį' yinééł ; jó , Házazan-téímer haz'ą́ągi t'áá éí Engíídai hoolyéegi dah yinééł .
14:20:003:0	Nít' éé' Jiiháshafat bił yéé' hazlį́į́' , áko Bóhólníihii hát'į́į doo yiniyé hasht'e'í'diilyaago Júdah dine'é t'áá ałtso bitahgóó doo adą́ą da dooleełgo yaa táhodoolne' .
14:20:004:0	Áko Júdah dine'é ahíikaigo áłah silį́į́' ; Bóhólníihii nihíká anilyeed deididooniił biniyé Júdah kéyahgi t'áá kin hadaas'áádę́ę́' t'áá át'é nidahaaskaigo Bóhólníihii hádaat'į́ .
14:20:005:0	Áádóó Jiiháshafat yiizį'go Júdah dine'é índa Jerúsalem kin haal'áádę́ę́' dine'é áłah silį́'ígíí binááł Bóhólníihii bikin bii' sohodizin bidááhjí ániidgo haz'ánígi sizį́įgo
14:20:006:0	ání , Danihizhé'é biDiyin God Bóhólníihii nílíinii , da' doósh Diyin God yá biyi'di hólóonii nílį́į da ? Áádóó da' doósh ni ał'ąą dine'é bibee ídahólníihii bee nóhólníih da ? Bee adziil índa ayóó át'éii nílák'ee silá , áko doo ła'da nidínóol'ąął da .
14:20:007:0	NihiDiyin God nílíinii , da' doósh díí kéyahgi kéédahat'íinii Ízrel dine'é nidine'é nilíinii binááł ch'ínííníłkaad da , áádóó kéyah éí nik'is Éíbraham ba'áłchíní náás ahoolchíiłii hool'áágóó baa dííní'ą́ą da ?
14:20:008:0	Áádóó ákwii yii' kéédahat'į́į́ nít'éé' , áádóó éí kin bii' sohodizin bii' nízhi' baa ha'niih doo biniyé ádayiilaago ádaaní ,
14:20:009:0	Doo yá'ádaashóonii nihik'ijį' silį́į'go , éí diltłish , doodaii' nihich'į' nahwii'náago , doodaii' naałniih , doodaii' dahodííchįįdgo díí kin bii' sohodizin bidááhdóó áádóó ni nidááhdóó deidiidzįįł , háálá díí kin bii' góne' ni'dójí , áko nihich'į' nidahwii'náago nídaniikąąhgo nihididííts'į́įłgo yisdánihidíínił .
14:20:010:0	Áádóó k'ad , shoo , Áman dine'é áádóó Móab dine'é índa Dził Síyerdóó dine'é nilíinii , Ízrel dine'é éí Ííjip kéyahdę́ę́' náákah yę́ędą́ą́' nideidoołtsiłgo t'áadoo bee ba'dííní'ą́ą da , nidi yik'ee'ąą haakaigo t'áadoo nideistseed da .
14:20:011:0	Shoo , kódíshní , K'éédanihididlééh yiniyé nihich'į' yinééł ; nikéyah áádóó nihíí' dooleełgo nihaa dííní'ánídóó ch'ídanihidínóoł kał .
14:20:012:0	NihiDiyin God nílíinii , doósh nihá baa nídíít'įįł da ? Háálá nihí adziil nihee ádingo díí ayóó át'é nihik'ijį' oonééł ; ádadii'níłígíí doo nihił béédahózin da , nidi ni t'éí nich'į'go dadíníit'į́į́' .
14:20:013:0	Áádóó Júdah dine'é t'áá ałtso Bóhólníihii yidááhdóó deizį' ; dabiyázhí áádóó bida'asdzą́ą́ índa bada'áłchíní yił naazį́ .
