14:36:001:1	Jiihó'ahaz nant'áá nít'éé' áádóó nahjį' háábi'doolt'e'
14:36:001:0	Áádóó Júdah dine'é éí Josáíyah biye' Jiihó'ahaz nídeidiiłtį́įgo Jerúsalem kin haal'áagi bizhé'é yę́ę bitsásk'ehgi aláahgo naat'áanii ádayiilaa .
14:36:002:0	Jiihó'ahaz éí naadiin táá' binááhaigo nant'á silį́į́' , áko Jerúsalemgi nant'áago táá' nídeezid .
14:36:003:0	Áko Ííjip dine'é aláahgo binanit'a'í éí Jerúsalemdi ats'ááhoníłt'e' , áko kéyah éí béésh łigaii tálent wolyéii neeznádiin dah hidiidloh bíighahgo índa óola t'ááłá'í tálent bíighahgo ák'é ninádazhdoodléełgo áhoolaa .
14:36:002:1	Jiihóíyakim nant'áá nít'éé'
14:36:004:0	Áádóó Ííjip dine'é aláahgo binanit'a'í éí Jiihó'ahaz bik'is Iiláíyakim Júdah kéyahgi áádóó Jerúsalemgi aláahgo naat'áanii nilį́įgo áyiilaago Jiihóíyakim éí yee hóózhi' , nidi Nííko éí hak'is Jiihó'ahaz Ííjip kéyahgóó yił ní'áázh .
14:36:005:0	Jiihóíyakim éí naadiin ashdla' binááhaigo aláahgo nant'á silį́į́' , áádóó Jerúsalemgi nant'áago ła'ts'áadah nááhai áádóó biDiyin God Bóhólníihii binááł doo yá'ádaashóonii yaa naayá .
14:36:006:0	Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar éí hach'į' nídiidzáago béésh da'ahólzha'í yee hwe'aztł'ǫ́ǫgo Bábilangóó honílóóz .
14:36:007:0	Nébukadnézzar éí Bóhólníihii bikin bii' sohodizin góne' chodao'íinii ałdó' ła' Bábilan kin haal'áágóó ayiizhjaa'go Bábilandi diyin dabidi'níinii bá hooghan góne' niinínil .
14:36:003:1	Jehóíyakin éí Bábilangóó yisnááh ábi'diilyaa
14:36:008:0	Áko Jiihóíyakim łahjį' yaa naayáhígíí áádóó doo daaldinii yaa naayáhígíí índa bee bik'íhást'ahígíí , jó , éí Ízrel dine'é áádóó Júdah dine'é aláahgo binanit'a'í danilínígíí binaaltsoos bik'inídaháasdzo . Áko biye' Jehóíyakin hatsásk'ehgi nant'áá nít'éé' .
