14:17:001:1	Jiiháshafat bee bóhólnííh dooleełii bidziilgo ályaa
14:17:001:0	Áádóó Éísa hatsásk'ehgi haye' Jiiháshafat aláahgo nant'á silį́į'go Ízrel dine'é yich'į' bidziilgo hasht'ediidzaa .
14:17:002:0	Áko Júdah kéyahgi t'áá át'é kin hadaas'áii ditą́ągo binída'astł'inígóó siláo dah deínéehgo áyiilaa , índa Júdah kéyah áádóó Íífreiyim dine'é bikin hadaas'áhígíí éí Éísa hazhé'é yę́ę yisnánígi siláo niyiiznil .
14:17:003:0	Jiiháshafat éí Bóhólníihii bił hólǫ́ , háálá átséédą́ą́' hazhé'é David yę́ę hinánígi át'éego jiníyá ; Béíyalim éí doo hát'į́į da nít'éé' .
14:17:004:0	Nidi hazhé'é yę́ę biDiyin God Bóhólníihii hájít'į́įgo áádóó bibik'eh ó'oo'níiłii bik'eh hojíł'į́įgo jiníyá ; doo éí Ízrel dine'é ádaat'ínígíí bik'ehgo jiníyáa da .
14:17:005:0	Éí bąą Bóhólníihii éí bee óhólníihii chánah áyiilaago yee hóhoos'níí' , áko Júdah dine'é t'áá ałtso aa doolyéełii Jiiháshafat yaa dayiiznilgo yódí índa bee ił ídlíinii t'óó ahayóí bee hazlį́į́' nít'éé' .
14:17:006:0	Áádóó éí Bóhólníihii bik'ehgo honít'i'jí yaa bił honeeni áádóó ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaaígíí áádóó asdzání bida'alyaii Júdah kéyahdóó nahjį' kóyiilaa .
14:17:007:0	Índa nant'áago táá' náhááh góne' ałdó' bá naat'áanii danilíinii Ben-héíyil áádóó Obadáíyah áádóó Zekaráíyah áádóó Niithániyel índa Maikéíyah éí nida'nitin dooleeł biniyé Júdah dine'é bikin hadaas'áágóó ayiis'a' .
14:17:008:0	Áádóó Líívai dine'é dah deidiił'a' éí Shiiméíyah , Nethanáíyah , Zebadáíyah , Éísahel , Shiimíramath , Jiihánathan , Adonáíjah , Tobáíjah áádóó Tab-adonáíjah , díí éí Líívai dine'é danilį́įgo náá'iiłniihii Iilíshama áádóó Jiihóram yił dayííł'aad .
14:17:009:0	Áko Bóhólníihii bibee haz'áanii naaltsoos bee dahólǫ́ǫgo Júdah dine'é bikin hadaas'áágóó t'áá át'éé nít'éé' diné yitahgóó nida'neeztą́ą́' .
14:17:010:0	Áádóó Júdah dine'é bik'i dinaago bee óhólnííh bił nahaz'ą́ą́góó éí Bóhólníihii béédadzisdzíidgo biniinaa Jiiháshafat t'áadoo bik'i jiijée' da .
14:17:011:0	Nít'éé' Filístiya dine'é aa deidooléełii índa béésh łigaii nehelyéhígíí Jiiháshafat yaa deizhjaa' , índa Árab dine'é éí deenásts'aa' áádóó tł'ízíchǫǫh t'áá ał'ąą tsosts'idi miildóó ba'aan tsosts'idi neeznádiingo haa deineeskaad .
14:17:012:0	Áko Jiiháshafat adeest'įįdgo ts'ídá ayóó át'éii yileeł . Áádóó Júdah kéyahgi kin binída'astł'inígíí áádóó kin hadaas'áii kin bii' nooh nída'achíihii ádayiilaa .
14:17:013:0	Áádóó Júdah kéyahgi kin hadaas'áágóó naanish bee áda'íízįįd índa Jerúsalem kin haal'áagi siláo dahayóii índa dabíiyisii kéédahat'į́ .
14:17:014:0	Áko díí éí dabizhé'é yę́ę bada'áłchíní bik'ehgo dayéélta' : Júdah dine'é bitahdóó siláo míilgo yindanit'a'í : alą́ąjį' siláo binanit'a'í Ádna éí diné dahayóii táadi neeznádiindi mííl yił dah yinééł .
14:17:015:0	Áádóó náábíkéé' góne' éí siláo binanit'a'í Jiihohéínan naakidi neeznádiindóó ba'aan tseebídiindi mííl siláo yił dah yinééł .
14:17:016:0	Náá'ákóne' éí Zíkrai biye' Amasáíyah , éí Bóhólníihii yich'į' ni'ádeet'ánígíí diné dahayóii naakidi neeznádiindi mííl yił dah yinééł .
14:17:017:0	Bénjamin dine'é nilíinii Iiláíyada , éí diné hayóii nilį́ ; éí naakidi neeznádiindi mííl siláo éí k'aa' áádóó naagé nideijaahii yił dah yinééł .
14:17:018:0	Náábíkéédę́ę́' éí Jiihózabad t'ááłáhídi neeznádiindóó ba'aan tseebídiindi mííl siláo dah yinéłígíí yił anaa' yiniyé hasht'edadee'nééh .
14:17:019:0	Díí éí aláahgo naat'áanii yá nidaal'a' ; Júdah kéyahgi t'áá át'éé nít'éé' kin hadaas'á ditą́ągo binaa ahééda'astłinígóó siláo niyiiznilígíí ałdó' aláahgo naat'áanii yá nidaal'a' .
