14:14:001:1	Éísa nant'áá nít'éé'
14:14:001:0	Áko Abáíjah éí dahazhé'é yę́ę da'iiłhaazhígi át'éego ajiiłhaazhgo David yę́ę bikin haal'áhígi yóó'áho'diilyaa , áádóó haye' Éísa hatsásk'ehgi aláahgo nant'á silį́į́' . Áko bíyoołkááł yę́ędą́ą́' kéyahgi hodéezyéelgo neeznáá nááhai .
14:14:002:0	Áádóó Éísa biDiyin God Bóhólníihii binááł yá'ádaat'éehii índa t'áá ákogi át'éii yaa naagháá nít'éé' .
14:14:003:0	Áko diyin dabidi'níinii łahgo ádaat'éii bida'alyaii bibikáá' nááda'iiniihí índa ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaaígíí nahjį' kóyiilaa áádóó eda'alyaii niyiizti' índa asdzání bida'alyaii naazínígíí niyiiztséél .
14:14:004:0	Áádóó Júdah dine'é yich'į' haadzíi'go ííłní , Danihizhé'é yę́ę biDiyin God Bóhólníihii hádaaht'į́ áádóó bibee haz'áanii índa bibik'eh ó'oo'níiłii bik'eh ádanoht'é .
14:14:005:0	Náá'áłdó' Júdah kéyahgi kin hadaas'áádóó t'áá át'é eda'alyaii índa ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaaígíí nahjį' kóyiilaa , áádóó aláahgo bee óhólníihgo bił haz'ą́ągi hoł hodéezyéelgo hoo'a' .
14:14:006:0	Áádóó Júdah kéyahgi kin hadaas'á ditą́ągo binaa ahééda'astł'ingo ádayiilaa , háálá kéyahgi háádajilyį́į́h nít'éé' ; éí deíháhígíí biyi' doo anaa' hólǫ́ǫ da nít'éé' ; jó , Bóhólníihii háázhdooyįhgo haidiní'ą́ .
14:14:007:0	Éí bąą Júdah dine'é áyidííniid , Kéyah t'ah kǫ́ǫ́ hólónídą́ą́' , haa'íshą' kin hadaas'áii éí ditą́ągo binaagóó ahééda'astł'inii áádóó yada'iitł'inii áádóó dáń'dadilkałii índa bich'ą́ą́h dah nída'atį́įhii bee hólǫ́ǫgo ádadiilnííł , háálá Bóhólníihii nihiDiyin God hádeiit'į́įgo t'áá ałtsojį' háá'dooyįh nihaidiní'ą́ . Kót'éego dahasbį' áádóó náás dadi'yeesdéél .
14:14:008:0	Áko Éísa éí Júdah dine'é bisiláo táadi neeznádiindi míilgo bee hólǫ́ ; éí naagé áádóó tsiidétáán nideijaah , áádóó Bénjamin dine'é naakidi neeznádiindóó ba'aan tseebídiindi míilgo siláo éí naagé índa k'aa' nideijaah , áko díí t'áá ałtso diné dahayóii danilį́ .
14:14:009:0	Iithiyópiya dine'é Zíírah wolyéii éí t'ááłáhídi mííltsoh siláo áádóó táadi neeznádiingo tsindaabąąs bijáád naakiígíí yee hach'į' nídiibaa'go Marííshahjį' níná .
14:14:010:0	Ákohgo Éísa ákǫ́ǫ́ yich'į' ch'íníná , áko Marííshahgi Zéfathah honíts'aa'ígi yich'į' anaa' biniyé ni'ahí'nil .
14:14:011:0	Áko Éísa biDiyin God Bóhólníihii yich'į' ádííniidgo ání , Bóhólníihii nílíinii , dabidziilii , doodaii' doo dabidziilii bíká adíílwołgi doo nániłdzil da ; nihíká anilyeed , Bóhólníihii nihiDiyin God nílíinii , naa dadzííníidlí , índa díí ayóó ázhnéelą́'ígíí nízhi' bee bik' ijį' niniikai , Bóhólníihii nílíinii , ni éí nihiDiyin God nílį́ ; t'ááká diné ła' nik'eh dódle' yíila' .
14:14:012:0	Kót'éego Éísa áádóó Júdah dine'é dabinááł Bóhólníihii éí Iithiyópiya dine'é yik'eh deesdlį́į'go Iithiyópiya dine'é adahineezhchą́ą́' .
14:14:013:0	Áko Éísa áádóó bisiláo yił naakaígíí níléí Gíírar kin haal'áajį' yikéé' deíjeehgo , áko Iithiyópiya dine'é bisiláo t'óó ahayóí ch'ééh ádáát'įįdgo naaztseed , háálá Bóhólníihii áádóó bisiláo ałtso hak'eh dadeesdlį́į́' áádóó yisnááh bąąh da'oogą́'ígíí t'óó ahayóí adayiizyį́ .
14:14:014:0	Áádóó Gíírar kéyah nahós'a' binaagóó kin hadaas'áhígíí t'áá át'é atídayiilaa , háálá Bóhólníihii yik'ee bił yéé' dahazlį́į́' áádóó kin hadaas'áágóó t'áá át'é adayiizyį́ , háálá yisnááh t'áá íiyisí t'óó ahayóí .
14:14:015:0	Áádóó ałdó' da'alį́į́' dah deinéełkaadii dabiníbaal atídayiilaago dibé índa ghą́ą́'ask'idii t'óó ahayóí adeineeskaadgo Jerúsalem kin haal'áágóó anídahaaskai .
