14:6:001:1	Kin bii' sohodizin diyingo nideet'ą́
14:6:001:0	Ákohgo Sálaman haadzíi'go ání , Bóhólníihii kóní , K'os diłhił bii' honishłǫ́ǫ doo .
14:6:002:0	Nidi kin bii' kééhót'į́į dooleełii ná áshłaa ; éí bii' hool'áágóó honílǫ́ǫ doo .
14:6:003:0	Áko aláahgo naat'áanii náhaayáago Ízrel dine'é áłah nilínígíí t'áá ałtso naazį́įgo yik'idzisdli' .
14:6:004:0	Áádóó ání , Ízrel dine'é biBóhólníihii Diyin God baa ha'niih le' ; éí shizhé'é David yę́ę yich'į' haadzíi'ii ła' yiyiilaago kóní ,
14:6:005:0	Shidine'é Ííjip kéyahdę́ę́' ch'íní'eezh bijį́į́dóó kin haal'áagi Ízrel dine'é bitahgi doo ła' kin bii' sohodizinii shá íidoolíiłgo ákwii shízhi' baa ha'niih doo biniyé bik'i diishnii' da , doodaii' doo ła' shidine'é Ízrel binazhnit'áa doo biniyé náhodiiłtį́į da .
14:6:006:0	Nidi Jerúsalem kin haal'áii éí náhodii'ą́ ; ákwii shízhi' baa ha'niih doo biniyé áádóó David éí shidine'é Ízrel yinant'áa doo biniyé nídiiłtį́ .
14:6:007:0	Áko shizhé'é David yę́ę díí bíni' nilį́į́ nít'éé' ; éí kin bii' sohodizin ádoolníiłgo bii' Ízrel dine'é biBóhólníihii Diyin God bízhi' baa ha'niih doo , nízin nít'éé' .
14:6:008:0	Nidi Bóhólníihii éí shizhé'é David yę́ę áyidííniid ni' , Kin bii' sohodizin ádíílíiłgo bii' shízhi' baa ha'niih dooígíí níni' nilį́į́ nít'é'ígíí éí yá'át'éhígi át'éego baa nitsísíníkééz .
14:6:009:0	Azhą́ ákót'ée nidi , ni éí doo kin shá ádíílíił da , nidi niye' t'áá ni ná yizhchínígíí éí kin íidoolíiłgo bii' shízhi' baa ha'niih doo , níi ni' .
14:6:010:0	Áko Bóhólníihii yee haadzíi'ii yi'iilaago shizhé'é David yę́ę bitsásk'ehjį' ííyá áádóó Bóhólníihii yee haadzí'ígi át'éego Ízrel dine'é bá bikáá'dóó nahat'áii bikáá'dóó dah nédá índa kin íishłaago bii' Ízrel dine'é biBóhólníihii Diyin God bízhi' baa ha'niih doo .
14:6:011:0	Áádóó ákóne' tsits'aa' dílzinii niiní'ą́ ; éí biyi' Bóhólníihii bibee aha'deet'áanii Ízrel dine'é yił hasht'edayiilaaígíí sinil .
14:6:012:0	Áko Sálaman éí Ízrel dine'é áłah nilínígíí binááł Bóhólníihii bibikáá' náá'iiniihí bidáahjigo yiizį'go dah didiilnii' .
14:6:013:0	Háálá Sálaman éí béésh łitsoii bee wódahdi dah náhást'ą́ągo áyiilaa éí náásee'go tsosts'idóó náá'áłníi'go ké silá áádóó naaniigo tsosts'idóó náá'áłníi'go ké silá índa dego éí dį́į́'dóó náá'áłníi'go ké silá , áko tł'óo'jigo nááhást'ánígíí nahaníi'gi niiní'ą́ ; éí yikáá'dóó yiizį' áádóó Ízrel dine'é áłah nilínígíí t'áá ałtso binááł nitsidinígo'go yá'ąąshjigo dah didiilnii' .
14:6:014:0	Áko ání , Ízrel dine'é biBóhólníihii Diyin God nílíinii , diyin nigi ánáánát'éii yá'ąąshdi índa nahasdzáán bikáa'gi doo hólǫ́ǫ da ; ni t'éiyá ná nidaal'a'í éí aha'deet'áanii áádóó aa a'ááh hasinii bił hasht'eyínísinii ninááł deíkááh .
14:6:015:0	Ni éí ná naal'a'í shizhé'é David yę́ę bich'į' bee hahíínídzíi'ii bił hasht'eyínísin nít'éé' ; t'áá aaníí bee háínídzíi'go díí jį́ át'éhígi át'éego bi'iinilaa .
14:6:016:0	Éí bąą k'ad , Ízrel dine'é biBóhólníihii Diyin God nílíinii , ná naal'a'í shizhé'é David yę́ę bá bee hwiinił'a'ígíí ánílééh ; jó , ábidííníniid , Na'áłchíní náás ahoolchíiłii doo ła'da shinááł Ízrel dine'é bibikáá' dóó nahat'áii yi'oh dadínóol'ąął da ; jó , na'áłchíní ádaa dahóyą́ągo shibee haz'áanii yik'eh dahół'į́įgo , shinááł yínááł yę́ęgi át'éego deíkááh ládą́ą́' doo yi'oh dadínóol'ąął da .
14:6:017:0	K'ad Ízrel dine'é biBóhólníihii Diyin God nílíinii , ná naal'a'í shizhé'é David yę́ę bich'į' saad bee háínídzíi'ii éí t'áá aaníi le' .
14:6:018:0	Nidi Diyin God nilíiniísh t'áá aaníí nahasdzáán yikáa'gi dine'é yił kééhat'į́į doo ? Jó , yádiłhił índa yá'ąąsh t'áá náhwiist'ą́ą́ nít'éé' doo nihóoghah da , índa díí kin ná áshłaaígíí ádiyooshéhí yee' .
14:6:019:0	Ákót'ée nidi ná naal'a'í bisodizin áádóó ná'ookąąhgo yíísíníłts'ą́ą́' , Bóhólníihii shiDiyin God nílíinii , ná naal'a'í nich'į' ná'ookąąhgo sodoolzingo bá disíníts'ą́ą́' .
14:6:020:0	Áko tł'ée'go áádóó jį́įgo díí kin si'ánígi shízhi' baa ha'niih doo , dííníniidígíí bik'i díní'į́į' doo , áko ná naal'a'í díí haz'ánígíí yich'į'go déez'į́į'go nich'į' sonídílzįįhgo bá nídiits'į́įh dooleeł .
14:6:021:0	Ná naal'a'í áádóó nidine'é Ízrel kojį' dadéez'į́į'go nich'į' nída'ookąąhígíí yíísíníłts'ą́ą́' ; yá'ąąshdi honílónídę́ę́' íísíníłts'ą́ą'go ádił nida'iisíihgo bá yóó'ahidí'aah doo .
14:6:022:0	Diné ła'da yił kééhat'íinii yich'į' ádił ni'iisíihgo éí ádee habidi'yooldzíi'go díí kin bii' bikáá' náá'iiniihí bidááhdóó nidoogáałgo ádee hadidoodzih .
