51:1:001:1	Pen . j .
51:1:002:1	Diolwch y mae i Dduw am ei ffydd hwy , Cadarnhau dysceidaeth Epaphras , Gweddiaw am angwanegiat ei ffyð hwy . Mae yn dangos yddynt y gwir Christ , ac yn dinoethi gau Christ yr Apostolion ffeils . Y mae ef yn cannal ei awdurdut a’i swyddogaeth , Ac am ei waith ar ei cyflawny .
51:1:001:0	PAul Apostol Iesu Christ , gan wyllys Duw , ac Thimotheus ein brawt ,
51:1:002:0	at yr ei ’sy yn Colosse , Sainctæ a’ ffyddlon vroder in‐Christ : Rat vo y gyd a chwi , a’ thangneddyf y gan Dduw ein Tat , a’ chan yr Arglwyð Iesu Christ . Yr Epistol y xxiiij . Sul gwedy Trintot .
51:1:003:0	Yð ym yn diolvvch y Dduw sef Tat ein Arglwydd Iesu Christ , yn ’oystadawl gan weðiaw y trosoch :
51:1:004:0	er pan glywsam son am eich ffydd in‐christ Iesu , ac am eich cariat ar yr oll Sainctæ ,
51:1:005:0	er mvvyn y gobaith ys ydd wedi hi dodi y‐chwy yn y nefoedd , am yr hon y clywsoch yn y blaen y gan ’air y gwirionedd , sef yvv’r Euangel ,
51:1:006:0	yr hon ’sy wedi dyvot yd atochwi , megis ac ir oll vyt , ac yn ffrwythawn val y mae yn eich plith chwithe hefyt , o’r dydd hwn y clywsoch , ac y gwir wybuoch ’rat Duw ,
51:1:007:0	val hefyt y dyscesoch y gan Epaphras ein annwyl gydwas , yr hwn’sy trosochvvi yn ffyddlawn wenidawc Christ :
51:1:008:0	yr hwnn hefyt a amlygawdd y‐ni eich cariat , ysy genych drwy ’r Yspryt .
51:1:009:0	Can ys paam ninheu hefyt , er y dyddhvvn y clywsam , nyd ym yn peidiaw a gweddiaw trosoch , ac erchi ar ych cyflawny o wybyddieth y wyllys ef , ym‐pop doethinep , a’ dyall ysprytawl ,
51:1:010:0	val y rotiwch yn deilwng gan yr Arglwydd , ai voddhau ef ym pop dim , gan ymffrytholoni ympop gweithred da , a’ thyvu yn‐gwybodaeth am Dduw ,
51:1:011:0	wedy ymnerthu ac oll nerth trwy y’ogoneddus veddiant ef , i bob dioðefgarvvch , a’ hwyrddic y gyd a’ hyfrydwch ,
51:1:012:0	gan ddyolvvch i’r Tat , yr hwn a’n gwnaeth yn addas i vot yn gyfranoc o etiueddieth y Sainctæ yn‐goleuni ,
51:1:013:0	yr hwn a’n gwaredawdd ni ywrth veddiant y tywyllwch , ac a’n ysmutawdd ni y deyrnas y annwyl Vap ,
51:1:014:0	yn yr hwn y mae y ni brynedigeth trwy y waed ef , ’sef maddeuant pechotae ,
51:1:015:0	yr hwn yw gwir‐ddelw yr anweladwy Dduw , contenid pop creatur .
51:1:016:0	Can ys ganto ef y creawyt pop dim , a’r ys ydd yn y nefoedd , ac ys ydd yn y ðaear , pethæ gweledigion , ac angweledigion : ai Thronae , ai Arglwyddiaethae , ai Tywysogaethae , ai Meddiannae , pop dim a’ greawyt ganto ef ac erddo ef ,
51:1:017:0	ac ef e ’sydd cynn pop dim , ac ynto y mae pop dim yn cyd sefyll .
51:1:018:0	Ac efe yw pen corph yr Eccles : efe yw’r dechreuad a’r cyntenid o’r meirw , val ym‐pop dim y caffei y bendeuigeth .
51:1:019:0	Can ys‐rengawdd bodd ir Tad , bod yndo ef drigo oll gyflawnedd ,
51:1:020:0	a’ thrwyddo ef gysyliaw pop dim yddo yhun , a’ heddychu trwy waed y groc ef bai petheu yn y ddaiar , b’ai petheu yn y nefoedd .
51:1:021:0	A’ chwitheu yr ei oeðech gynt ddyeithreit a’ gelynion , can vot eich meddyliae ar weithredoeð drwc , yr awrhon hefyt a gysyliawdd ef ,
51:1:022:0	yn‐corph ei gnawt trwy angae , er y’ch gwneuthur chvvi yn sainctaidd , ac yn ddiveius ac yn ddigwliedic gar y vron ef .
51:1:023:0	A’s aroswch , wedy ’ech sailio ach ffyrfhau yn y ffydd , ac na’ch ysmuder ywrth ’obaith yr Euangel , am yr hon y clywsoch son , ac a precethwyt i bop creatur a’r ’sydd y dan y nef ir hon ydd yw vi Paul yn wenidawc .
51:1:024:0	Yr awrhon ydd wyf yn llawenychu yn ve‐dioddefeu y trosoch , ac yn cyflawny oedd yn ol o gystuddiae Christ yn veu‐cnawd i , er mvvyn y gorph ef , rhwn yw’r Eccles ,
51:1:025:0	i’r hon ydd wyf yn wenidawc , erwydd llywodraeth Duw , yr hynn a roddwyt i mi yn eich cyfor chwi , y gyflanwy gair Duw ,
51:1:026:0	sef y dirgelwch oedd cuddiedic er ys oes oesoedd , ac er ys oll genedlaethae , ac yr awrhon a eglurwyt y’w Sainttæ ef ,
51:1:027:0	i’r ei yr wyllysai Duw yddyn gahel gwybot pa yw golud y dirgelwch hyn ym‐plith y Cenetloedd , yr hwn ’olud yw Christ yn y chwi , y gobeith gogoniant ,
51:1:028:0	yr hwn ydd ym ni yn ei bregethu , gan rybyddiaw pop dyn , a’ dyscu pop dyn ym‐pop doethinep , val y gosotom bop dyn yn berffeith yngvvydd Christ Iesu :
51:1:029:0	at yr hyn ydd wyf i hefyt yn ymtravaelu ac yn ymdrech , erwydd y waithred ef rhon ’sy yn gweithio ynof’ yn nerthol .
