51:3:001:1	Pen . iij .
51:3:002:1	Dangos y mae ple y mae i ni geisio Christ . Ei cyggory i ymvarwhau . Diosc yr hen ddyn , a’ gwisco Christ . At yr hyn y mae ef yn rhoi angwanet gygcoreu , i bawp val y gylydd , y gariat ac huvylltot .
51:3:001:0	A’S chvvithe a gydgyfodesoch gyd a Christ , caisiwch y petheu oðuchod , lle mae Christ yn eistedd ar ddeheulaw Duw .
51:3:002:0	Rowch eich bryd ar y petheu ’sydd vchod , ac nyd ar betheu sy ar y ddaiar .
51:3:003:0	Can ys meirw ytych , a’ch bywyt a guddiwyt y gyd a Christ yn‐Duw .
51:3:004:0	Pā ymðangoso Christ , ’rhwn yw’n bywyt , yno hefyt yr ymddangoswch chwitheu y gyd ac ef yn‐gogoniant .
51:3:005:0	Marwhewch gan hyny eich aylodae ’sy ar y ddaiar , goddinep , aflendit , anvad‐wyyn , dryc‐chwant , a’ chupydddot yr hwn delw‐addoliat .
51:3:006:0	Achos yr hyn petheu y daw digofeint Duw ar y plant yr amuvydddot .
51:3:007:0	Ym pa veiæ y rhodies‐y‐chwi gynt , pan oeddech yn byw ynthwynt .
51:3:008:0	Anyd yr awrhon rho‐chwi y ffordd ys yr oll petheu hyn , digofeint , broch , drigioni , dryc davodlen croesan‐air , allan o’ch geneu .
51:3:009:0	Na ddywedwch gelwydd wrth eu gylydd , can ddarvot y chwi ymddiosc o yr hen ddyn ef a’i weithrededd ,
51:3:010:0	a’ gwisco y’r newydd , yr hwn a adnewyddir yn‐gwybodaeth erwydd delw yr hwn y creawð ef ,
51:3:011:0	lle nyd oes na Groecwr nac Iuddew enwaediat , Barbariat , Scythiat , caeth , rhydd : eithr Christ ’sydd pop dim ym‐pop dim . Yr Epistol y v . Sul gwedyr Ystwyll .
51:3:012:0	Can hyny megis etholedigiō Dew sancteiddolion a’ charedigion , ymwiscwch o dirion drugaredd caredigrwyð , vvylltot‐meddvvl , gwarder , dioðefgarwch :
51:3:013:0	gan ymgynnal eu gylydd , a’ maddae y’w gylydd , as bydd gan vn gwerel yn erbyn neb : megis ac y maddeuawdd Christ i chwi , ys velly gvvnevvch chwitheu .
51:3:014:0	Ac vch pen hyn oll gvviscvvch gariat , yr hwn yw rhwym yn y perfeithrwydd .
51:3:015:0	A’ thangneddyf Duw a lywodraetho yn eich calonae , yr hwn ich galwyt yn vn corph , a’ byddwch ddiolchgar .
51:3:016:0	Preswiliet gair Christ ynoch yn ehelaeth ym‐pop doethinep , gan eich dyscu a’ chygcori eich hunain , yn psalmae , ac hymynae ac odulae ysprytawl , a’ chanu gan rat yn eich calonae ir Arglwydd .
51:3:017:0	A’ pha beth bynac a wneloch ar ’air neu weithred , gvvnevvch bop dim yn Enw yr Arglwydd Iesu , gan ddiolvvch y Dduw’sef y Tat trwvddaw ef .
51:3:018:0	Y gwragedd , byddwch ’oystyngedic ich gwyr priawt , megis y cyngwedda yn yr Arglwydd .
51:3:019:0	Y gwyr , cerwch eich gwragedd , ac na vyddwch chwerwon wrthynt .
51:3:020:0	Y plant , uvyddhewch eich rhieni ym‐pop dim : can ys hyny ’sy dda iawn gan yr Arglwydd .
51:3:021:0	Y tadae na chyffrowch eich plant y ðigio , rrac yðyn ancysirio .
51:3:022:0	Y gweision , ymuvyddhewch ir ei ’sy yn arglwyddi ywch erwydd y cnawt ym‐pop dim , nyd a llygad-wasanaeth val ryngwyr bodd dynion , eithr yn semplrwydd calon , gan ofny Duw .
51:3:023:0	A’ pha beth pynac a wneloch , gwnewch yn galonoc , megis ir Arglwydd , ac nyd y ddynion ,
51:3:024:0	gan yvvch ’wybot mae y gan yr Arglwydd yd erbyniwch y tal‐iad‐igeth yr etiueddieth : can ys yr Arglwydd Christ ydd ych yn ei wasanaethu .
51:3:025:0	Eithyr hwn a wna gamvvedd , a dderbyn am y camvvedd a wnaeth ef , ac nyd oes dim braint gymeriad .
