51:4:001:1	Pen . iiij .
51:4:002:1	Y mae ef yn ei hannoc y vod yn wresoc yn‐gweddi , I rodio yn ddoeth ym‐parthred yr ei ny ddaethant yn gwbl y wir wybyðieth am Christ . Y mae yn eu hanerch , ac yn damuno yddynt holl llwyddiant .
51:4:001:0	CHwitheu arglwyddi , gwnewch ich gweision , hyn ’sy gyfion , ac vnion , gan yvvch wybot vot y chwi hefyt Arglwydd yn y nefoedd .
51:4:002:0	Parhewch yn gweddie , gan wilied ynthwynt y gyd a diolvvch ,
51:4:003:0	gan weddiaw hefyt drosom ni , ar y Dduw agori i ni ddrws yr ymadrodd , y adrodd y dirgelwch Christ : am yr hwn yddwyf hefyt yn rhwymedic ,
51:4:004:0	val eu eglurhawyf , sef megis y mae yn raid i mi ymadrodd .
51:4:005:0	Rodiwch yn ddoeth tu at yr ei ’n ys ydd allan , a’ phrynwch yr amser .
51:4:006:0	Byddet eich ymadrodd yn rhadlawn yn ’oystatawl , ac wedy ei gyfansoddi a’ halen , val y gwypoch atep i bop dun .
51:4:007:0	Tychicus ein caredic vrawd a’ ffyðlon wenidoc , a’ chydwas yn yr Arglwyð , a veneic y’wch veu oll gyflwr ,
51:4:008:0	yr hwn a’ ddāvoneis atoch er mwyn hyn yma val y gwybyddei ef eich cyflwr , a’ chonforto eich calonae ,
51:4:009:0	y gyd ac Onesimus y ffyddlon a’ charedigavvl vrawt , yr hwn ’sy vn o hanoch . Yn hwy a espesant y’wch am bop peth ’sy yma .
51:4:010:0	Y mae Aristarchus veu‐cydgarcharor yn erchi yn eich anerch , a’ Marcus nai‐vap‐chwaer i Barnabas ( o bleit yr hwn yd erbyniesoch ’orchymynion , a’s daw ef atoch derbyniwch ef )
51:4:011:0	ac Iesu yr hwn a elwir Iustus , yr ei ynt o’r enwaediat . Yr ei hyn yn vnic yw veu‐cydweithwyr i deyrnas Dduw , yr ei a vuāt y mi yn ddiddanwch .
51:4:012:0	Epaphras gwas Christ , yr hwn’sy vn o hanoch , ’sydd ich anerch , ac yn ’oystastol yn ymdrino drosoch yn‐gweddieu , ar y‐chwy sefyll yn perfeith , ac yn gyflawn yn oll ’wyllys Duw .
51:4:013:0	Can ys ydd wyf yn testiolaethu , vot ganto wynvyd mawr y drosoch , a’ thros yr ei o Laodiceia , a’r ei o Hierapolis .
51:4:014:0	Lucas y meddic y caredigol ’sydd ich anerch , a’ Demas .
51:4:015:0	Anerchwch y broder ’rei ’sy o Laodiceia , a’ Nymphas , a’r Eccles ysyð yn y duy ef .
51:4:016:0	A’ phan ðarllenir yr epistol hwn y genwch , perwch hefyt ei ddarllen yn Eccles y Laodiceieit , a’ bot y chwi hefyt ðarllen yr epistol a scrivenwyt o Laodiceia .
51:4:017:0	A’ dywedwch wrth Archippus , Edrych ar y gwenidogeth , a dderbyniaist yn yr Arglwydd , val ei cyflawnych .
51:4:018:0	Yr anerchiad a’r llaw veuvi Paul . Cofiwch veu rhwymeu . Rat y gyd a chwi , Amen . *O Ruuein yd scrivenwyt ad y Colossieit ac anvonwyt drwy law Tychicus ac Ouesimus . D . q . ij .
