51:2:001:1	Pen . ij .
51:2:002:1	Gwedy yddaw destolaythu ddaed ei wyllys ef yddynt , Y mae ef yn ei rhybyddio nad ymchwelōt yn
51:2:003:1	*
51:2:004:1	llwyr ei hol
51:2:005:1	wysc ei cefn ywrth Christ . I wasaneth Angelion , neu ddychymic arall , neu ynte ceremoniae ’r ddeddyf , Yr ei a ’orphenesont ei swyð , ac eu tervyuwyt in‐Christ .
51:2:001:0	CAn ys wyllisiwn y chwi wybot pa veint ymdrech ’sy arnaf er eich mwyn chvvi , ac er yr ei o Laodiceia , ac er mvvyn yr ei ny welsant veu wynep yn‐cnawt ,
51:2:002:0	val y confforthit eu calonae , ac eu cyssyltit vvy ynghyt yn‐cariat , ac ym‐pop golud gwbl gredadwy ddyall , adnabot dirgelwch Duw ’sef y Tat , a’r yddavv Christ :
51:2:003:0	yn yr hwn y mae yn‐cuddiedic oll tresorae doethinep a’ gwybodaeth .
51:2:004:0	A’ hyn rwy’n ei ddywedyt , rac bot i nebvn eich twyllo a’ geiriae hygoeliadvvy ,
51:2:005:0	Can ys cyd bwyf ancydrychiol yn y cnawt , er hyny ydd wyf gyd a chwi yn yr yspryt yn llawenechu , ac yn gweled eich trefn , a’ ffyrfder eich ffydd in‐Christ .
51:2:006:0	Megis gan hyny yd erbyniesoch Christ Iesu yr Arglwyð , felly rhodiwch ynðo ,
51:2:007:0	yn wraiddiedic ac yn adaliedic ynðo ef , ac wedy ymgadarnhau yn y ffydd , val ich dyscwyt , can ymamplau ynddei gan ddyolwch .
51:2:008:0	Ymogelwch rac bot neb a’ch espeilio trwy philosophi a’ gwac ehudrwydd , trwy athraweth dynion , erwydd gwyddorion y byt , ac nyd erwydd Christ .
51:2:009:0	Can ys ynto ef y preswilia cyfllawnder y Duwdot yn gorphorol .
51:2:010:0	Ac ydd ych yn gyflawn yndo ef , yr hwn yw pen oll Tywysogeth a’ Meðiant :
51:2:011:0	yn yr hwn hefyt ich enwaedwyt ac enwaediat nyd o waith llaw , gan ymddyosc y pechaturus gorph y cnawt , trwy enwaediad Christ ,
51:2:012:0	can ys ich cydclaaddwyt y gyd ac ef trwy’r betydd , yn yr hwn hefyt ich cydgyfodwyt trwy ffydd gweithrediat Duw , yr hwn ay cyfodes ef o veirw .
51:2:013:0	A’ chwitheu yr ei oeddech veirw ympechotae , ac yn‐dienwaediat eich cnawt , a gyd vywhaodd ef y gyd ac efo , gan vaddeu y‐chwi eich oll gamweddae ,
51:2:014:0	can ddilëu y llaw graipht yr ordinadeu rhon oedd yn ein herbyn , rhon oedd yn wrth wynep y ni , ys cymerth ef y hi y ar y ffordd , ac hei dodes yn‐glyn ar y groc ,
51:2:015:0	ac a espeiliawdd y Tywysogaethae , a’r Nerthoedd , ac ei erddangosawdd hwy yn gyhoeddus , gwedi gorvot hwy ynthei .
51:2:016:0	Am hyn na varnet neb arno chwi ym‐bwyt a’ diot , neu o ran die‐gwyl , neu leuad‐newydd , neu Sabbathon ,
51:2:017:0	yr ei nyd ynt anyd gwascot petheu ar ddywot : eithr y corph ysydd in‐Christ .
51:2:018:0	Na vit i neb wrth ei wyllys eich llywodraethu gan ’ostyngeiddrwydd‐meddwl , ac addoliad Angelion , gan ymgodi ym‐petheu ny’s gwelawdd e erioed , ac yn andosparthus yn ymchwyddaw gan veddwl ei gnawt ,
51:2:019:0	eb gyfattal y pen , o’r hwn y mae yr oll gorph wedy ’r drefnu ai gomponi gan gymmalæ a’ chyfrwymae , yn cynnyddu gan gynnyð Duw .
51:2:020:0	Can hyny a’s meirw ydych gyd a Christ ywrth ordinadeu y byt , paam mal phe ich vyw yn y byt , ich llwythir ac athrawiaetheu ?
51:2:021:0	Megis , Na chychwrð , Na orchwaydda , Na theimla .
51:2:022:0	Yr ei ’n oll aant yn‐cyfergoll y gyd a’r anarver , ac ynt vvrth ’orchymyneu a’ dysceu dynion .
51:2:023:0	Yr hyn betheu yn ddiau ’sydd yddyn ac ailun doethinep , yn wyllys greffydd ac huvylltot‐meddwl , ac nyd yn eiriach y corph : ac nyd yw mewn dim bri ganthynt er cyflawnedd ir cnawt .
