49:2:001:1	Vit'eegwijyąhchy'aa Vich'eegoonzhrii Haa Neediinahshii
49:2:001:0	Christ vik'injahohkhit gwehkįį dąį' , Vit'eegwijyąhchy'aa deenyąą gwik'eegǫhthat kwaa , ts'ą' nakhwatr'agwaanduu gwanlii geh'an noodhat k'it t'ohchy'aa .
49:2:002:0	Jii nankat dinjii nąįį k'it tr'agwaanduu t'akhwa'ya' , Satan k'eegohthat ts'ą' zhit juu zheezhit ch'anky'aa iizųų nąįį datthak chan k'eegohthat . Satan chan juu Vit'eegwijyąhchy'aa k'eegwahthat kwaa nąįį ts'ą' k'eedeegwahaadhat gwik'eegwandaii .
49:2:003:0	Christ k'injireheeghit gwats'ą' dąį' diikhwan t'ee gaa gwik'it t'igwee'ya' , jidii tr'agwaanduu ninjich'aradhat ts'ą' tr'agwaanduu t'agǫǫ'ya' gwiindhan gwik'it t'igwee'ya' . Diigoodlit dąį' gwats'an , tr'agwaanduu t'agǫǫ'ya' gwiindhan , juu tr'agwaanduu tr'agwah'ya' nąįį k'it Vit'eegwijyąhchy'aa diigwąąhshii ts'ąįį gweheezyaa .
49:2:004:0	Gaa Vit'eegwijyąhchy'aa vich'eet'igwiniindhan jiintsii ts'ą' neeshraahchy'aa diinoonyąą geh'an ,
49:2:005:0	Christ k'iighai' neediinahshii ts'ą' gwandaii k'eejit neediiniłtsąįį . Izhit dąį' Vit'eegwijyąhchy'aa vik'eegwarahthat kwaa ts'ą' diitr'agwaanduu gwanlii geh'an niriindhat k'it t'oonchy'aa . Gaa nihk'it Vit'eegwijyąhchy'aa nakhwats'ą' ch'eegoonzhrįį k'iighai' neediinahshii .
49:2:006:0	Christ vaa ch'ihłak tr'iinlii geh'an Vit'eegwijyąhchy'aa niriindhat gwats'an neediigwahdaii , ąįį zhit geh'an juk gwarandaii ts'ą' zheekat Christ veeghaih tr'aadii k'it t'oonchy'aa ts'ą' gook'eegwarahahthat eenjit Vit'eegwijyąhchy'aa , Christ haa nidiinahchįį .
49:2:007:0	Juk akwat ye'eendaa ji' Christ Jesus k'iighai' gęhdaa kwaa dich'eegoonzhrįį zhit ch'eet'igwiniindhan di'įį gaagweheendaii eenjit dinjii nąįį ts'ą' gwigweełkįį .
49:2:008:0	Vit'eegwijyąhchy'aa vich'eegoonzhrii k'iighai' gwik'injiriighit geh'an neediinahshii . Gwinzii gwitr'it t'agwarah'in k'iighai' neediinahshii kwaa gaa Vit'eegwijyąhchy'aa jidii diinantł'eegwiin'ąįį zhit gwizhrįh .
49:2:009:0	Gwinzii gwitr'it t'agwarah'in k'iighai' Vit'eegwijyąhchy'aa neediinahshii kwaa , ts'ą' geenjit ch'ihłak gaa shakhai' t'ishizhik doonyą' shrǫ' !
49:2:002:1	Christ Zhit Ch'ihłak Tr'iinlii
49:2:010:0	Vit'eegwijyąhchy'aa jidii tr'iinlii ąįį diiniłtsąįį , veenjit gwinzii gwitr'it tr'agwarahah'yaa eenjit Christ Jesus haa ch'ihłak diiniłtsąįį , ts'ą' gwandaii k'eejit diinantł'eiin'ąįį . Jii kwaii ch'adąį' hee deegwehee'yaa diineenjit shrigwiinlik .
49:2:011:0	Ąįį geh'an Jews nąįį , Jews ǫhłįį kwaa geh'an nakhwadhah gihłeetr'ihiłt'uu kwaa nakhwagahnyąą gaanoondaii , Jews nąįį goodhah gihłeehiłt'uu adagaanyaa . Ts'ą' goodhah gihłeerihiłt'uu geh'an Vit'eegwijyąhchy'aa vats'an tr'iinlii ginyąą . Jews ǫhłįį chy'aa ganoondaii . ( Gaa diitthąį' gihłeerahaht'ii t'ee dinjii tthąį' zhrįh gihłeerahaht'ii t'agwarahnyąą . )
49:2:012:0	Izhit dąį' Christ veh'ok aakin ǫhłįį k'it t'ohchy'aa gaanoondaii ts'ą' Vit'eegwijyąhchy'aa gwitee tr'anakhweiinlii kwaa , Vit'eegwijyąhchy'aa , Jews nąįį haa nihłeenjit deegwehee'yaa nihłagaanyąą ąįį gwitee ǫhłįį kwaa . Jii nankat gwidinjii nąįį k'it gǫhdaii ts'ą' Vit'eegwijyąhchy'aa vaakhwandaii kwaa ts'ą' gwandaii ndaanąą'ąį' khwa'įį kwaa .
49:2:013:0	Izhit dąį' Vit'eegwijyąhchy'aa veh'ok niighit gwa'an t'ohchy'aa ąįįtł'ęę juk Christ Jesus vaa ch'ihłak ǫhłįį . Christ vadaa k'iighai' Vit'eegwijyąhchy'aa vats'a' niighit kwaa t'ohchy'aa .
49:2:014:0	Christ adan zhrįh , Jews ts'ą' Jews nilii kwaa nąįį haa kheihłak iłtsąįį ts'ą' tsinehdan diihaa iłtsąįį . Nihłit'injii'ee ąįį diiłeegwahaa'aii ts'ą' ch'ihłak diiniłtsąįį .
49:2:015:0	Christ niindhat k'iighai' , Jews goo-law gwanlii gwik'eegwarahahthat goo'aii gwigwii'įį , datthak an gwiłtsąįį . Ąįį gwik'iighai' ideenjit Jews akwat Jews nilii kwaa nąįį kheihłok iłtsąįį ąįį ts'an nahkat ch'ihłak k'eejit gwiłtsąįį . Jyaa diizhit ts'ą' goodeetak tsinehdan goodlit .
49:2:016:0	Cross kat niindhat k'iighai' , Jews ts'ą' Jews nilii kwaa nąįį haa kheihłak iłtsąįį gwiizhit nihłitr'igihee'ee kwaa geenjit Vit'eegwijyąhchy'aa haa nineegoovinlii .
49:2:017:0	Nakhwan Jews ǫhłįį kwaa nąįį Vit'eegwijyąhchy'aa veh'ok niighit nadhoozhii ąįįts'ą' diikhwan Jews tr'iinlii nąįį Vit'eegwijyąhchy'aa veeghaii nirilzhii . Christ jii nankat gwats'ą' haazhii dąį' ts'ą' dinjii nąįį haa tsinehdan nihłaa giheelyaa geenjit Gwandak Nizįį zhit geech'ǫąąhtan .
49:2:018:0	Christ dee'in k'iighai' Jews , akwat Jews nilii kwaa nąįį nihłaa Ch'anky'aa Shroodiinyąą zhit ch'ihłak , tr'iinlii haa Gwiti' veeghaii nireheedaa .
49:2:019:0	Ąįį geh'an t'ee nakhwan Jews nilii kwaa nąįį , aakin akwat ch'adanh nahkat gwats'an ǫhłįį kwaa , gaa Vit'eegwijyąhchy'aa vats'an dinjii nąįį haa nahkat gwats'an ch'ihłak ǫhłįį k'it t'ohchy'aa . Juk Vit'eegwijyąhchy'aa vizhehk'aa gwats'an ǫhłįį .
49:2:020:0	Nakhwan t'ee juu Tr'ihił'e' nąįį ts'ą' Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį geech'ǫąąhtan kii kat zheh gwigwiłtsąįį k'it t'ohchy'aa . Christ Jesus ąįį kii choo zheh ndak gootą' k'it t'inchy'aa .
49:2:021:0	Christ vik'iighai' diikhwan gwik'injiriighit nąįį gwinzii nihłaa gwitr'it t'agwarah'in gwiizhit , K'eegwaadhat veenjit Kharigidiinjii zheh shroodiinyąą gwiriłtsąįį k'it t'oonchy'aa .
49:2:022:0	Christ vaa ǫhłįį geh'an ch'izhii gwik'injiighit nąįį datthak haa nanakhwinlii , Ch'anky'aa Shroodiinyąą t'aih k'iighai' Vit'eegwijyąhchy'aa vizheh gwizhit t'ahohchy'aa .
