49:1:001:1	Tr'iinin ts'ą' Ch'iyehghan Haa Deegihee'yaa Goo'aii
49:1:001:0	Shįį Paul t'ihchy'aa , Christ Jesus veenjit Tr'ihił'e' ihłii , Vit'eegwijyąhchy'aa jyaa doo'ya' shoonyąą geh'an . Ephesus kwaiik'it gwachoo gwizhit Vit'eegwijyąhchy'aa k'injiighit nąįį , nakhwats'ą' ch'adanoihtł'oo . Jesus Christ vaa ch'ihłak ǫhłįį ts'ą' nakhwadrii datthak haa vik'injuhkhit .
49:1:002:1	Vit'eegwijyąhchy'aa Digii Nąįį Ts'ą' Gwinzii Tr'agwah'ya'
49:1:002:0	Vit'eegwijyąhchy'aa Gwiti' ts'ą' K'eegwaadhat Jesus Christ haa ch'eegoonzhrįį ts'ą' tsinehdan nakhwantł'eegoo'aa .
49:1:003:0	Vit'eegwijyąhchy'aa ąįį Diik'eegwaadhat Jesus Christ Viti' ąįį vats'ą' mahsį' dohnyąą . Christ vaa ch'ihłak tr'iinlii geh'an zheekat gwats'an jidii nizįį datthak , Vit'eegwijyąhchy'aa , Ch'anky'aa Shroodiinyąą k'iighai' diits'an iłtsąįį .
49:1:004:0	Jii nan gweheelyaa gwehkįį dąį' Vit'eegwijyąhchy'aa vigii tr'iheelyaa geenjit gwitee tr'idiinąhchįį , Christ vaa ch'ihłak tr'iheelyaa , ts'ą' diitr'agwaanduu heekwaa ts'ą' shroodiinyąą tr'iheelyaa geenjit . Vich'eet'igwiniidhan eh'an ,
49:1:005:0	Vit'eegwijyąhchy'aa ch'adąį' hee Jesus Christ dee'ya' k'iighai' vigii tr'iheelyaa gwiłtsąįį , jii t'ee shoo haa gwik'it gooli' niindhan .
49:1:006:0	Vit'eegwijyąhchy'aa diits'ą' ch'eegoonzhrįį eenjit viyinjiihtr'ahoh'e' . Diits'ą' gwintł'oo ch'eegoonzhrįį tr'agwah'ya' , Didinji' gwintł'oo eet'iindhan k'iighai' t'ee'ya' .
49:1:007:0	Christ vadaa k'iighai' diinoonkwat , diitr'agwaanduu oo'an gwahaadlii geenjit . Jyąhts'ą' t'ee Vit'eegwijyąhchy'aa vich'eegoonzhrii diits'ą' gwintsii gwagwahkįį ts'ą' ,
49:1:008:0	Vit'eegwijyąhchy'aa łyaa diits'ą' nizįį . Vit'eegwijyąhchy'aa vigwizhi' gwanlii ts'ą' deegwii'in datthak gaandaii geh'an ,
49:1:009:0	Vit'eegwijyąhchy'aa deehee'yaa niindhan gwik'it t'iizhik , ąįį deehee'yaa dinjii ch'ihłak gaa gaandaii kwaa , ch'adąį' hee Christ k'iighai' t'iizhik diits'ą' gwizhrįh nigwiin'ąįį .
49:1:010:0	Nijin gwik'it goo'aii nagwaatth'at ji' , zheekat ts'ą' jii nankat haa datthak Christ adah zhrįh gwats'ą' k'eedeegwahaadhat , ts'ą' kheihłak gwahahtsyaa .
49:1:011:0	Tr'ookit dąį' gwats'an Christ vaa ch'ihłak tr'iinlii , Vit'eegwijyąhchy'aa vigii tr'iheelyaa eenjit gwitee tr'idiiniinlii . Niighit dąį' , jyaa diheenjyaa eenjit gwiłtsąįį , ąįįts'ą' jii datthak gwik'it t'iindhan geh'an gwik'it goodlit .
49:1:012:0	Diikhwan Jews tr'iinlii ts'ą' tr'ookit Christ vit'injarahchy'aa , ts'ą' Vit'eegwijyąhchy'aa vich'eegwąhndit geenjit viyinjirihoh'ee .
49:1:013:0	Nakhwan Jews nilii kwaa nąįį , zhit Jews nąįį k'it , nakhwant'ee nakhweenjit gwik'it t'igwiizhik . Gwandak Nizįį łi'didlii ąįįt'ee neenakhwahahshii . Christ vik'injuhkhit ts'ą' vaa ch'ihłak dhoodlit . Ąįį geh'an Vit'eegwijyąhchy'aa , deenyąą gwik'it Ch'anky'aa Shroodiinyąą nakhwantł'eiin'ąįį . Ch'anky'aa Shroodiinyąą t'ee Vit'eegwijyąhchy'aa vigii ǫhłįį eenjit nakhwagwaahkįį .
49:1:003:1	Ephesus Gwik'injiighit Nąįį Tr'ookit Gooveenjit Khadigiinjii Dąį'
