49:3:001:1	Paul , Jews Nilii Kwaa Nąįį Tee Gwitr'it T'agwah'in
49:3:001:0	Shįį Paul t'ihchy'aa , Vit'eegwijyąhchy'aa vats'ą' nakhweenjit khadigihjii , Christ Jesus gwitr'it shantł'eegwiin'ąįį t'ishi'in , Jews nilii kwaa nąįį nakhwats'ą' Gwandak Nizįį gwaldak geh'an zheh gwaazhrąįį dhidii .
49:3:002:0	Jii gwitr'it nizįį nakhweenjit t'ishi'yaa Vit'eegwijyąhchy'aa vich'eegoonzhrii haa shantł'eegwiin'ąįį gahohtth'ak gwizhrįh .
49:3:003:0	Vit'eegwijyąhchy'aa jii gweentak deehee'yaa shats'ą' gwigweełkįį . ( Jii dęhtły'aa zhit ąįį nakhwats'ą' danoiitł'oo ,
49:3:004:0	ąįįts'ą' jii nakhwats'ą' ch'adanǫįįtł'oo nǫh'in ji' , Vit'eegwijyąhchy'aa , Christ deehee'yaa nyąą vaashandaii gaakhwandaii . )
49:3:005:0	Gwehkįį dąį' Vit'eegwijyąhchy'aa jii gweentak deehee'yaa ąįį dinjii nąįį ts'ą' gwizhrįh nagwa'aii kwaa . Gaa juk Ch'anky'aa Shroodiinyąą k'iighai' Tr'ihił'e' shroodiinyąą nąįį ts'ą' Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį ts'ą' gwigweełkįį .
49:3:006:0	Jii t'ee gwehkįį Vit'eegwijyąhchy'aa ch'ihłee gaa haa gwandak kwaa t'oonchy'aa , ąįįt'ee Gwandak Nizįį k'iighai' Jews nilii kwaa nąįį Vit'eegwijyąhchy'aa vich'eegoonzhrii nakhwats'an heelyaa , ts'ą' Jews gwik'injiighit nąįį chan gwik'it t'iheelyaa . Gwik'injiighit nąįį Christ vatthąį' ch'ihłak k'it t'ohchy'aa . Ąįįt'ee tr'igiinkhii zheh t'agwarahnyąą .
49:3:007:0	Shįį Vit'eegwijyąhchy'aa vitsyaa ihłii , vich'eegoonzhrii ts'ą' vat'aii haa jii Gwandak Nizįį eech'oohaałchyaa geenjit shantł'eegwiin'ąįį .
49:3:008:0	Vit'eegwijyąhchy'aa vats'an dinjii nąįį datthak shandaa hil'ee , ąįį gaa Vit'eegwijyąhchy'aa vich'eegoonzhrii zhit Jews nilii kwaa nąįį ts'ą' Gwandak Nizįį gwahałchyaa geenjit shantł'eegwiin'ąįį . Jii Gwandak Nizįį datthak łyaa dinjii nąįį gaaheendaii geenjit gwiintsii .
49:3:009:0	Dinjii nąįį datthak , nats'ąą Jews nilii kwaa nąįį Vagwandak Nizįį gavaa gwaldak ąįį gwigwitr'it shantł'eegwiin'ąįį . Vit'eegwijyąhchy'aa jidii datthak iłtsąįį , deenaadąį' gwats'an jii deehee'yaa ąįį dinjii nąįį ts'ą' tth'aii gwagwaahkįį kwaa ,
49:3:010:0	juk gweendaa tr'igiinkhii zheh nineedal nąįį k'iighai' zheezhit jidii ch'anky'aa niint'aii nąįį datthak deegwahtł'oo Vit'eegwijyąhchy'aa vigwizhi' gwanlii haa nihłehts'į' gwilii t'ii'in gaageheendaii geenjit t'iizhit .
49:3:011:0	Nan hahtsyaa gwats'ą' niighit dąį' , Diik'eegwaadhat Christ Jesus k'iighai' , Vit'eegwijyąhchy'aa jyaa dishi'yaa nindhan gwik'it t'iizhik .
49:3:012:0	Christ vik'injiriighit ts'ą' vaa ch'ihłak tr'iinlii geh'an Vit'eegwijyąhchy'aa vatąįį tr'aanjat kwaa ts'ą' vaa tr'eedaa .
49:3:002:1	Christ Vich'eet'igwiniindhan
49:3:013:0	Jii nakhweenjit khaiinjich'ishiighit , geh'an Christ vigwitr'it akhagoiinyą' shrǫ' , datthak ts'ą' gwats'an gaiiyiigohtsii t'oonchy'aa .
49:3:014:0	Jii geh'an datthak nakhweenjit Gwiti' vats'ą' nikiigwał'ee ts'ą' khadigihjii .
49:3:015:0	Łyaa Diiti' nilii geh'an zheekat gwich'in , nankat gwich'in haa zhehk'aa ch'ihłak tr'iinlii t'oonchy'aa .
49:3:016:0	Dinjii gwik'injiighit nąįį datthak eenjit ch'eegoonzhrįį gwintł'oo gwii'įį . Jii kwaii geenjit khadigihjii , nakhwadrii zhit nakhwat'aii gweheelyaa geenjit Ch'anky'aa Shroodiinyąą t'aih nakhwats'an gwahahtsyaa .
49:3:017:0	Ąįįts'ą' chan khit nakhwadrii zhit Christ t'iheechy'aa geenjit nakhweenjit khagidihjii . Datthak vik'injuhkhit geh'an Vit'eegwijyąhchy'aa veenjit ts'ą' nihłeenjit haa ch'eet'igwiniindhan akhwa'įį , jii t'ee nakhweenjit t'aih heelyaa .
49:3:018:0	Jii gwik'iighai' nakhwan datthak ts'ą' Vit'eegwijyąhchy'aa vigii nąįį haa deegwahtł'oo Christ diineenjit ch'eet'igwiniindhan ndaanąą'ąį' kwaa di'įį gaagwiindaii .
49:3:019:0	Gaagwiindaii googaa nik'it deegwahtł'oo Vit'eegwijyąhchy'aa diineet'iindhan gwinzii datthak gaagwiindaii kwaa t'oonchy'aa , gwinzii gaakhwandaii geenjit Vit'eegwijyąhchy'aa vats'a' khagidihjii , ąįį gwik'iighai' Vit'eegwijyąhchy'aa vik'it dinjii khohłyaa geenjit .
49:3:020:0	Jidii eenjit ch'oorahkat akwat jidii eeninjich'aradhat kwaii datthak andaa Vit'eegwijyąhchy'aa t'aih di'įį ąįį haa t'ee diizhit t'aih gwanlii t'oonchy'aa .
49:3:021:0	Christ Jesus k'iighai' ts'ą' tr'igiinkhii zheh haa gwintsii t'igee'ya' geenjit viyinjirihoh'ee , yeenaa ts'ą' khit geenjit Vit'eegwijyąhchy'aa eenjit viyinjirihoh'ee ! Amen ! !
